trial	hash	status	op	score	ann_sharpe	hold_sharpe	ann_roi	max_dd	win_d	improvement_pct	profit_target	stop_loss	apply_dtes	apply_tiers	apply_sides
1	b5f90de	keep	rand	11.2263	11.226	11.220	59129.68	0.00	100.00	+0.1	85	9999	0	aggressive,conservative,moderate	call,put
2	01d1e28	keep	rand	11.2788	11.279	11.220	57862.91	0.00	100.00	+0.5	45	9999	0	conservative,moderate	call,put
3	89c74c4	discard	rand	11.1192	11.119	11.220	58619.60	0.00	100.00	-0.9	45	9999	0,2	moderate	put
4	0afb958	discard	rand	11.1724	11.172	11.220	60142.71	0.00	100.00	-0.4	90	9999	0,1,2,3	conservative	call,put
5	23335fb	discard	rand	11.1628	11.163	11.220	58114.15	0.00	100.00	-0.5	50	9999	0,1,3	aggressive	call,put
6	463a85b	discard	rand	11.1985	11.198	11.220	59371.79	0.00	100.00	-0.2	35	9999	3	conservative,moderate	call
7	1a09ede	discard	rand	11.0931	11.093	11.220	61033.67	0.00	100.00	-1.1	90	9999	0,2,3	aggressive,conservative,moderate	call,put
8	2dc76c1	discard	rand	11.0214	11.021	11.220	57092.42	0.00	100.00	-1.8	55	9999	0,2,3	aggressive,moderate	call,put
9	7d26470	discard	rand	11.1817	11.182	11.220	59799.50	0.00	100.00	-0.3	80	9999	1,2	moderate	call
10	8dc1cc3	discard	rand	11.1538	11.154	11.220	59477.97	0.00	100.00	-0.6	60	9999	1	conservative,moderate	put
11	dc0d3b4	discard	rand	11.0878	11.088	11.220	59033.33	0.00	100.00	-1.2	55	9999	1,2,3	aggressive	call,put
12	63e2f81	discard	rand	11.0264	11.026	11.220	60047.87	0.00	100.00	-1.7	80	9999	0,1,2,3	moderate	call,put
13	4e5c72f	discard	rand	10.9156	10.916	11.220	59977.02	0.00	100.00	-2.7	75	9999	0,1,2,3	aggressive,conservative,moderate	call,put
14	6a001bc	discard	rand	11.2071	11.207	11.220	60129.25	0.00	100.00	-0.1	95	9999	0,1,2,3	conservative,moderate	call
15	083cfe2	discard	rand	11.0638	11.064	11.220	60111.80	0.00	100.00	-1.4	75	9999	1	aggressive,conservative,moderate	call,put
16	acab810	discard	rand	11.2358	11.236	11.220	59314.57	0.00	100.00	+0.1	50	9999	3	aggressive,moderate	call,put
17	7d7c24e	keep	rand	11.3903	11.390	11.220	56835.71	0.00	100.00	+1.5	35	9999	0	aggressive,conservative,moderate	put
18	4cc0043	discard	rand	11.1788	11.179	11.220	59118.52	0.00	100.00	-0.4	70	9999	0,1,3	aggressive	put
19	5585c0f	discard	rand	11.2311	11.231	11.220	59079.36	0.00	100.00	+0.1	45	9999	0,2	conservative	put
20	a317e48	discard	rand	11.1979	11.198	11.220	59383.03	0.00	100.00	-0.2	75	9999	0,2	conservative,moderate	call
21	b1ba095	discard	rand	11.2311	11.231	11.220	59079.36	0.00	100.00	+0.1	45	9999	0,2,3	conservative	put
22	2cd1864	discard	rand	11.1702	11.170	11.220	59631.56	0.00	100.00	-0.4	65	9999	1	conservative,moderate	put
23	f84743a	discard	rand	11.1100	11.110	11.220	59281.79	0.00	100.00	-1.0	40	9999	1	moderate	call
24	32145a8	discard	rand	11.2053	11.205	11.220	59514.42	0.00	100.00	-0.1	80	9999	0,2,3	aggressive,conservative,moderate	call
25	9b56377	discard	rand	10.9891	10.989	11.220	57768.37	0.00	100.00	-2.1	30	9999	1,2,3	aggressive	call,put
26	646bdf6	discard	rand	11.1639	11.164	11.220	57428.94	0.00	100.00	-0.5	35	9999	0,1	aggressive	put
27	3198ac8	discard	rand	11.1755	11.175	11.220	59573.78	0.00	100.00	-0.4	65	9999	2	aggressive	call,put
28	f53cf00	discard	rand	10.9351	10.935	11.220	59949.16	0.00	100.00	-2.5	65	9999	1,2	conservative,moderate	call,put
29	9ab6748	discard	rand	11.1817	11.182	11.220	60021.74	0.00	100.00	-0.3	85	9999	0,1,2,3	conservative	call,put
30	8db4c96	discard	rand	11.1930	11.193	11.220	59622.87	0.00	100.00	-0.2	95	9999	0	aggressive	call,put
31	5bd3945	discard	rand	11.0768	11.077	11.220	59442.16	0.00	100.00	-1.3	60	9999	1	moderate	call,put
32	0a5912a	discard	rand	11.0638	11.064	11.220	60468.27	0.00	100.00	-1.4	90	9999	1,2	moderate	put
33	8a497f4	discard	rand	11.2183	11.218	11.220	59520.29	0.00	100.00	-0.0	90	9999	0	aggressive,conservative,moderate	call
34	9e47965	discard	rand	11.0720	11.072	11.220	58799.16	0.00	100.00	-1.3	30	9999	1,3	aggressive,moderate	call
35	22279c9	discard	rand	11.1849	11.185	11.220	59208.86	0.00	100.00	-0.3	65	9999	0,3	aggressive,moderate	call
36	a499850	discard	rand	10.7603	10.760	11.220	56900.60	0.00	100.00	-4.1	30	9999	1,2,3	moderate	call,put
37	477b06a	discard	rand	11.2444	11.244	11.220	60192.38	0.00	100.00	+0.2	95	9999	2	aggressive	call,put
38	d0d9acb	discard	rand	11.1283	11.128	11.220	57466.75	0.00	100.00	-0.8	35	9999	0,2	aggressive	put
39	c363dd5	discard	rand	11.2753	11.275	11.220	58917.26	0.00	100.00	+0.5	75	9999	0,3	conservative,moderate	call,put
40	64544ec	discard	rand	11.2358	11.236	11.220	59314.57	0.00	100.00	+0.1	50	9999	3	aggressive,conservative,moderate	call,put
41	d34bec0	discard	rand	11.2350	11.235	11.220	59152.55	0.00	100.00	+0.1	50	9999	0,2	conservative	call,put
42	609ff27	discard	rand	11.1329	11.133	11.220	59393.77	0.00	100.00	-0.8	70	9999	0,1,2,3	conservative,moderate	call
43	36ee303	discard	rand	11.2350	11.235	11.220	59152.55	0.00	100.00	+0.1	50	9999	0,2	conservative	put
44	7f7b62b	discard	rand	11.2304	11.230	11.220	59790.77	0.00	100.00	+0.1	90	9999	2,3	aggressive,conservative,moderate	call
45	c491b58	discard	rand	11.1950	11.195	11.220	59399.87	0.00	100.00	-0.2	50	9999	2	aggressive,conservative,moderate	call
46	d24a628	discard	rand	11.2856	11.286	11.220	58489.11	0.00	100.00	+0.6	75	9999	0	aggressive,conservative,moderate	call,put
47	816468f	discard	rand	11.0343	11.034	11.220	58240.85	0.00	100.00	-1.7	65	9999	0,2	aggressive,conservative,moderate	call,put
48	87fde6e	discard	rand	11.3133	11.313	11.220	58998.48	0.00	100.00	+0.8	40	9999	0,1,3	conservative	call,put
49	511e0e2	discard	rand	10.9190	10.919	11.220	57911.61	0.00	100.00	-2.7	35	9999	1,2,3	conservative,moderate	put
50	4f3da58	discard	rand	11.1178	11.118	11.220	59764.44	0.00	100.00	-0.9	70	9999	1	conservative,moderate	call,put
51	8346d9c	discard	rand	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	90	9999	0,3	aggressive	call
52	5d17a43	discard	rand	11.0732	11.073	11.220	59485.69	0.00	100.00	-1.3	55	9999	2	moderate	call,put
53	e2ca107	discard	rand	11.0788	11.079	11.220	58862.39	0.00	100.00	-1.3	55	9999	0,1,2,3	aggressive,moderate	call
54	e17f551	discard	rand	11.0281	11.028	11.220	58411.40	0.00	100.00	-1.7	45	9999	0,1,2,3	aggressive,moderate	call
55	74f3715	discard	rand	11.0778	11.078	11.220	57783.53	0.00	100.00	-1.3	50	9999	0,1,2,3	aggressive	call,put
56	ed3ab5a	discard	rand	11.1845	11.185	11.220	59865.05	0.00	100.00	-0.3	95	9999	2	conservative	call,put
57	4e98f30	discard	rand	10.9976	10.998	11.220	57917.80	0.00	100.00	-2.0	30	9999	0,1,3	moderate	call
58	df731c2	discard	rand	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	75	9999	3	conservative	put
59	3356728	discard	rand	11.2318	11.232	11.220	59410.77	0.00	100.00	+0.1	60	9999	3	conservative,moderate	call,put
60	d5fd8ee	discard	rand	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	55	9999	1	conservative	call
