method,dte_bucket,n_samples,p95_hit_rate,p97_hit_rate,p98_hit_rate,p99_hit_rate,p95_avg_width,p97_avg_width,p98_avg_width,p99_avg_width,avg_midpoint_error,median_midpoint_error
baseline,1DTE,30,100.0,100.0,100.0,100.0,5.395886794742378,6.275588509681972,6.71359406802083,8.832784068356514,0.8693485159723857,0.8107208123283508
baseline,2DTE,30,100.0,100.0,100.0,100.0,7.447092546517797,9.06917423675495,9.803815002636394,12.52351879040127,1.117099164249892,0.9910195361852079
baseline,3DTE,30,100.0,100.0,100.0,100.0,9.650305123295123,11.811717422136557,13.911607509287453,18.813584407861107,1.309921858080017,1.2232737280154704
baseline,5DTE,30,100.0,100.0,100.0,100.0,11.779306051111137,13.900271853131184,15.891431111339106,18.507167428939535,1.4811549828793074,1.2466496774311806
baseline,7DTE,30,100.0,100.0,100.0,100.0,14.1787969233577,15.59412287842582,18.10809822494721,20.070307438562182,1.3414630819787767,1.1185320149529834
baseline,10DTE,30,100.0,100.0,100.0,100.0,16.219918806312176,17.61565652362874,19.718452461763114,23.135078979723364,1.0698479286084455,1.020644148945117
baseline,1-3DTE,90,100.0,100.0,100.0,100.0,7.4977614881850965,9.05216005619116,10.143005526648226,13.389962422206297,1.0987898461007648,0.9910195361852079
baseline,4-7DTE,120,100.0,100.0,100.0,100.0,12.632962752587472,13.993596419012393,16.318667351944146,19.092806598172803,1.4416010233197056,1.1794172762425694
baseline,8-14DTE,210,100.0,100.0,100.0,100.0,17.559275406618767,19.149438424144137,21.249679139791876,23.741493417780536,1.1533590997828242,0.9334876647189911
baseline,15-20DTE,180,100.0,100.0,100.0,100.0,23.888627277530688,26.48304075921017,27.88439337921998,29.390775892747556,2.5164778223460136,2.3887421977169208
conditional,1DTE,30,100.0,100.0,100.0,100.0,3.471641303558916,3.8119479638422638,4.440224961967192,5.213799356280787,0.7522343166792911,0.6805841345821676
conditional,2DTE,30,96.66666666666667,96.66666666666667,96.66666666666667,96.66666666666667,4.40590365656143,5.130307128587204,5.547911043757019,6.117879785236111,1.0973635575278764,1.1446680005630037
conditional,3DTE,30,96.66666666666667,96.66666666666667,96.66666666666667,96.66666666666667,5.519623653395195,6.119613394514946,6.659464056353529,7.918346156104485,1.315302411569815,1.3045735235572824
conditional,5DTE,30,90.0,93.33333333333333,96.66666666666667,100.0,6.833364606837119,7.761573632139399,8.582099958665326,9.877945975912253,1.677831072719685,1.3350946597749929
conditional,7DTE,30,100.0,100.0,100.0,100.0,8.501495659911262,9.986334916412506,11.264147315605493,13.742388959722184,2.1299924393285683,1.9178148379580648
conditional,10DTE,30,100.0,100.0,100.0,100.0,10.014869839748481,11.829093497719738,12.97340717234471,14.912062591213312,2.2432006419657613,2.291881218102514
conditional,1-3DTE,90,97.77777777777777,97.77777777777777,97.77777777777777,97.77777777777777,4.465722871171847,5.020622828981472,5.549200020692579,6.416675099207127,1.054966761925661,0.9205072396122082
conditional,4-7DTE,120,93.33333333333333,95.83333333333334,97.5,100.0,7.348399680460654,8.48514799711081,9.321816514216437,10.889316707520232,1.8367404874035276,1.5292831509406821
conditional,8-14DTE,210,100.0,100.0,100.0,100.0,10.565193806681481,12.447821344575104,13.73182811379681,15.67716316255974,2.3594150568194983,2.321778640268898
conditional,15-20DTE,180,100.0,100.0,100.0,100.0,14.296353025811529,15.650329626663508,16.29745356443725,17.02632211904344,2.703628228734963,2.695518319386682
ensemble,1DTE,30,100.0,100.0,100.0,100.0,9.242377887420053,10.245170206846248,10.937337266026896,12.031022799926653,0.8190374886782886,0.6183725260424398
ensemble,2DTE,30,100.0,100.0,100.0,100.0,10.171331280972682,11.301989196255514,12.121165711660428,13.390741704683931,1.2455669134330773,1.0126693386427716
ensemble,3DTE,30,100.0,100.0,100.0,100.0,11.118482202093023,12.378551768077838,13.20104062757815,14.481200234845916,1.8236056178721418,1.690926829561443
ensemble,5DTE,30,100.0,100.0,100.0,100.0,12.646918364619104,14.00067637325397,14.994044924396128,16.495545224182557,1.7837763983313795,1.2859125704533672
ensemble,7DTE,30,100.0,100.0,100.0,100.0,15.270449715163853,16.922483457428388,18.100124048030207,19.770083024395497,1.8319269903313682,1.588252232511072
ensemble,10DTE,30,100.0,100.0,100.0,100.0,14.972981004148501,16.40085365601892,17.61310131868822,19.33684025301501,1.5463723750376226,1.1968097390680152
ensemble,1-3DTE,90,100.0,100.0,100.0,100.0,10.177397123495252,11.308570390393202,12.086514535088494,13.300988246485499,1.2960700066611694,1.1091316947747494
ensemble,4-7DTE,120,99.16666666666667,100.0,100.0,100.0,13.483908281234651,14.919911940132996,15.96089217962535,17.514459033773587,1.833782261918335,1.5331125360741997
ensemble,8-14DTE,210,100.0,100.0,100.0,100.0,15.517691096380492,17.130705972603383,18.32759124770961,20.109555812180073,1.8126361645371827,1.5548429674434776
ensemble,15-20DTE,180,100.0,100.0,100.0,100.0,14.753285056704913,16.27179991221571,17.41349766006154,19.153720297969333,2.4254743472904225,2.333657888989582
ensemble_combined,1DTE,30,100.0,100.0,100.0,100.0,9.242377887420053,10.245170206846248,10.937337266026896,12.031022799926653,0.8190374886782886,0.6183725260424398
ensemble_combined,2DTE,30,100.0,100.0,100.0,100.0,10.171331280972682,11.301989196255514,12.121165711660428,13.390741704683931,1.2455669134330773,1.0126693386427716
ensemble_combined,3DTE,30,100.0,100.0,100.0,100.0,11.118482202093023,12.378551768077838,13.20104062757815,14.481200234845916,1.8236056178721418,1.690926829561443
ensemble_combined,5DTE,30,100.0,100.0,100.0,100.0,12.646918364619104,14.00067637325397,14.994044924396128,16.495545224182557,1.7837763983313795,1.2859125704533672
ensemble_combined,7DTE,30,100.0,100.0,100.0,100.0,15.270449715163853,16.922483457428388,18.100124048030207,19.770083024395497,1.8263351177030713,1.588252232511072
ensemble_combined,10DTE,30,100.0,100.0,100.0,100.0,14.972981004148501,16.40085365601892,17.61310131868822,19.33684025301501,1.4574909088210313,1.1131917392709583
ensemble_combined,1-3DTE,90,100.0,100.0,100.0,100.0,10.177397123495252,11.308570390393202,12.086514535088494,13.300988246485499,1.2960700066611694,1.1091316947747494
ensemble_combined,4-7DTE,120,99.16666666666667,100.0,100.0,100.0,13.483908281234651,14.919911940132996,15.96089217962535,17.514459033773587,1.8318457734509874,1.5331125360741997
ensemble_combined,8-14DTE,210,100.0,100.0,100.0,100.0,15.517691096380492,17.130705972603383,18.338427270278455,20.117251344420644,1.633199384518306,1.3400491531993954
ensemble_combined,15-20DTE,180,100.0,100.0,100.0,100.0,15.268677739283286,16.505329513822023,17.50206208382652,19.173359187575894,1.7599423109131118,1.415325111117872
