dte,band,time_pst,time_et,spread_type,flow_mode,spread_width,n_trades,n_wins,win_rate_pct,avg_credit,avg_max_risk,avg_pnl,total_pnl,median_pnl,min_pnl,max_pnl,pnl_std,sharpe,avg_hold_days
1,P100,07:00,10:00,iron_condor,neutral,150,75,71,94.7,3918.16,16210.68,1628.96,122172.0,758.5,-13560.0,16242.0,3802.63,0.428,1.0
1,P99,09:00,12:00,iron_condor,neutral,250,49,46,93.9,6696.1,23368.24,2344.43,114877.0,636.5,-19787.0,21227.5,5920.21,0.396,1.0
1,P100,07:00,10:00,iron_condor,neutral,200,68,66,97.1,3950.62,20895.4,1654.51,112507.0,677.0,-19527.0,13825.5,4171.46,0.397,1.0
1,P100,07:00,10:00,iron_condor,with_flow,150,64,60,93.8,4254.69,16027.08,1740.48,111391.0,792.75,-13560.0,16242.0,4079.37,0.427,1.0
1,P100,07:00,10:00,iron_condor,against_flow,150,64,60,93.8,4254.69,16027.08,1740.48,111391.0,792.75,-13560.0,16242.0,4079.37,0.427,1.0
1,P99,09:00,12:00,iron_condor,with_flow,250,46,43,93.5,6800.89,23115.48,2331.37,107243.0,598.75,-19787.0,21227.5,6072.98,0.384,1.0
1,P99,09:00,12:00,iron_condor,against_flow,250,46,43,93.5,6800.89,23115.48,2331.37,107243.0,598.75,-19787.0,21227.5,6072.98,0.384,1.0
1,P97,11:30,14:30,iron_condor,neutral,150,62,61,98.4,3602.31,16009.9,1721.17,106712.5,512.0,-1065.0,12815.0,2750.14,0.626,1.0
1,P100,07:00,10:00,iron_condor,with_flow,200,59,57,96.6,4233.83,20840.47,1747.19,103084.0,589.0,-19527.0,13825.5,4446.4,0.393,1.0
1,P100,07:00,10:00,iron_condor,against_flow,200,59,57,96.6,4233.83,20840.47,1747.19,103084.0,589.0,-19527.0,13825.5,4446.4,0.393,1.0
1,P100,08:15,11:15,iron_condor,with_flow,150,57,57,100.0,4925.72,17071.77,1732.17,98733.5,918.5,3.5,9281.5,2276.99,0.761,1.0
1,P100,08:15,11:15,iron_condor,against_flow,150,57,57,100.0,4925.72,17071.77,1732.17,98733.5,918.5,3.5,9281.5,2276.99,0.761,1.0
1,P97,11:30,14:30,iron_condor,neutral,250,42,40,95.2,4913.88,23593.05,2349.88,98695.0,1041.25,-1065.0,12796.0,2973.02,0.79,1.0
1,P99,09:00,12:00,iron_condor,neutral,50,62,61,98.4,3062.13,8251.79,1578.97,97896.0,283.75,-235.0,17668.0,3631.12,0.435,1.0
1,P99,08:15,11:15,iron_condor,against_flow,150,57,56,98.2,3768.7,17653.51,1710.89,97520.5,312.0,-1845.0,13077.0,2803.54,0.61,1.0
1,P99,08:15,11:15,iron_condor,with_flow,150,57,56,98.2,3768.7,17653.51,1710.89,97520.5,312.0,-1845.0,13077.0,2803.54,0.61,1.0
1,P99,09:00,12:00,iron_condor,neutral,100,72,70,97.2,3021.42,11758.86,1352.83,97404.0,301.0,-3990.0,14820.0,3197.07,0.423,1.0
1,P99,09:00,12:00,iron_condor,neutral,300,29,27,93.1,8733.66,24695.62,3300.55,95716.0,920.0,-10877.0,21227.5,6049.22,0.546,1.0
1,P99,09:00,12:00,iron_condor,neutral,150,69,67,97.1,3313.67,17198.52,1371.65,94644.0,333.5,-8907.0,12608.0,3234.19,0.424,1.0
1,P97,06:30,09:30,iron_condor,neutral,300,34,34,100.0,4762.74,27066.18,2783.25,94630.5,1168.0,2.0,18068.0,4587.13,0.607,1.0
1,P97,06:30,09:30,iron_condor,with_flow,300,30,30,100.0,5281.6,26707.83,3096.27,92888.0,1648.75,2.0,18068.0,4800.64,0.645,1.0
1,P97,06:30,09:30,iron_condor,against_flow,300,30,30,100.0,5281.6,26707.83,3096.27,92888.0,1648.75,2.0,18068.0,4800.64,0.645,1.0
1,P100,08:15,11:15,iron_condor,neutral,150,62,61,98.4,4609.34,17267.47,1493.69,92608.5,797.0,-6563.0,9281.5,2450.41,0.61,1.0
1,P98,08:45,11:45,iron_condor,neutral,250,47,46,97.9,4772.74,24920.91,1958.2,92035.5,620.0,-20013.0,14618.0,4852.8,0.404,1.0
1,P98,08:45,11:45,iron_condor,with_flow,250,42,41,97.6,5309.02,25025.07,2175.37,91365.5,950.0,-20013.0,14618.0,5095.5,0.427,1.0
1,P98,08:45,11:45,iron_condor,against_flow,250,42,41,97.6,5309.02,25025.07,2175.37,91365.5,950.0,-20013.0,14618.0,5095.5,0.427,1.0
1,P99,09:00,12:00,iron_condor,against_flow,50,56,55,98.2,3130.2,8097.09,1618.13,90615.5,298.0,-235.0,17668.0,3743.72,0.432,1.0
1,P99,09:00,12:00,iron_condor,with_flow,50,56,55,98.2,3130.2,8097.09,1618.13,90615.5,298.0,-235.0,17668.0,3743.72,0.432,1.0
1,P97,11:30,14:30,iron_condor,with_flow,150,58,57,98.3,3288.4,15958.88,1558.7,90404.5,512.0,-1065.0,9143.5,2408.3,0.647,1.0
1,P97,11:30,14:30,iron_condor,against_flow,150,58,57,98.3,3288.4,15958.88,1558.7,90404.5,512.0,-1065.0,9143.5,2408.3,0.647,1.0
1,P99,09:00,12:00,iron_condor,with_flow,100,66,64,97.0,3065.11,11546.45,1360.33,89781.5,301.0,-3990.0,14820.0,3265.72,0.417,1.0
1,P99,09:00,12:00,iron_condor,against_flow,100,66,64,97.0,3065.11,11546.45,1360.33,89781.5,301.0,-3990.0,14820.0,3265.72,0.417,1.0
1,P99,12:00,15:00,iron_condor,neutral,100,71,68,95.8,3989.55,12586.72,1251.21,88836.0,382.5,-11862.0,16267.5,3724.22,0.336,1.0
1,P99,09:00,12:00,iron_condor,against_flow,300,27,25,92.6,8840.37,24435.52,3274.93,88423.0,920.0,-10877.0,21227.5,6229.78,0.526,1.0
1,P99,09:00,12:00,iron_condor,with_flow,300,27,25,92.6,8840.37,24435.52,3274.93,88423.0,920.0,-10877.0,21227.5,6229.78,0.526,1.0
1,P99,12:00,15:00,iron_condor,with_flow,100,66,63,95.5,4269.2,12490.02,1334.7,88090.5,452.25,-11862.0,16267.5,3851.6,0.347,1.0
1,P99,12:00,15:00,iron_condor,against_flow,100,66,63,95.5,4269.2,12490.02,1334.7,88090.5,452.25,-11862.0,16267.5,3851.6,0.347,1.0
1,P95,09:00,12:00,iron_condor,neutral,150,70,66,94.3,3368.26,15129.97,1255.96,87917.5,485.0,-15932.0,12896.0,4254.11,0.295,1.0
1,P99,12:30,15:30,iron_condor,neutral,250,52,51,98.1,4258.58,24911.0,1678.33,87273.0,827.75,-17635.0,17841.5,4495.14,0.373,1.0
1,P99,12:30,15:30,iron_condor,against_flow,250,50,49,98.0,4428.44,25107.92,1745.17,87258.5,845.25,-17635.0,17841.5,4573.02,0.382,1.0
1,P99,12:30,15:30,iron_condor,with_flow,250,50,49,98.0,4428.44,25107.92,1745.17,87258.5,845.25,-17635.0,17841.5,4573.02,0.382,1.0
1,P99,09:00,12:00,iron_condor,with_flow,150,63,61,96.8,3387.27,16903.86,1381.29,87021.5,335.0,-8907.0,12608.0,3309.16,0.417,1.0
1,P99,09:00,12:00,iron_condor,against_flow,150,63,61,96.8,3387.27,16903.86,1381.29,87021.5,335.0,-8907.0,12608.0,3309.16,0.417,1.0
1,P98,11:30,14:30,iron_condor,neutral,100,68,67,98.5,2580.56,11156.16,1279.04,86974.5,492.0,-507.0,14401.5,2280.21,0.561,1.0
1,P95,08:45,11:45,iron_condor,neutral,300,33,33,100.0,4516.27,27155.52,2634.62,86942.5,737.5,13.5,27777.0,5107.82,0.516,1.0
1,P95,08:45,11:45,iron_condor,with_flow,300,32,32,100.0,4656.56,27379.97,2716.53,86929.0,860.25,47.0,27777.0,5167.49,0.526,1.0
1,P95,08:45,11:45,iron_condor,against_flow,300,32,32,100.0,4656.56,27379.97,2716.53,86929.0,860.25,47.0,27777.0,5167.49,0.526,1.0
1,P100,08:15,11:15,iron_condor,against_flow,250,40,39,97.5,5527.35,24231.98,2150.98,86039.0,884.5,-13318.0,22784.0,4756.14,0.452,1.0
1,P100,08:15,11:15,iron_condor,with_flow,250,40,39,97.5,5527.35,24231.98,2150.98,86039.0,884.5,-13318.0,22784.0,4756.14,0.452,1.0
1,P95,10:00,13:00,iron_condor,neutral,150,72,70,97.2,3274.36,15240.93,1194.4,85997.0,205.5,-15883.0,19663.5,4386.21,0.272,1.0
1,P99,08:15,11:15,iron_condor,against_flow,200,51,50,98.0,3884.76,20509.69,1685.14,85942.0,508.0,-2865.0,13078.0,2807.7,0.6,1.0
1,P99,08:15,11:15,iron_condor,with_flow,200,51,50,98.0,3884.76,20509.69,1685.14,85942.0,508.0,-2865.0,13078.0,2807.7,0.6,1.0
1,P99,08:45,11:45,iron_condor,neutral,200,57,57,100.0,4323.91,20227.75,1507.32,85917.0,435.0,2.5,12400.5,2617.79,0.576,1.0
1,P100,08:15,11:15,iron_condor,neutral,200,55,55,100.0,4266.55,20120.07,1561.58,85887.0,693.0,5.0,9281.5,2246.27,0.695,1.0
1,P95,09:00,12:00,iron_condor,neutral,250,63,60,95.2,4268.84,23470.44,1361.88,85798.5,657.5,-24743.0,13908.0,6033.7,0.226,1.0
1,P98,10:00,13:00,iron_condor,neutral,50,66,65,98.5,2652.48,7002.52,1296.04,85538.5,235.5,-11998.0,24997.0,3966.49,0.327,1.0
1,P99,12:00,15:00,iron_condor,neutral,150,68,67,98.5,3353.79,17204.71,1253.03,85206.0,452.75,-3646.0,11813.0,2169.29,0.578,1.0
1,P99,08:45,11:45,iron_condor,against_flow,200,52,52,100.0,4673.5,20113.33,1619.16,84196.5,457.25,2.5,12400.5,2712.9,0.597,1.0
1,P99,08:45,11:45,iron_condor,with_flow,200,52,52,100.0,4673.5,20113.33,1619.16,84196.5,457.25,2.5,12400.5,2712.9,0.597,1.0
1,P97,10:00,13:00,iron_condor,neutral,150,69,68,98.6,2886.9,16183.9,1214.56,83804.5,426.5,-15647.0,13178.0,3246.83,0.374,1.0
1,P99,11:00,14:00,iron_condor,neutral,250,54,53,98.1,3582.46,24773.59,1546.58,83515.5,290.0,-1440.0,18062.0,3385.69,0.457,1.0
1,P95,11:30,14:30,iron_condor,neutral,150,66,63,95.5,3155.97,15882.44,1257.92,83022.5,500.75,-11891.0,20306.0,3621.64,0.347,1.0
