config,dte,percentile,spread_width,flow_mode,days_processed,days_with_spreads,total_spreads,avg_credit,avg_max_loss,avg_roi
DTE3_p95_w50_neutral,3,95,50,neutral,7,6,1523,21.061510177281683,28.938489822718317,252.569247322441
DTE5_p95_w50_neutral,5,95,50,neutral,5,5,205,29.19258536585366,20.807414634146344,538.741137129978
DTE3_p97_w20_neutral,3,97,20,neutral,7,0,0,0.0,0.0,0.0
DTE3_p97_w30_neutral,3,97,30,neutral,7,0,0,0.0,0.0,0.0
DTE3_p97_w50_neutral,3,97,50,neutral,7,6,1023,17.92908113391984,32.070918866080156,137.2366300003991
DTE5_p97_w20_neutral,5,97,20,neutral,5,0,0,0.0,0.0,0.0
DTE5_p97_w30_neutral,5,97,30,neutral,5,0,0,0.0,0.0,0.0
DTE5_p97_w50_neutral,5,97,50,neutral,5,5,151,29.547880794701985,20.452119205298015,580.6837110797286
DTE0_p99_w20_neutral,0,99,20,neutral,9,7,21375,9.238672280701755,10.761327719298245,467.10615659074557
DTE1_p99_w20_neutral,1,99,20,neutral,9,7,32050,9.613591575663026,10.386408424336974,541.6069410760844
DTE3_p99_w20_neutral,3,99,20,neutral,7,0,0,0.0,0.0,0.0
DTE3_p97_w30_with_flow,3,97,30,with_flow,7,7,5803,6.842548681716353,3910.696019300362,0.30324601791938155
DTE5_p97_w30_with_flow,5,97,30,with_flow,5,5,2770,5.243898916967509,4344.924187725632,0.20373555361718693
