dte,band,band_description,max_width_cap,time_pst,time_et,time_bucket_id,time_bucket,spread_type,flow_mode,spread_width,n_trades,win_rate_pct,avg_credit,avg_max_risk,n_contracts,avg_credit_30k,roi_pct,avg_pnl,avg_pnl_30k,total_pnl_30k,median_pnl,min_pnl,max_pnl,pnl_std,sharpe,avg_hold_days,pass_win_rate,pass_roi,pass_min_trades,pass_sharpe,pass_avg_pnl,successful,score_balanced,score_risk_adjusted,capital_efficiency,score_capital_efficient
3,P98,1.0/99.0 pct of 100d moves,69,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,10,58,91.4,21575.71,5480.97,5,107878.55,393.65,802.49,4012.45,232722.1,209.0,-997.0,7597.0,1616.82,0.496,2.7,True,True,True,True,True,True,168.755,80.56,0.14641386469913173,17.121386469913173
3,P98,1.0/99.0 pct of 100d moves,69,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,10,58,91.4,21575.71,5480.97,5,107878.55,393.65,802.49,4012.45,232722.1,209.0,-997.0,7597.0,1616.82,0.496,2.7,True,True,True,True,True,True,168.755,80.56,0.14641386469913173,17.121386469913173
3,P98,1.0/99.0 pct of 100d moves,69,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,5,58,91.4,21560.45,5480.97,5,107802.25,393.37,794.86,3974.3,230509.4,209.0,-997.0,7597.0,1615.29,0.492,2.7,True,True,True,True,True,True,168.631,80.5,0.14502177534268568,16.96217753426857
3,P98,1.0/99.0 pct of 100d moves,69,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,5,58,91.4,21560.45,5480.97,5,107802.25,393.37,794.86,3974.3,230509.4,209.0,-997.0,7597.0,1615.29,0.492,2.7,True,True,True,True,True,True,168.631,80.5,0.14502177534268568,16.96217753426857
3,P99,0.5/99.5 pct of 100d moves,86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,10,49,91.8,24884.82,6442.16,4,99539.28,386.28,644.79,2579.16,126378.8,111.5,-1416.0,7906.0,1508.55,0.427,2.7,True,True,True,True,True,True,166.05399999999997,79.845,0.10008910055012604,12.143910055012604
3,P99,0.5/99.5 pct of 100d moves,86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,10,49,91.8,24884.82,6442.16,4,99539.28,386.28,644.79,2579.16,126378.8,111.5,-1416.0,7906.0,1508.55,0.427,2.7,True,True,True,True,True,True,166.05399999999997,79.845,0.10008910055012604,12.143910055012604
3,P99,0.5/99.5 pct of 100d moves,86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,5,48,91.7,25347.9,6553.4,4,101391.6,386.79,630.54,2522.16,121063.7,98.5,-1416.0,7906.0,1524.86,0.414,2.6,True,True,True,True,True,True,166.02700000000002,79.57,0.09621570482497635,11.691570482497635
3,P99,0.5/99.5 pct of 100d moves,86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,5,48,91.7,25347.9,6553.4,4,101391.6,386.79,630.54,2522.16,121063.7,98.5,-1416.0,7906.0,1524.86,0.414,2.6,True,True,True,True,True,True,166.02700000000002,79.57,0.09621570482497635,11.691570482497635
3,P98,1.0/99.0 pct of 100d moves,69,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,neutral,10,63,92.1,19935.24,5426.68,5,99676.2,367.36,774.75,3873.75,244046.2,178.5,-997.0,7597.0,1567.26,0.494,2.7,True,True,True,True,True,True,161.19799999999998,81.08999999999999,0.14276684823870212,16.74668482387021
3,P98,1.0/99.0 pct of 100d moves,69,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,neutral,5,63,92.1,19921.19,5426.68,5,99605.95,367.1,767.72,3838.6,241831.8,178.5,-997.0,7597.0,1565.69,0.49,2.7,True,True,True,True,True,True,161.08,81.02999999999999,0.14147139687617474,16.597139687617474
3,P99,0.5/99.5 pct of 100d moves,86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,neutral,10,53,92.5,23023.25,6270.08,4,92093.0,367.19,604.39,2417.56,128130.7,99.5,-1416.0,7906.0,1457.01,0.415,2.7,True,True,True,True,True,True,160.55700000000002,80.225,0.09639270950290905,11.714270950290905
3,P99,0.5/99.5 pct of 100d moves,86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,neutral,5,53,92.5,22977.17,6254.64,4,91908.68,367.36,581.35,2325.4,123246.2,97.5,-1416.0,7906.0,1458.46,0.399,2.7,True,True,True,True,True,True,160.44799999999998,79.985,0.09294699615005819,11.28969961500582
3,P99,0.5/99.5 pct of 100d moves,86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,15,53,90.6,22877.87,6167.74,4,91511.48,370.93,378.36,1513.44,80212.3,99.5,-4348.0,5512.0,1201.7,0.315,2.7,True,True,True,True,True,True,159.72899999999998,77.205,0.0613449983300204,7.70949983300204
3,P99,0.5/99.5 pct of 100d moves,86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,15,53,90.6,22877.87,6167.74,4,91511.48,370.93,378.36,1513.44,80212.3,99.5,-4348.0,5512.0,1201.7,0.315,2.7,True,True,True,True,True,True,159.72899999999998,77.205,0.0613449983300204,7.70949983300204
3,P99,0.5/99.5 pct of 100d moves,86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,neutral,15,57,91.2,21287.77,6026.98,4,85151.08,353.21,359.49,1437.96,81963.7,97.5,-4348.0,5512.0,1160.79,0.31,2.7,True,True,True,True,True,True,154.66299999999998,77.61000000000001,0.05964678827538834,7.514678827538834
3,P98,1.0/99.0 pct of 100d moves,69,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,neutral,15,62,90.3,19994.6,5793.9,5,99973.0,345.1,537.85,2689.25,166733.5,188.25,-2987.0,5502.0,1252.24,0.43,2.7,True,True,True,True,True,True,152.98,78.69,0.09283039058319958,11.43303905831996
3,P98,1.0/99.0 pct of 100d moves,69,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,25,55,92.7,22545.05,6662.98,4,90180.2,338.36,637.14,2548.56,140170.8,267.5,-2987.0,5502.0,1245.53,0.512,2.7,True,True,True,True,True,True,152.978,81.84,0.09562388000564312,12.122388000564312
3,P98,1.0/99.0 pct of 100d moves,69,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,25,55,92.7,22545.05,6662.98,4,90180.2,338.36,637.14,2548.56,140170.8,267.5,-2987.0,5502.0,1245.53,0.512,2.7,True,True,True,True,True,True,152.978,81.84,0.09562388000564312,12.122388000564312
3,P98,1.0/99.0 pct of 100d moves,69,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,neutral,20,61,90.2,20206.9,5867.54,5,101034.5,344.38,488.93,2444.65,149123.6,184.0,-2987.0,5502.0,1201.42,0.407,2.7,True,True,True,True,True,True,152.48399999999998,78.26500000000001,0.08332793640946631,10.367793640946632
3,P99,0.5/99.5 pct of 100d moves,86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,20,54,90.7,22467.96,6484.2,4,89871.84,346.5,378.23,1512.92,81697.7,105.5,-4348.0,5512.0,1190.38,0.318,2.7,True,True,True,True,True,True,152.48000000000002,77.33,0.058331020017889645,7.423102001788965
3,P99,0.5/99.5 pct of 100d moves,86,07:30,10:30,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,20,54,90.7,22467.96,6484.2,4,89871.84,346.5,378.23,1512.92,81697.7,105.5,-4348.0,5512.0,1190.38,0.318,2.7,True,True,True,True,True,True,152.48000000000002,77.33,0.058331020017889645,7.423102001788965
3,P97,1.5/98.5 pct of 100d moves,52,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,against_flow,10,59,94.9,22269.78,6635.49,4,89079.12,335.62,1282.66,5130.64,302707.8,360.5,-8750.0,14835.0,3118.42,0.411,2.9,True,True,True,True,True,True,152.24599999999998,82.08500000000001,0.19330298139248195,21.385298139248196
3,P97,1.5/98.5 pct of 100d moves,52,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),iron_condor,with_flow,10,59,94.9,22269.78,6635.49,4,89079.12,335.62,1282.66,5130.64,302707.8,360.5,-8750.0,14835.0,3118.42,0.411,2.9,True,True,True,True,True,True,152.24599999999998,82.08500000000001,0.19330298139248195,21.385298139248196
