dte,band,band_description,max_width_cap,time_pst,time_et,time_bucket_id,time_bucket,spread_type,flow_mode,spread_width,n_trades,win_rate_pct,avg_credit,avg_max_risk,n_contracts,avg_credit_30k,roi_pct,avg_pnl,avg_pnl_30k,total_pnl_30k,median_pnl,min_pnl,max_pnl,pnl_std,sharpe,avg_hold_days,pass_win_rate,pass_roi,pass_min_trades,pass_sharpe,pass_avg_pnl,successful,score_balanced,score_risk_adjusted,capital_efficiency,score_capital_efficient,category
0,P98,1.0/99.0 pct of 100d moves,40,11:00,14:00,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),call_spread,neutral,5,39,97.4,737.56,2467.56,12,8850.72,29.89,19.62,235.44,9182.2,6.0,-7.0,170.0,32.08,0.611,0.0,True,True,True,True,True,True,63.777,87.08500000000001,0.007951174439527307,3.8501174439527306,dte_0
0,P98,1.0/99.0 pct of 100d moves,40,11:00,14:00,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),call_spread,neutral,10,40,97.5,723.52,2476.48,12,8682.24,29.22,23.52,282.24,11289.6,8.0,-7.0,170.0,38.66,0.609,0.0,True,True,True,True,True,True,63.606,87.135,0.009497351078950769,3.994735107895077,dte_0
0,P95,2.5/97.5 pct of 100d moves,30,07:00,10:00,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),put_spread,with_flow,15,11,100.0,125.27,2465.64,12,1503.24,5.08,125.27,1503.24,16535.6,105.0,18.0,407.0,113.48,1.104,0.0,True,True,True,True,True,True,62.564,96.56,0.05080628153339498,10.6006281533395,dte_0
1,P100,0.0/100.0 pct (min/max of 100d moves),60,09:00,12:00,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),call_spread,neutral,50,39,87.2,31077.38,8640.56,3,93232.14,359.67,21.73,65.19,2542.4,64.0,-6918.0,4952.5,1787.76,0.012,0.9,True,True,True,True,True,True,151.621,69.94000000000001,0.002514883294601276,0.3114883294601276,dte_1
1,P100,0.0/100.0 pct (min/max of 100d moves),60,09:00,12:00,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),call_spread,neutral,45,39,87.2,31030.97,8635.69,3,93092.91,359.33,26.6,79.8,3112.2,64.0,-6918.0,4952.5,1787.3,0.015,0.9,True,True,True,True,True,True,151.549,69.985,0.0030802402587401818,0.3830240258740182,dte_1
1,P100,0.0/100.0 pct (min/max of 100d moves),60,09:00,12:00,C,C: 09:00-12:30 PST / 12:00-15:30 ET (30-min),iron_condor,against_flow,10,51,92.2,24566.33,7182.18,4,98265.32,342.05,568.46,2273.84,115965.8,165.0,-6896.0,13294.5,2325.35,0.244,0.9,True,True,True,True,True,True,151.155,77.42,0.07914867073785396,9.134867073785397,dte_1
3,P97,1.5/98.5 pct of 100d moves,52,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),call_spread,with_flow,5,22,95.5,52277.73,8654.09,3,156833.19,604.08,30.91,92.73,2040.1,47.5,-8750.0,3760.0,2170.62,0.014,2.9,True,True,True,True,True,True,229.114,76.61,0.003571721579045284,0.4271721579045284,dte_3
3,P97,1.5/98.5 pct of 100d moves,52,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),call_spread,with_flow,10,22,95.5,52277.73,8654.09,3,156833.19,604.08,30.91,92.73,2040.1,47.5,-8750.0,3760.0,2170.62,0.014,2.9,True,True,True,True,True,True,229.114,76.61,0.003571721579045284,0.4271721579045284,dte_3
3,P97,1.5/98.5 pct of 100d moves,52,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),call_spread,with_flow,25,22,95.5,52333.82,8711.64,3,157001.46,600.73,58.95,176.85,3890.7,47.5,-8750.0,3760.0,2175.94,0.027,2.9,True,True,True,True,True,True,228.239,76.805,0.006766808545807679,0.8116808545807679,dte_3
5,P100,0.0/100.0 pct (min/max of 100d moves),86,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),call_spread,against_flow,20,20,85.0,30880.4,5594.6,5,154402.0,551.97,36.22,181.1,3622.0,96.75,-2240.0,1266.5,861.18,0.042,3.4,True,True,True,True,True,True,208.511,68.63,0.0064741000250241295,0.857410002502413,dte_5
