dte,band,time_pst,time_et,spread_type,flow_mode,spread_width,n_trades,n_wins,win_rate_pct,avg_credit,avg_max_risk,avg_pnl,total_pnl,median_pnl,min_pnl,max_pnl,pnl_std,sharpe,avg_hold_days
3,P99,07:15,10:15,iron_condor,neutral,30,59,56,94.9,3505.61,7853.39,1687.72,99575.5,100.0,-4960.0,26895.0,4448.59,0.379,2.9
3,P99,07:15,10:15,iron_condor,neutral,35,58,55,94.8,3560.45,8072.0,1714.26,99427.0,114.5,-4960.0,26895.0,4483.54,0.382,2.9
3,P99,07:15,10:15,iron_condor,against_flow,30,53,51,96.2,3674.32,7519.66,1858.67,98509.5,100.0,-1959.0,26895.0,4574.81,0.406,2.9
3,P99,07:15,10:15,iron_condor,with_flow,30,53,51,96.2,3674.32,7519.66,1858.67,98509.5,100.0,-1959.0,26895.0,4574.81,0.406,2.9
3,P99,07:15,10:15,iron_condor,with_flow,35,52,50,96.2,3738.73,7757.08,1891.56,98361.0,114.5,-1959.0,26895.0,4613.99,0.41,2.9
3,P99,07:15,10:15,iron_condor,against_flow,35,52,50,96.2,3738.73,7757.08,1891.56,98361.0,114.5,-1959.0,26895.0,4613.99,0.41,2.9
3,P99,07:15,10:15,iron_condor,with_flow,80,55,52,94.5,4183.62,10416.82,1787.47,98311.0,143.5,-10911.0,26902.0,4946.11,0.361,2.8
3,P99,07:15,10:15,iron_condor,against_flow,80,55,52,94.5,4183.62,10416.82,1787.47,98311.0,143.5,-10911.0,26902.0,4946.11,0.361,2.8
3,P99,07:15,10:15,iron_condor,neutral,10,51,49,96.1,3439.24,7247.92,1888.1,96293.0,124.0,-1091.0,26895.0,4647.46,0.406,2.9
3,P99,07:15,10:15,iron_condor,neutral,5,51,49,96.1,3438.25,7250.41,1887.61,96268.0,124.0,-1091.0,26895.0,4658.12,0.405,2.9
3,P99,07:15,10:15,iron_condor,with_flow,85,54,51,94.4,4106.43,10868.57,1742.96,94120.0,140.5,-10911.0,26902.0,4951.78,0.352,2.8
3,P99,07:15,10:15,iron_condor,against_flow,85,54,51,94.4,4106.43,10868.57,1742.96,94120.0,140.5,-10911.0,26902.0,4951.78,0.352,2.8
3,P99,07:15,10:15,iron_condor,with_flow,5,48,46,95.8,3518.54,6567.33,1938.28,93037.5,134.0,-1091.0,26895.0,4786.22,0.405,2.9
3,P99,07:15,10:15,iron_condor,against_flow,5,48,46,95.8,3518.54,6567.33,1938.28,93037.5,134.0,-1091.0,26895.0,4786.22,0.405,2.9
3,P99,07:15,10:15,iron_condor,neutral,40,57,53,93.0,3603.74,8189.96,1630.09,92915.0,105.0,-5931.0,26895.0,4628.69,0.352,2.8
3,P99,07:15,10:15,iron_condor,against_flow,10,47,45,95.7,3569.91,6697.0,1967.78,92485.5,124.0,-1091.0,26895.0,4822.53,0.408,2.9
3,P99,07:15,10:15,iron_condor,with_flow,10,47,45,95.7,3569.91,6697.0,1967.78,92485.5,124.0,-1091.0,26895.0,4822.53,0.408,2.9
3,P99,07:15,10:15,iron_condor,with_flow,40,52,49,94.2,3739.87,7776.31,1777.4,92425.0,114.5,-5931.0,26895.0,4733.75,0.375,2.8
3,P99,07:15,10:15,iron_condor,against_flow,40,52,49,94.2,3739.87,7776.31,1777.4,92425.0,114.5,-5931.0,26895.0,4733.75,0.375,2.8
3,P99,07:15,10:15,iron_condor,with_flow,75,53,50,94.3,4094.81,10321.09,1731.58,91774.0,143.5,-10911.0,26902.0,5033.02,0.344,2.8
3,P99,07:15,10:15,iron_condor,against_flow,75,53,50,94.3,4094.81,10321.09,1731.58,91774.0,143.5,-10911.0,26902.0,5033.02,0.344,2.8
3,P99,07:15,10:15,iron_condor,neutral,45,57,53,93.0,3549.11,8265.12,1602.77,91358.0,103.5,-5931.0,26895.0,4624.79,0.347,2.8
3,P99,07:15,10:15,iron_condor,neutral,80,60,55,91.7,4023.3,10839.98,1519.66,91179.5,130.75,-10911.0,26902.0,4949.31,0.307,2.8
3,P99,07:15,10:15,iron_condor,with_flow,45,52,49,94.2,3679.98,7858.69,1747.46,90868.0,113.75,-5931.0,26895.0,4730.51,0.369,2.8
3,P99,07:15,10:15,iron_condor,against_flow,45,52,49,94.2,3679.98,7858.69,1747.46,90868.0,113.75,-5931.0,26895.0,4730.51,0.369,2.8
3,P99,07:15,10:15,iron_condor,neutral,50,57,53,93.0,3504.14,8397.81,1580.29,90076.5,100.0,-5931.0,26895.0,4629.46,0.341,2.8
3,P99,07:15,10:15,iron_condor,against_flow,50,52,49,94.2,3630.69,8004.13,1722.82,89586.5,112.0,-5931.0,26895.0,4736.28,0.364,2.8
3,P99,07:15,10:15,iron_condor,with_flow,50,52,49,94.2,3630.69,8004.13,1722.82,89586.5,112.0,-5931.0,26895.0,4736.28,0.364,2.8
3,P95,08:45,11:45,iron_condor,neutral,10,57,56,98.2,2534.04,5765.11,1544.38,88029.5,197.5,-1134.0,22025.0,4059.96,0.38,2.8
3,P95,08:45,11:45,iron_condor,against_flow,10,51,50,98.0,2796.35,5724.2,1708.17,87116.5,197.5,-1134.0,22025.0,4266.05,0.4,2.8
3,P95,08:45,11:45,iron_condor,with_flow,10,51,50,98.0,2796.35,5724.2,1708.17,87116.5,197.5,-1134.0,22025.0,4266.05,0.4,2.8
3,P99,07:15,10:15,iron_condor,neutral,85,59,54,91.5,3950.95,11260.63,1474.89,87018.5,124.0,-10911.0,26902.0,4952.45,0.298,2.8
3,P99,07:15,10:15,iron_condor,against_flow,25,50,48,96.0,3370.9,7103.2,1708.25,85412.5,96.25,-1959.0,26895.0,4623.99,0.369,2.9
