dte,band,band_description,max_width_cap,time_pst,time_et,time_bucket_id,time_bucket,spread_type,flow_mode,spread_width,n_trades,win_rate_pct,avg_credit,avg_max_risk,n_contracts,avg_credit_30k,roi_pct,avg_pnl,avg_pnl_30k,total_pnl_30k,median_pnl,min_pnl,max_pnl,pnl_std,sharpe,avg_hold_days,pass_win_rate,pass_roi,pass_min_trades,pass_sharpe,pass_avg_pnl,successful,score_balanced,score_risk_adjusted,capital_efficiency,score_capital_efficient,rank_metric,rank
3,P97,1.5/98.5 pct of 100d moves,52,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),call_spread,with_flow,5,22,95.5,52277.73,8654.09,3,156833.19,604.08,30.91,92.73,2040.1,47.5,-8750.0,3760.0,2170.62,0.014,2.9,True,True,True,True,True,True,229.114,76.61,0.003571721579045284,0.4271721579045284,roi,1
3,P97,1.5/98.5 pct of 100d moves,52,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),call_spread,with_flow,10,22,95.5,52277.73,8654.09,3,156833.19,604.08,30.91,92.73,2040.1,47.5,-8750.0,3760.0,2170.62,0.014,2.9,True,True,True,True,True,True,229.114,76.61,0.003571721579045284,0.4271721579045284,roi,2
3,P97,1.5/98.5 pct of 100d moves,52,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),call_spread,with_flow,25,22,95.5,52333.82,8711.64,3,157001.46,600.73,58.95,176.85,3890.7,47.5,-8750.0,3760.0,2175.94,0.027,2.9,True,True,True,True,True,True,228.239,76.805,0.006766808545807679,0.8116808545807679,roi,3
3,P97,1.5/98.5 pct of 100d moves,52,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),call_spread,with_flow,20,22,95.5,52333.82,8711.64,3,157001.46,600.73,58.95,176.85,3890.7,47.5,-8750.0,3760.0,2175.94,0.027,2.9,True,True,True,True,True,True,228.239,76.805,0.006766808545807679,0.8116808545807679,roi,4
3,P97,1.5/98.5 pct of 100d moves,52,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),call_spread,with_flow,15,22,95.5,52333.82,8711.64,3,157001.46,600.73,58.95,176.85,3890.7,47.5,-8750.0,3760.0,2175.94,0.027,2.9,True,True,True,True,True,True,228.239,76.805,0.006766808545807679,0.8116808545807679,roi,5
3,P97,1.5/98.5 pct of 100d moves,52,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),call_spread,with_flow,35,24,95.8,48341.08,8429.75,3,145023.24,573.46,238.25,714.75,17154.0,71.25,-8750.0,3760.0,2146.51,0.111,2.9,True,True,True,True,True,True,221.04800000000003,78.305,0.028262997123283607,3.381299712328361,roi,6
3,P97,1.5/98.5 pct of 100d moves,52,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),call_spread,with_flow,40,24,95.8,48322.33,8469.33,3,144966.99,570.56,228.88,686.64,16479.4,71.25,-8750.0,3760.0,2144.68,0.107,2.9,True,True,True,True,True,True,220.13799999999998,78.245,0.02702456983019908,3.2374569830199085,roi,7
3,P97,1.5/98.5 pct of 100d moves,52,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),call_spread,with_flow,30,25,96.0,46407.64,8212.36,3,139222.92,565.1,228.82,686.46,17161.5,70.0,-8750.0,3760.0,2101.85,0.109,2.9,True,True,True,True,True,True,218.62,78.43500000000002,0.02786287985426844,3.331287985426844,roi,8
3,P97,1.5/98.5 pct of 100d moves,52,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),call_spread,with_flow,50,24,95.8,48332.54,8625.79,3,144997.62,560.33,233.98,701.94,16846.6,71.25,-8750.0,3760.0,2148.75,0.109,2.9,True,True,True,True,True,True,217.08900000000003,78.275,0.027125631391443562,3.2575631391443562,roi,9
3,P97,1.5/98.5 pct of 100d moves,52,07:45,10:45,B,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),call_spread,with_flow,45,24,95.8,48332.54,8625.79,3,144997.62,560.33,233.98,701.94,16846.6,71.25,-8750.0,3760.0,2148.75,0.109,2.9,True,True,True,True,True,True,217.08900000000003,78.275,0.027125631391443562,3.2575631391443562,roi,10
