dte,band,spread_type,flow_mode,spread_width,entry_time_pst,entry_time_et,time_bucket,expected_win_pct,expected_roi_pct,sharpe,expected_credit,max_risk_per_contract,avg_pnl,n_trades,trade_score
3,P98,iron_condor,against_flow,10,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.4,393.65,0.496,21575.71,5480.97,802.49,58,160.86948913878385
3,P98,iron_condor,with_flow,10,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.4,393.65,0.496,21575.71,5480.97,802.49,58,160.86948913878385
3,P98,iron_condor,against_flow,5,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.4,393.37,0.492,21560.45,5480.97,794.86,58,160.76748913878384
3,P98,iron_condor,with_flow,5,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.4,393.37,0.492,21560.45,5480.97,794.86,58,160.76748913878384
3,P99,iron_condor,against_flow,10,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.8,386.28,0.427,24884.82,6442.16,644.79,49,158.17054878487957
3,P99,iron_condor,with_flow,10,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.8,386.28,0.427,24884.82,6442.16,644.79,49,158.17054878487957
3,P99,iron_condor,against_flow,5,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.7,386.79,0.414,25347.9,6553.4,630.54,48,158.08135094759973
3,P99,iron_condor,with_flow,5,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.7,386.79,0.414,25347.9,6553.4,630.54,48,158.08135094759973
3,P98,iron_condor,neutral,10,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),92.1,367.36,0.494,19935.24,5426.68,774.75,63,154.73749463023432
3,P98,iron_condor,neutral,5,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),92.1,367.1,0.49,19921.19,5426.68,767.72,63,154.64049463023434
3,P99,iron_condor,neutral,10,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),92.5,367.19,0.415,23023.25,6270.08,604.39,53,153.80725196488723
3,P99,iron_condor,neutral,5,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),92.5,367.36,0.399,22977.17,6254.64,581.35,53,153.72962608239644
3,P99,iron_condor,against_flow,15,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.6,370.93,0.315,22877.87,6167.74,378.36,53,152.8551788418448
3,P99,iron_condor,with_flow,15,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.6,370.93,0.315,22877.87,6167.74,378.36,53,152.8551788418448
3,P99,iron_condor,neutral,15,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.2,353.21,0.31,21287.77,6026.98,359.49,57,148.8209115427627
3,P98,iron_condor,neutral,15,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.3,345.1,0.43,19994.6,5793.9,537.85,62,147.3469063152626
3,P98,iron_condor,against_flow,25,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),92.7,338.36,0.512,22545.05,6662.98,637.14,55,147.30765991793464
3,P98,iron_condor,with_flow,25,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),92.7,338.36,0.512,22545.05,6662.98,637.14,55,147.30765991793464
3,P97,iron_condor,against_flow,10,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.9,335.62,0.411,22269.78,6635.49,1282.66,59,147.14709541721862
3,P97,iron_condor,with_flow,10,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.9,335.62,0.411,22269.78,6635.49,1282.66,59,147.14709541721862
3,P97,iron_condor,against_flow,5,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.9,335.3,0.409,22258.39,6638.41,1276.97,59,147.04976962405155
3,P97,iron_condor,with_flow,5,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.9,335.3,0.409,22258.39,6638.41,1276.97,59,147.04976962405155
3,P98,iron_condor,neutral,20,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.2,344.38,0.407,20206.9,5867.54,488.93,61,146.87958349495702
3,P99,iron_condor,against_flow,20,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.7,346.5,0.318,22467.96,6484.2,378.23,54,146.67342059159188
3,P99,iron_condor,with_flow,20,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.7,346.5,0.318,22467.96,6484.2,378.23,54,146.67342059159188
3,P98,iron_condor,against_flow,30,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.1,327.6,0.537,21818.4,6659.98,823.91,58,145.05901202105713
3,P98,iron_condor,with_flow,30,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.1,327.6,0.537,21818.4,6659.98,823.91,58,145.05901202105713
3,P99,iron_condor,neutral,20,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.4,331.01,0.313,20933.55,6324.05,359.7,58,143.25903034052544
3,P98,iron_condor,neutral,25,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.4,315.58,0.508,20402.82,6465.08,612.12,61,142.09254253930345
3,P98,iron_condor,neutral,30,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.7,308.48,0.534,20159.4,6534.98,794.83,63,140.67245313069054
3,P97,iron_condor,with_flow,20,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.4,314.63,0.359,21272.72,6761.08,1074.52,61,140.527607284635
3,P97,iron_condor,against_flow,20,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.4,314.63,0.359,21272.72,6761.08,1074.52,61,140.527607284635
3,P97,iron_condor,against_flow,15,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.4,314.56,0.358,21267.87,6761.08,1072.09,61,140.502107284635
3,P97,iron_condor,with_flow,15,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.4,314.56,0.358,21267.87,6761.08,1072.09,61,140.502107284635
3,P98,iron_condor,against_flow,40,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.7,303.98,0.493,22106.19,7272.25,783.24,57,139.50918048059404
3,P98,iron_condor,with_flow,40,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.7,303.98,0.493,22106.19,7272.25,783.24,57,139.50918048059404
3,P98,iron_condor,against_flow,35,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.8,302.67,0.499,21759.95,7189.36,787.18,58,139.32138879121368
3,P98,iron_condor,with_flow,35,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.8,302.67,0.499,21759.95,7189.36,787.18,58,139.32138879121368
3,P98,iron_condor,against_flow,45,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.6,296.35,0.495,22524.23,7600.55,773.46,56,137.43888851793622
3,P98,iron_condor,with_flow,45,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.6,296.35,0.495,22524.23,7600.55,773.46,56,137.43888851793622
3,P97,iron_condor,against_flow,25,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.4,302.11,0.351,21291.08,7047.43,1060.97,61,137.21341396296236
3,P97,iron_condor,with_flow,25,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.4,302.11,0.351,21291.08,7047.43,1060.97,61,137.21341396296236
