method,dte_bucket,n_samples,p95_hit_rate,p97_hit_rate,p98_hit_rate,p99_hit_rate,p95_avg_width,p97_avg_width,p98_avg_width,p99_avg_width,avg_midpoint_error,median_midpoint_error
baseline,1DTE,60,98.33333333333333,100.0,100.0,100.0,5.395886794742376,6.31337177251543,6.767329692542145,8.832784068356514,0.9531987694863897,0.9246133453898434
baseline,2DTE,60,100.0,100.0,100.0,100.0,7.692293899886005,9.06917423675495,9.803815002636394,12.523518790401264,1.2324491006047054,1.186967484945574
baseline,3DTE,60,100.0,100.0,100.0,100.0,10.017979313229516,11.811717422136558,13.911607509287451,18.813584407861104,1.3989612949317862,1.2342578224474208
baseline,5DTE,60,100.0,100.0,100.0,100.0,11.779306051111137,13.900271853131184,15.891431111339106,18.507167428939542,1.7417822078672858,1.5654056530215787
baseline,7DTE,60,100.0,100.0,100.0,100.0,14.178796923357696,15.594122878425821,18.10809822494722,20.070307438562182,1.9165139070745463,1.7086475344095704
baseline,10DTE,60,100.0,100.0,100.0,100.0,16.219918806312176,17.615656523628743,19.71845246176311,23.135078979723357,1.8860080752582637,1.5188485997394943
baseline,1-3DTE,180,99.44444444444444,100.0,100.0,100.0,7.702053335952632,9.064754477135647,10.160917401488664,13.389962422206297,1.1948697216742938,1.0699326301742533
baseline,4-7DTE,240,100.0,100.0,100.0,100.0,12.65195376252047,13.993596419012391,16.318667351944146,19.092806598172803,1.792303359187348,1.5313465953654526
baseline,8-14DTE,420,100.0,100.0,100.0,100.0,17.559275406618767,19.149438424144137,21.249679139791876,23.741493417780536,1.8914399961450372,1.401801769139161
baseline,15-20DTE,360,100.0,100.0,100.0,100.0,23.888627277530688,26.48304075921017,27.88439337921998,29.390775892747556,2.5411612273644772,2.1655526751371816
conditional,1DTE,60,93.33333333333333,96.66666666666667,98.33333333333333,100.0,3.77806913625398,4.35524951930696,4.872117981006363,5.842198629621156,0.9194349951939866,0.8566075516364684
conditional,2DTE,60,98.33333333333333,98.33333333333333,98.33333333333333,98.33333333333333,4.969226772872214,5.79031820028742,6.280403700779764,7.0447792446819655,1.2362680181701515,1.2485253701054448
conditional,3DTE,60,93.33333333333333,96.66666666666667,98.33333333333333,100.0,6.182347532550991,7.034160097100228,7.823524815020958,9.333436227811408,1.3711320171348507,1.3258242344733668
conditional,5DTE,60,91.66666666666666,96.66666666666667,100.0,100.0,7.636079167779538,8.87078423281336,9.633744557213399,10.936680208760826,1.7875725914671894,1.5504076786806338
conditional,7DTE,60,93.33333333333333,100.0,100.0,100.0,8.50056788357612,10.696429128476979,12.265607609562524,14.06340574828122,2.0159029609951618,1.8137507817292033
conditional,10DTE,60,100.0,100.0,100.0,100.0,10.772430471807452,12.525543748148534,13.584420199642187,15.877952875043317,2.0087581766823734,1.6685830186599586
conditional,1-3DTE,180,95.0,97.22222222222221,98.33333333333333,99.44444444444444,4.976547813892395,5.726575938898202,6.325348832269027,7.406804700704844,1.1756116768329963,1.044668130514162
conditional,4-7DTE,240,92.08333333333333,97.08333333333333,99.16666666666667,100.0,7.926943090221823,9.476459137014656,10.408570334105026,11.840001224239476,1.8695397604369235,1.6018733834817978
conditional,8-14DTE,420,97.85714285714285,100.0,100.0,100.0,11.266529360029013,13.134608392967493,14.440623974768169,16.22127416234305,2.0702064548853265,1.8509386332921347
conditional,15-20DTE,360,99.72222222222223,100.0,100.0,100.0,15.500380052003946,16.933769530616388,17.721929010661885,18.560270700200125,2.366788224573722,2.3311179308203376
