approach,date,hour,current_price,predicted_close,actual_close,error,error_pct,range_lower,range_upper,range_width,range_width_pct,in_range,confidence
STATIC,2026-01-20,9.5,25198.83383990118,25240.041684948766,24987.56642309378,-252.47526185498646,1.0104035646370353,24571.35103107311,25599.913900755,1028.5628696818894,4.081787578809334,True,ConfidenceLevel.LOW
STATIC,2026-01-20,10.0,25157.33674899628,25219.788920107672,24987.56642309378,-232.22249701389228,0.9293521949351168,24642.724863703297,25518.158737610225,875.433873906928,3.4798352569727236,True,ConfidenceLevel.LOW
STATIC,2026-01-20,10.5,25241.05462323962,25277.476041457583,24987.56642309378,-289.909618363803,1.1602154986003974,24759.404115981273,25615.337138672643,855.9330226913698,3.3910351031977335,True,ConfidenceLevel.LOW
STATIC,2026-01-20,11.0,25233.48282229235,25288.293846737823,24987.56642309378,-300.7274236440426,1.2035082510720492,24681.244429154067,25589.804269912496,908.5598407584293,3.6006121198448606,True,ConfidenceLevel.LOW
STATIC,2026-01-20,11.5,25255.07243380739,25310.35042613257,24987.56642309378,-322.7840030387888,1.2917784692328755,24696.176782584145,25584.96208827654,888.7853056923959,3.5192348310299617,True,ConfidenceLevel.LOW
STATIC,2026-01-20,12.0,25241.46345915812,25297.284867130355,24987.56642309378,-309.7184440365745,1.2394902280292865,24649.828598370255,25545.70099260291,895.8723942326542,3.5492094017536586,True,ConfidenceLevel.LOW
STATIC,2026-01-20,12.5,25163.39897333281,25231.281580984567,24987.56642309378,-243.71515789078694,0.9753457130004575,24591.85803737949,25463.680705126408,871.8226677469174,3.4646458877468866,True,ConfidenceLevel.LOW
STATIC,2026-01-20,13.0,25142.08160460363,25204.74651740908,24987.56642309378,-217.18009431529936,0.8691526443110489,24540.729097224026,25417.866738338496,877.1376411144702,3.488723228683906,True,ConfidenceLevel.LOW
STATIC,2026-01-20,13.5,25085.33232487488,25154.014773330324,24987.56642309378,-166.44835023654377,0.6661246934503811,24569.087955038674,25340.6802102935,771.5922552548254,3.075870174897809,True,ConfidenceLevel.LOW
STATIC,2026-01-20,14.0,25061.091994089,25131.579845738706,24987.56642309378,-144.01342264492632,0.5763403294521212,24655.82476395803,25280.926739663566,625.1019757055365,2.4943126015936388,True,ConfidenceLevel.LOW
STATIC,2026-01-20,14.5,24995.10740217252,25070.07784023905,24987.56642309378,-82.51141714526966,0.3302098961866559,24604.723851739927,25274.760860938357,670.0370091984296,2.6806726549220246,True,ConfidenceLevel.LOW
STATIC,2026-01-20,15.0,25013.55470410494,25086.25510247818,24987.56642309378,-98.68867938439871,0.3949511437543976,24668.66177398781,25262.9221584076,594.2603844197911,2.3757534322871265,True,ConfidenceLevel.LOW
STATIC,2026-01-20,15.5,24986.5849805428,25061.751767370777,24987.56642309378,-74.18534427699706,0.29688903281287193,24651.363505825004,25191.78439847394,540.4208926489373,2.162844154452344,True,ConfidenceLevel.LOW
STATIC,2026-01-21,9.5,25027.46585333648,25100.37877459199,25326.58105455855,226.2022799665574,0.8931417923298537,24395.27547687617,25452.44159745024,1057.166120574071,4.224023825541,True,ConfidenceLevel.LOW
STATIC,2026-01-21,10.0,25178.56337381441,25230.30358217127,25326.58105455855,96.27747238727898,0.3801439767171018,24608.223800550437,25485.35937766093,877.1355771104936,3.483660144099844,True,ConfidenceLevel.LOW
STATIC,2026-01-21,10.5,25271.31332107481,25304.218766921575,25326.58105455855,22.362287636973633,0.08829572214583868,24726.626478142258,25594.650543649786,868.0240655075286,3.4348197676914833,True,ConfidenceLevel.LOW
STATIC,2026-01-21,11.0,25318.57811202307,25359.612568958764,25326.58105455855,-33.03151440021611,0.13042231925840914,24773.44509011226,25564.7876567058,791.3425665935429,3.125541106977713,True,ConfidenceLevel.LOW
STATIC,2026-01-21,11.5,25273.22169378655,25323.395563451355,25326.58105455855,3.1854911071932293,0.012577659417712328,24695.40379237271,25531.43253444558,836.028742072871,3.3079626816173167,True,ConfidenceLevel.LOW
STATIC,2026-01-21,12.0,25084.89697948984,25154.420905302806,25326.58105455855,172.160149255742,0.6797607181359159,24499.27393889986,25429.990533104996,930.7165942051361,3.7102667591822986,True,ConfidenceLevel.LOW
STATIC,2026-01-21,12.5,25053.80934274793,25120.543822076146,25326.58105455855,206.03723248240203,0.8135216989555614,24475.99362495404,25370.67150137638,894.6778764223382,3.571025324663099,True,ConfidenceLevel.LOW
STATIC,2026-01-21,13.0,25022.34739053659,25086.49681166191,25326.58105455855,240.0842428966389,0.9479536238209537,24492.754309058946,25335.565102442844,842.8107933838983,3.3682323254078392,True,ConfidenceLevel.LOW
STATIC,2026-01-21,13.5,25105.02492667668,25161.954130094433,25326.58105455855,164.6269244641153,0.6500163765076533,24536.334976391816,25369.803702314628,833.4687259228122,3.3199278963358667,True,ConfidenceLevel.LOW
STATIC,2026-01-21,14.0,25120.22291174199,25177.186578745648,25326.58105455855,149.39447581290005,0.5898722590746628,24665.446199006918,25341.915653850167,676.469454843249,2.692927754741562,True,ConfidenceLevel.LOW
STATIC,2026-01-21,14.5,25323.7687349745,25345.54246132411,25326.58105455855,-18.96140676556024,0.07486761329811378,24929.88218465941,25430.07095506296,500.18877040355073,1.9751750840811586,True,ConfidenceLevel.MEDIUM
STATIC,2026-01-21,15.0,25460.58663150279,25445.555721052686,25326.58105455855,-118.97466649413764,0.4697620505422437,25164.900902721805,25623.101729761565,458.20082703976004,1.799647563787163,True,ConfidenceLevel.MEDIUM
STATIC,2026-01-21,15.5,25354.70144544285,25379.18451110786,25326.58105455855,-52.60345654931007,0.20770058317777532,25024.690192545797,25501.598731026414,476.9085384806167,1.8809471667682927,True,ConfidenceLevel.MEDIUM
