approach,date,hour,current_price,predicted_close,actual_close,error,error_pct,range_lower,range_upper,range_width,range_width_pct,in_range,confidence
STATIC,2026-02-04,9.5,25181.00255721717,25251.646502386015,24891.23845053545,-360.40805185056524,1.447931377809015,24551.30277542113,25621.908887598798,1070.6061121776693,4.251642124832004,True,ConfidenceLevel.LOW
STATIC,2026-02-04,10.0,25030.67766086604,25113.68089444982,24891.23845053545,-222.4424439143695,0.8936575990640772,24558.132153700342,25447.01700318326,888.8848494829181,3.5511817199924876,True,ConfidenceLevel.LOW
STATIC,2026-02-04,10.5,25067.62413792594,25144.03275658252,24891.23845053545,-252.7943060470716,1.015595533944329,24585.901896223317,25457.297399512165,871.395503288848,3.476179068643663,True,ConfidenceLevel.LOW
STATIC,2026-02-04,11.0,24966.08997618712,25049.604575796988,24891.23845053545,-158.3661252615384,0.6362324059377275,24515.29437471416,25348.20792402067,832.9135493065078,3.3361793941339966,True,ConfidenceLevel.LOW
STATIC,2026-02-04,11.5,24961.46715519994,25040.613806444137,24891.23845053545,-149.3753559086872,0.600112188895422,24512.88152207088,25338.006114123193,825.1245920523143,3.305593324791509,True,ConfidenceLevel.LOW
STATIC,2026-02-04,12.0,24941.07102819752,25009.58928343815,24891.23845053545,-118.35083290269904,0.4754718538327816,24413.316538609266,25288.554653748837,875.2381151395712,3.5092242596561194,True,ConfidenceLevel.LOW
STATIC,2026-02-04,12.5,24781.55924352166,24864.026934826816,24891.23845053545,27.21151570863367,0.10932166257098513,24344.813448185072,25089.650697721936,744.837249536864,3.005610915025767,True,ConfidenceLevel.LOW
STATIC,2026-02-04,13.0,24755.33475587612,24827.18708052606,24891.23845053545,64.05137000939067,0.25732496250307235,24267.977434158292,25021.234398779696,753.2569646214033,3.042806619460496,True,ConfidenceLevel.LOW
STATIC,2026-02-04,13.5,24769.50519241824,24829.717867991203,24891.23845053545,61.52058254424628,0.24715757983075717,24257.1867485926,25019.28387999663,762.0971314040289,3.0767555729667992,True,ConfidenceLevel.LOW
STATIC,2026-02-04,14.0,24801.5412615343,24861.292863441886,24891.23845053545,29.945587093563518,0.1203057338953713,24372.322480057574,24984.95333418381,612.630854126237,2.4701321892296693,True,ConfidenceLevel.LOW
STATIC,2026-02-04,14.5,24903.09894170119,24958.007005500065,24891.23845053545,-66.76855496461576,0.2682411929695666,24463.280289769635,25110.29306471446,647.0127749448257,2.598121528808521,True,ConfidenceLevel.LOW
STATIC,2026-02-04,15.0,24964.84111406245,25012.896824148134,24891.23845053545,-121.65837361268495,0.4887598254881846,24576.945220921392,25158.426945706025,581.4817247846331,2.329202585860201,True,ConfidenceLevel.LOW
STATIC,2026-02-04,15.5,24964.57849161076,25012.63369616515,24891.23845053545,-121.3952456297011,0.48770271463567816,24590.857843821217,25141.440485034153,550.5826412129354,2.2054553871116087,True,ConfidenceLevel.LOW
STATIC,2026-02-05,9.5,24699.9856542736,24767.978126504837,24548.69024491809,-219.28788158674797,0.8932773170338223,24086.169086896964,25041.627587470393,955.4585005734298,3.8682552854362324,True,ConfidenceLevel.LOW
STATIC,2026-02-05,10.0,24593.2368720177,24689.13369269473,24548.69024491809,-140.44344777664082,0.5721015922864338,24006.49947995417,25010.055816469732,1003.5563365155613,4.080619162650414,True,ConfidenceLevel.LOW
STATIC,2026-02-05,10.5,24469.16705079015,24575.014983817633,24548.69024491809,-26.324738899544172,0.1072348000520873,24032.2896207175,24896.901146582648,864.611525865148,3.53347346916424,True,ConfidenceLevel.LOW
