approach,date,hour,current_price,predicted_close,actual_close,error,error_pct,range_lower,range_upper,range_width,range_width_pct,in_range,confidence
STATIC,2026-02-05,9.5,24699.9856542736,24767.978126504837,24548.69024491809,-219.28788158674797,0.8932773170338223,24086.169086896964,25041.627587470393,955.4585005734298,3.8682552854362324,True,ConfidenceLevel.LOW
STATIC,2026-02-05,10.0,24593.2368720177,24689.13369269473,24548.69024491809,-140.44344777664082,0.5721015922864338,24006.49947995417,25010.055816469732,1003.5563365155613,4.080619162650414,True,ConfidenceLevel.LOW
STATIC,2026-02-05,10.5,24469.16705079015,24575.014983817633,24548.69024491809,-26.324738899544172,0.1072348000520873,24032.2896207175,24896.901146582648,864.611525865148,3.53347346916424,True,ConfidenceLevel.LOW
STATIC,2026-02-05,11.0,24494.2409745189,24595.905915381278,24548.69024491809,-47.21567046318887,0.19233478443096635,24027.544100481588,24915.107300377505,887.5631998959179,3.623558700264444,True,ConfidenceLevel.LOW
STATIC,2026-02-05,11.5,24717.54792720327,24805.31314385858,24548.69024491809,-256.6228989404917,1.0453628946400353,24079.599301042505,25027.13566479493,947.5363637524242,3.8334561605506137,True,ConfidenceLevel.LOW
STATIC,2026-02-05,12.0,24662.17184981011,24746.700019027347,24548.69024491809,-198.0097741092577,0.8066001572130652,24053.027881741007,24962.61148072208,909.583598981073,3.6881731443618846,True,ConfidenceLevel.LOW
STATIC,2026-02-05,12.5,24708.72627272932,24795.038114070136,24548.69024491809,-246.34786915204677,1.0035071797895372,24041.481626021152,24925.58403117273,884.1024051515778,3.5780978565752677,True,ConfidenceLevel.LOW
STATIC,2026-02-05,13.0,24702.11486829556,24778.672957103627,24548.69024491809,-229.98271218553782,0.9368431060518487,24023.614513017743,24936.319539808686,912.7050267909435,3.6948456909751224,True,ConfidenceLevel.LOW
STATIC,2026-02-05,13.5,24645.64878670715,24718.233715191174,24548.69024491809,-169.5434702730854,0.6906416129804855,24040.71434306291,24927.598106321682,886.8837632587711,3.5985409470621033,True,ConfidenceLevel.LOW
STATIC,2026-02-05,14.0,24629.40101195518,24702.073982684837,24548.69024491809,-153.3837377667478,0.6248143433986272,24138.212711712633,24903.47207102373,765.2593593110978,3.107096916159832,True,ConfidenceLevel.LOW
STATIC,2026-02-05,14.5,24620.51249805185,24699.40650605995,24548.69024491809,-150.71626114186074,0.6139482784547378,24122.178019457555,24877.615505669582,755.4374862120276,3.068325593432725,True,ConfidenceLevel.LOW
STATIC,2026-02-05,15.0,24635.90646139274,24707.75606413737,24548.69024491809,-159.06581921928228,0.6479605128921737,24168.173745670545,24889.231644768333,721.0578990977883,2.926857593926036,True,ConfidenceLevel.LOW
STATIC,2026-02-05,15.5,24528.38697470779,24605.556153221427,24548.69024491809,-56.865908303338074,0.2316453861122391,24104.14783839359,24806.45634704248,702.30850864889,2.863247833512528,True,ConfidenceLevel.LOW
STATIC,2026-02-06,9.5,24766.9194227574,24817.163958616497,25075.77232205038,258.6083634338829,1.0313076706573685,24167.964301791268,25081.720390806768,913.7560890155,3.689421657244476,True,ConfidenceLevel.LOW
STATIC,2026-02-06,10.0,24709.70148314662,24766.798012448813,25075.77232205038,308.97430960156635,1.2321626852939234,24186.718908844574,25078.77849887294,892.0595900283661,3.610159315914035,True,ConfidenceLevel.LOW
STATIC,2026-02-06,10.5,24835.43665660915,24879.909024193457,25075.77232205038,195.86329785692215,0.781085804024029,24267.933275700474,25110.792037793846,842.8587620933722,3.393774684726844,True,ConfidenceLevel.LOW
STATIC,2026-02-06,11.0,24862.91446652086,24896.220436959436,25075.77232205038,179.55188509094296,0.7160373079837465,24293.603730315077,25140.21626156671,846.6125312516342,3.405121842781705,True,ConfidenceLevel.LOW
STATIC,2026-02-06,11.5,24943.845721983,24964.10449898985,25075.77232205038,111.66782306052846,0.4453215702645911,24411.06685549168,25134.272048455943,723.2051929642621,2.899333170293391,True,ConfidenceLevel.LOW
STATIC,2026-02-06,12.0,24934.49539154167,24964.314765930038,25075.77232205038,111.4575561203419,0.4444830439871704,24354.93283382089,25101.29774596773,746.3649121468407,2.9933026533194815,True,ConfidenceLevel.LOW
STATIC,2026-02-06,12.5,25001.44849941719,24998.890112166504,25075.77232205038,76.88220988387548,0.3065995690839365,24459.750904822526,25176.525692556555,716.7747877340298,2.8669330409025644,True,ConfidenceLevel.LOW
STATIC,2026-02-06,13.0,25032.92021861449,25006.839093524515,25075.77232205038,68.93322852586425,0.2748997224912902,24494.773141855378,25229.68520590363,734.9120640482506,2.935782392266683,True,ConfidenceLevel.LOW
STATIC,2026-02-06,13.5,24994.44224401129,24981.97336054394,25075.77232205038,93.79896150643981,0.3740621038577452,24459.31583256468,25144.111152775986,684.7953202113058,2.7397903642974226,True,ConfidenceLevel.LOW
STATIC,2026-02-06,14.0,25007.24047275718,24985.87988733081,25075.77232205038,89.89243471956797,0.3584832146546532,24603.68130240606,25166.20313639713,562.521833991068,2.2494358568026636,True,ConfidenceLevel.LOW
STATIC,2026-02-06,14.5,25006.07494385242,24989.206563911626,25075.77232205038,86.56575813875315,0.3452167176626961,24611.609550145415,25145.08386064442,533.4743104990048,2.1333788357302987,True,ConfidenceLevel.LOW
STATIC,2026-02-06,15.0,24995.34448130163,24979.17085073786,25075.77232205038,96.6014713125187,0.38523826932170774,24599.454339121432,25142.8897368462,543.4353977247665,2.1741464620793542,True,ConfidenceLevel.LOW
STATIC,2026-02-06,15.5,25018.27278168835,24977.884958229184,25075.77232205038,97.88736382119532,0.39036629685426705,24682.59756931836,25185.883867697154,503.2862983787927,2.0116748377096743,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-05,9.5,24699.9856542736,24763.6271221911,24548.69024491809,-214.93687727301221,0.8755533396226997,24329.320729618154,25198.88336733974,869.5626377215849,3.5204985536950417,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-05,10.0,24593.2368720177,24665.201973265546,24548.69024491809,-116.51172834745739,0.4746148457821569,24299.460959561904,25188.365292557777,888.9043329958731,3.6144259400326137,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-05,10.5,24469.16705079015,24511.80654346625,24548.69024491809,36.88370145183944,0.15024712554460973,24312.33449208457,25210.997398162657,898.662906078087,3.6726338261239158,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-05,11.0,24494.2409745189,24523.634505923263,24548.69024491809,25.055738994826243,0.1020654818845707,24331.1347089038,25232.55612057361,901.4214116698095,3.680136129172358,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-05,11.5,24717.54792720327,24754.590555271883,24548.69024491809,-205.90031035379434,0.8387425491933057,24252.45965865942,25291.191992735916,1038.732334076496,4.202408495922459,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-05,12.0,24662.17184981011,24717.12918256498,24548.69024491809,-168.43893764688983,0.686142258370623,24237.56807548349,25215.224106405763,977.6560309222732,3.9641927599730056,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-05,12.5,24708.72627272932,24740.832468038323,24548.69024491809,-192.14222312023412,0.7826984706852544,24257.366097555638,25189.781930909383,932.4158333537453,3.773629700948364,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-05,13.0,24702.11486829556,24745.350929844433,24548.69024491809,-196.6606849263444,0.8011045924010378,24399.3037389817,25228.94696971947,829.643230737769,3.358591906649223,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-05,13.5,24645.64878670715,24689.19274703082,24548.69024491809,-140.50250211272942,0.5723421523142781,24367.992249991126,25126.936024977775,758.9437749866484,3.0794229908688444,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-05,14.0,24629.40101195518,24667.926514394025,24548.69024491809,-119.23626947593584,0.48571336509742863,24327.880361495212,25095.45930758073,767.5789460855194,3.116514874693601,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-05,14.5,24620.51249805185,24657.573836699346,24548.69024491809,-108.88359178125756,0.44354134862163547,24379.637975215333,25127.94531619107,748.307340975738,3.0393654114021773,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-05,15.0,24635.90646139274,24685.11865229768,24548.69024491809,-136.42840737958977,0.5557461763477678,24348.333626615113,25077.825043554934,729.4914169398216,2.9610902204187917,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-05,15.5,24528.38697470779,24583.14031369215,24548.69024491809,-34.45006877406195,0.14033363259041315,24294.323368317444,24979.44178155242,685.1184132349772,2.7931653799388867,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-06,9.5,24766.9194227574,24802.054764712637,25075.77232205038,273.7175573377426,1.0915618223931995,24425.071317796697,25278.6643875207,853.5930697240037,3.4465048121393282,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-06,10.0,24709.70148314662,24766.47343482588,25075.77232205038,309.2988872245005,1.2334570726362775,24157.954184995582,25224.403319109428,1066.4491341138455,4.315912658197116,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-06,10.5,24835.43665660915,24874.81676486142,25075.77232205038,200.95555718895775,0.8013932915328293,24496.062840069386,25299.11948402917,803.0566439597824,3.2335112728773976,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-06,11.0,24862.91446652086,24854.424683015182,25075.77232205038,221.34763903519706,0.8827151411027727,24481.92731702777,25247.86800937111,765.940692343338,3.080655300386103,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-06,11.5,24943.845721983,24956.706587605175,25075.77232205038,119.06573444520473,0.4748237977121218,24412.32352650835,25142.463829375516,730.1403028671666,2.9271360599528333,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-06,12.0,24934.49539154167,24932.81433959572,25075.77232205038,142.95798245465994,0.5701040056459192,24512.771154919898,25142.750360375336,629.9792054554382,2.5265368140120494,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-06,12.5,25001.44849941719,24993.052576940514,25075.77232205038,82.71974510986547,0.3298791520655412,24616.04962163059,25172.19872848327,556.1491068526775,2.224467541813195,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-06,13.0,25032.92021861449,25041.379765054848,25075.77232205038,34.39255699553178,0.13715452730159255,24467.15763747036,25186.33283563188,719.1751981615198,2.8729177094837732,True,ConfidenceLevel.LOW
DYNAMIC,2026-02-06,13.5,24994.44224401129,24975.038761922762,25075.77232205038,100.73356012761724,0.40171668028361057,24683.771122273392,25167.430170447526,483.6590481741332,1.9350663777665162,True,ConfidenceLevel.MEDIUM
