model,hour,period,n_samples,p95_hit_rate,p97_hit_rate,p98_hit_rate,p99_hit_rate,p95_avg_width,p97_avg_width,p98_avg_width,p99_avg_width,avg_midpoint_error,median_midpoint_error
combined,9:30,3mo,66,86.36363636363636,87.87878787878788,89.39393939393939,98.48484848484848,2.677358033302574,2.9731461710537497,3.1259859419814466,3.3500754903798895,0.7570171553339321,0.6515644139138929
combined,10:00,3mo,66,87.87878787878788,90.9090909090909,92.42424242424242,92.42424242424242,2.457124554174598,2.7969210094461694,2.996991229260861,3.2261959799347557,0.6728163360455218,0.506541117973542
combined,10:30,3mo,66,86.36363636363636,92.42424242424242,92.42424242424242,95.45454545454545,2.0739976491715333,2.3308205130420765,2.5124661979618024,2.7458696934363642,0.5454342847207759,0.41194834262038504
combined,11:00,3mo,66,89.39393939393939,90.9090909090909,90.9090909090909,92.42424242424242,1.8023530034407076,2.104236576844153,2.278605292808386,2.514302547110712,0.5001358584897988,0.3219310921450984
combined,11:30,3mo,66,90.9090909090909,92.42424242424242,92.42424242424242,93.93939393939394,1.8165876413599795,2.0649218205879785,2.252098584004791,2.539464634588248,0.40703503297530946,0.2909079807418912
combined,12:00,3mo,66,89.39393939393939,89.39393939393939,90.9090909090909,92.42424242424242,1.8694641518277064,2.0977292526499,2.2464843192165556,2.4160901155081302,0.3828748085585507,0.2863416420211812
combined,12:30,3mo,66,89.39393939393939,90.9090909090909,90.9090909090909,95.45454545454545,1.5055278338902873,1.6603096175644636,1.7649455152283917,1.9215747761809954,0.32171244865723975,0.23981245721579222
combined,13:00,3mo,66,90.9090909090909,92.42424242424242,93.93939393939394,93.93939393939394,1.5058807863701318,1.6530445025294347,1.7625118125647363,1.882022455904747,0.3074691497546976,0.21271635620242035
combined,13:30,3mo,66,84.84848484848484,90.9090909090909,93.93939393939394,93.93939393939394,1.4247284506128124,1.5979561426693574,1.6796063523021951,1.8163290637941927,0.2939592122475419,0.22362024090676907
combined,14:00,3mo,66,87.87878787878788,90.9090909090909,90.9090909090909,93.93939393939394,1.1311164626809151,1.2954748701775676,1.4096335514541642,1.535588436474424,0.26683172879557043,0.2001098323238198
combined,14:30,3mo,64,93.75,95.3125,95.3125,95.3125,1.0468861001376735,1.177756108458526,1.2731985336667795,1.3717575064557654,0.21516999508851956,0.1907483270679842
combined,15:00,3mo,64,71.875,79.6875,81.25,87.5,0.6473087928953625,0.7326229156982779,0.77872749840404,0.8289819641239282,0.20345154156618936,0.1486841879883371
combined,15:30,3mo,64,93.75,96.875,98.4375,98.4375,0.863079543689487,0.9699345505521335,1.0523808514417499,1.1481164263183208,0.1522039366840508,0.11589815050007087
percentile,9:30,3mo,66,86.36363636363636,87.87878787878788,89.39393939393939,98.48484848484848,2.677358033302574,2.9731461710537497,3.1259859419814466,3.3500754903798895,0.7570171553339321,0.6515644139138929
percentile,10:00,3mo,66,87.87878787878788,90.9090909090909,92.42424242424242,92.42424242424242,2.457124554174598,2.7969210094461694,2.996991229260861,3.2261959799347557,0.6728163360455218,0.506541117973542
percentile,10:30,3mo,66,86.36363636363636,92.42424242424242,92.42424242424242,95.45454545454545,2.0739976491715333,2.3308205130420765,2.5124661979618024,2.7458696934363642,0.5454342847207759,0.41194834262038504
percentile,11:00,3mo,66,89.39393939393939,90.9090909090909,90.9090909090909,92.42424242424242,1.8023530034407076,2.104236576844153,2.278605292808386,2.514302547110712,0.5001358584897988,0.3219310921450984
percentile,11:30,3mo,66,90.9090909090909,92.42424242424242,92.42424242424242,93.93939393939394,1.8165876413599795,2.0649218205879785,2.252098584004791,2.539464634588248,0.40703503297530946,0.2909079807418912
percentile,12:00,3mo,66,89.39393939393939,89.39393939393939,90.9090909090909,92.42424242424242,1.8694641518277064,2.0977292526499,2.2464843192165556,2.4160901155081302,0.3828748085585507,0.2863416420211812
