dte,band,time_pst,time_et,spread_type,flow_mode,spread_width,n_trades,n_wins,win_rate_pct,avg_credit,avg_max_risk,avg_pnl,total_pnl,median_pnl,min_pnl,max_pnl,pnl_std,sharpe,avg_hold_days
1,P100,07:00,10:00,iron_condor,neutral,150,70,66,94.3,4064.2,15539.83,1678.4,117488.0,801.75,-13560.0,16242.0,3916.11,0.429,1.0
1,P100,07:00,10:00,iron_condor,against_flow,150,60,56,93.3,4387.43,15461.68,1781.07,106864.0,896.5,-13560.0,16242.0,4195.0,0.425,1.0
1,P100,07:00,10:00,iron_condor,with_flow,150,60,56,93.3,4387.43,15461.68,1781.07,106864.0,896.5,-13560.0,16242.0,4195.0,0.425,1.0
1,P99,09:00,12:00,iron_condor,neutral,50,61,60,98.4,3101.34,7971.82,1599.36,97561.0,282.5,-235.0,17668.0,3657.68,0.437,1.0
1,P99,09:00,12:00,iron_condor,neutral,100,68,66,97.1,3160.81,10974.01,1413.24,96100.5,301.0,-3990.0,14820.0,3279.61,0.431,1.0
1,P99,12:00,15:00,iron_condor,neutral,100,64,62,96.9,4241.06,11147.38,1489.88,95352.0,379.0,-11078.0,16267.5,3535.46,0.421,1.0
1,P99,12:00,15:00,iron_condor,with_flow,100,60,58,96.7,4501.72,11099.18,1578.16,94689.5,401.0,-11078.0,16267.5,3635.75,0.434,1.0
1,P99,12:00,15:00,iron_condor,against_flow,100,60,58,96.7,4501.72,11099.18,1578.16,94689.5,401.0,-11078.0,16267.5,3635.75,0.434,1.0
1,P97,11:30,14:30,iron_condor,neutral,150,54,54,100.0,3561.41,14837.83,1715.21,92621.5,455.5,1.0,12815.0,2732.89,0.628,1.0
2,P97,12:30,15:30,iron_condor,neutral,150,58,56,96.6,3368.36,14876.97,1565.64,90807.0,447.75,-4290.0,9558.0,2626.26,0.596,2.0
1,P99,09:00,12:00,iron_condor,against_flow,50,55,54,98.2,3174.93,7783.76,1641.46,90280.5,285.0,-235.0,17668.0,3774.12,0.435,1.0
1,P99,09:00,12:00,iron_condor,with_flow,50,55,54,98.2,3174.93,7783.76,1641.46,90280.5,285.0,-235.0,17668.0,3774.12,0.435,1.0
2,P97,12:30,15:30,iron_condor,against_flow,150,53,51,96.2,3648.85,14665.15,1694.7,89819.0,465.5,-4290.0,9558.0,2712.71,0.625,2.0
2,P97,12:30,15:30,iron_condor,with_flow,150,53,51,96.2,3648.85,14665.15,1694.7,89819.0,465.5,-4290.0,9558.0,2712.71,0.625,2.0
1,P100,07:00,10:00,iron_condor,neutral,200,38,38,100.0,4703.95,17917.71,2352.64,89400.5,918.5,2.5,13825.5,3444.18,0.683,1.0
1,P99,09:00,12:00,iron_condor,against_flow,100,63,61,96.8,3169.84,10883.35,1404.49,88483.0,291.5,-3990.0,14820.0,3336.15,0.421,1.0
1,P99,09:00,12:00,iron_condor,with_flow,100,63,61,96.8,3169.84,10883.35,1404.49,88483.0,291.5,-3990.0,14820.0,3336.15,0.421,1.0
2,P97,11:00,14:00,iron_condor,neutral,150,58,53,91.4,4265.59,14672.03,1503.1,87180.0,322.0,-6135.0,26203.0,4230.6,0.355,1.9
1,P95,09:00,12:00,iron_condor,neutral,150,67,63,94.0,3495.33,14733.79,1300.33,87122.0,505.0,-15932.0,12896.0,4344.09,0.299,1.0
1,P98,11:30,14:30,iron_condor,neutral,100,66,65,98.5,2635.41,10718.64,1306.12,86204.0,492.0,-507.0,14401.5,2309.25,0.566,1.0
1,P95,10:00,13:00,iron_condor,neutral,150,69,67,97.1,3412.67,14927.26,1244.3,85857.0,276.5,-15883.0,19663.5,4475.14,0.278,1.0
1,P98,10:00,13:00,iron_condor,neutral,50,66,65,98.5,2652.48,7002.52,1296.04,85538.5,235.5,-11998.0,24997.0,3966.49,0.327,1.0
1,P99,08:15,11:15,iron_condor,against_flow,150,43,43,100.0,3973.81,15585.51,1987.38,85457.5,276.0,6.0,13077.0,3074.43,0.646,1.0
1,P99,08:15,11:15,iron_condor,with_flow,150,43,43,100.0,3973.81,15585.51,1987.38,85457.5,276.0,6.0,13077.0,3074.43,0.646,1.0
2,P97,11:00,14:00,iron_condor,with_flow,150,54,50,92.6,4176.94,14820.87,1560.7,84278.0,369.25,-6135.0,26203.0,4358.41,0.358,1.9
2,P97,11:00,14:00,iron_condor,against_flow,150,54,50,92.6,4176.94,14820.87,1560.7,84278.0,369.25,-6135.0,26203.0,4358.41,0.358,1.9
3,P95,09:00,12:00,iron_condor,neutral,200,24,24,100.0,6637.58,16993.12,3473.1,83354.5,2335.25,8.5,17750.0,4158.92,0.835,2.9
3,P99,07:15,10:15,iron_condor,with_flow,50,52,48,92.3,3403.81,7496.06,1598.37,83115.0,125.5,-5931.0,26895.0,4853.12,0.329,2.8
3,P99,07:15,10:15,iron_condor,against_flow,50,52,48,92.3,3403.81,7496.06,1598.37,83115.0,125.5,-5931.0,26895.0,4853.12,0.329,2.8
3,P99,09:00,12:00,iron_condor,against_flow,150,33,31,93.9,5207.21,14320.06,2511.62,82883.5,319.0,-3093.0,23935.0,5810.04,0.432,2.6
3,P99,09:00,12:00,iron_condor,with_flow,150,33,31,93.9,5207.21,14320.06,2511.62,82883.5,319.0,-3093.0,23935.0,5810.04,0.432,2.6
2,P99,12:00,15:00,iron_condor,neutral,100,65,58,89.2,5777.35,10552.11,1274.59,82848.5,287.5,-8584.0,17887.5,3462.43,0.368,1.9
1,P100,08:15,11:15,iron_condor,against_flow,150,45,45,100.0,4518.13,15194.87,1820.61,81927.5,960.0,3.5,9281.5,2360.82,0.771,1.0
1,P100,08:15,11:15,iron_condor,with_flow,150,45,45,100.0,4518.13,15194.87,1820.61,81927.5,960.0,3.5,9281.5,2360.82,0.771,1.0
1,P99,09:00,12:00,iron_condor,neutral,150,55,53,96.4,3686.44,15417.24,1485.45,81699.5,333.5,-8907.0,12608.0,3527.28,0.421,1.0
1,P100,07:00,10:00,iron_condor,against_flow,200,32,32,100.0,5087.12,17939.41,2544.36,81419.5,1020.0,2.5,13825.5,3671.51,0.693,1.0
1,P100,07:00,10:00,iron_condor,with_flow,200,32,32,100.0,5087.12,17939.41,2544.36,81419.5,1020.0,2.5,13825.5,3671.51,0.693,1.0
2,P100,08:15,11:15,iron_condor,with_flow,150,38,37,97.4,5491.26,15237.84,2136.07,81170.5,379.75,-1450.0,24593.0,4434.13,0.482,1.9
2,P100,08:15,11:15,iron_condor,against_flow,150,38,37,97.4,5491.26,15237.84,2136.07,81170.5,379.75,-1450.0,24593.0,4434.13,0.482,1.9
1,P98,10:00,13:00,iron_condor,against_flow,50,59,58,98.3,2816.46,6960.49,1374.44,81092.0,257.5,-11998.0,24997.0,4161.44,0.33,1.0
1,P98,10:00,13:00,iron_condor,with_flow,50,59,58,98.3,2816.46,6960.49,1374.44,81092.0,257.5,-11998.0,24997.0,4161.44,0.33,1.0
1,P98,11:30,14:30,iron_condor,against_flow,100,60,59,98.3,2726.22,10506.35,1350.37,81022.0,496.0,-507.0,14401.5,2386.69,0.566,1.0
1,P98,11:30,14:30,iron_condor,with_flow,100,60,59,98.3,2726.22,10506.35,1350.37,81022.0,496.0,-507.0,14401.5,2386.69,0.566,1.0
2,P98,12:30,15:30,iron_condor,neutral,150,55,52,94.5,4405.51,14994.55,1464.95,80572.5,725.0,-19459.0,18113.0,4895.12,0.299,1.9
1,P99,09:00,12:00,iron_condor,with_flow,150,51,49,96.1,3928.25,15242.37,1578.29,80493.0,376.0,-8907.0,12608.0,3647.76,0.433,1.0
1,P99,09:00,12:00,iron_condor,against_flow,150,51,49,96.1,3928.25,15242.37,1578.29,80493.0,376.0,-8907.0,12608.0,3647.76,0.433,1.0
2,P100,07:15,10:15,iron_condor,neutral,200,35,34,97.1,4395.69,17986.37,2293.83,80284.0,631.5,-6070.0,26905.0,5214.98,0.44,2.0
2,P100,07:15,10:15,iron_condor,against_flow,150,50,49,98.0,3316.36,15951.22,1605.61,80280.5,209.25,-11785.0,26905.0,4718.58,0.34,2.0
2,P100,07:15,10:15,iron_condor,with_flow,150,50,49,98.0,3316.36,15951.22,1605.61,80280.5,209.25,-11785.0,26905.0,4718.58,0.34,2.0
2,P100,07:15,10:15,iron_condor,against_flow,200,34,33,97.1,4520.82,17931.29,2359.22,80213.5,653.75,-6070.0,26905.0,5278.82,0.447,2.0
