model,dte,period,n_samples,p95_hit_rate,p97_hit_rate,p98_hit_rate,p99_hit_rate,p95_avg_width,p97_avg_width,p98_avg_width,p99_avg_width,avg_midpoint_error,median_midpoint_error
baseline,1,3mo,66,98.48484848484848,100.0,100.0,100.0,5.395886794742376,6.31337177251543,6.767329692542145,8.832784068356514,0.9711599742429649,0.9193201661202833
baseline,2,3mo,66,100.0,100.0,100.0,100.0,7.692293899886003,9.06917423675495,9.803815002636396,12.523518790401264,1.3146386158622752,1.186967484945574
baseline,5,3mo,66,98.48484848484848,100.0,100.0,100.0,11.779306051111138,13.900271853131184,15.891431111339102,18.50716742893954,1.7766765697529159,1.3788915022154429
baseline,10,3mo,66,100.0,100.0,100.0,100.0,16.21991880631217,17.615656523628743,19.71845246176311,23.135078979723353,1.9752792177085243,1.5469366958431827
conditional,1,3mo,66,90.9090909090909,95.45454545454545,98.48484848484848,100.0,3.698340512780337,4.317430861540448,4.825989372565732,5.761965059256365,0.9436490166337259,0.8866822463336954
conditional,2,3mo,66,93.93939393939394,93.93939393939394,96.96969696969697,96.96969696969697,4.923836570261743,5.622847564055365,6.224199678787327,7.0581936022881875,1.2942456175165578,1.233309319738875
conditional,5,3mo,66,89.39393939393939,93.93939393939394,98.48484848484848,98.48484848484848,7.735709322435908,8.96632158952346,9.70795980874152,11.041952604368351,1.834780595124741,1.5778089847357677
conditional,10,3mo,66,98.48484848484848,100.0,100.0,100.0,10.77514866344708,12.592714821643606,13.78530324997587,16.06687147599669,1.9729794298566654,1.6590542138344713
ensemble,1,3mo,66,100.0,100.0,100.0,100.0,8.668244964711558,9.564287446637634,10.240430141235956,11.253789064062765,0.9184574360988826,0.698845266739496
ensemble,2,3mo,66,100.0,100.0,100.0,100.0,9.260931893181942,10.197204279454764,10.909342861659487,11.98451008604886,1.3559040830855253,1.1524889584670368
ensemble,5,3mo,66,95.45454545454545,100.0,100.0,100.0,10.333549619517878,11.468326236397427,12.229903562737837,13.456362927302413,1.9222687460669883,1.3941250828182552
ensemble,10,3mo,66,90.9090909090909,95.45454545454545,98.48484848484848,100.0,12.011799138983923,13.24866728047067,14.214952552689088,15.66065065807238,2.3116145767015945,1.471450550311099
ensemble_combined,1,3mo,66,100.0,100.0,100.0,100.0,8.69411545349077,9.605871147181716,10.299648061856232,11.46204466644946,0.9257586776499078,0.7540490242955146
ensemble_combined,2,3mo,66,100.0,100.0,100.0,100.0,9.321766478231824,10.298333883140778,11.073537156757816,12.17713857957379,1.3674017101996894,1.1524889584670368
ensemble_combined,5,3mo,66,98.48484848484848,100.0,100.0,100.0,10.91159936997971,12.12194084566208,12.910637083165476,14.438447470650521,1.9591567392644142,1.558798576300612
ensemble_combined,10,3mo,66,100.0,100.0,100.0,100.0,13.459683735844703,15.097602497849424,16.44369369671552,19.18624194211832,2.006938630175052,1.6401769552517027
baseline,1,1mo,22,100.0,100.0,100.0,100.0,5.395886794742378,6.313371772515432,6.767329692542146,8.83278406835651,0.9750026782518787,0.8587807331523
baseline,2,1mo,22,100.0,100.0,100.0,100.0,7.692293899886005,9.06917423675495,9.803815002636394,12.523518790401265,1.3128233842576502,1.0179360855536126
baseline,5,1mo,22,95.45454545454545,100.0,100.0,100.0,11.779306051111137,13.900271853131185,15.891431111339104,18.507167428939542,1.6481163361213156,1.1697456545280924
baseline,10,1mo,22,100.0,100.0,100.0,100.0,16.21991880631218,17.615656523628736,19.71845246176311,23.135078979723353,1.7302506098938755,1.5077747183660803
conditional,1,1mo,22,95.45454545454545,100.0,100.0,100.0,3.4418603836762576,4.020664328386605,4.541541263523753,5.183535144106404,0.9548893910926209,0.9122352079535134
conditional,2,1mo,22,86.36363636363636,86.36363636363636,95.45454545454545,95.45454545454545,4.561660541097705,5.203407876205026,5.693695675794145,6.511484212118029,1.2736510995490877,1.1024184659710572
conditional,5,1mo,22,90.9090909090909,90.9090909090909,95.45454545454545,95.45454545454545,7.146287278668405,8.317157337366579,8.974448869693376,10.300399865107785,1.613297368398529,1.3032549670353912
conditional,10,1mo,22,95.45454545454545,100.0,100.0,100.0,10.061100604876739,12.13547200167706,13.516338112170427,16.129778470058188,1.6885516287853704,1.5201475516756786
ensemble,1,1mo,22,100.0,100.0,100.0,100.0,8.677175077974697,9.61603253262044,10.281252124282247,11.19890406634232,0.9164776316368228,0.6718052451151342
ensemble,2,1mo,22,100.0,100.0,100.0,100.0,9.196120782129249,10.139892918767403,10.799183415759215,11.939110898460024,1.349648748092746,1.0814413963891158
ensemble,5,1mo,22,95.45454545454545,100.0,100.0,100.0,10.386603861683996,11.493755942913115,12.313846871249796,13.426588457088814,1.932124925283111,1.315114722285525
ensemble,10,1mo,22,95.45454545454545,100.0,100.0,100.0,12.041056214520399,13.345961293532497,14.22090779120709,15.717678074052882,1.880058443448524,1.296636662584552
ensemble_combined,1,1mo,22,100.0,100.0,100.0,100.0,8.677175077974697,9.61603253262044,10.281252124282247,11.19890406634232,0.9164776316368228,0.6718052451151342
ensemble_combined,2,1mo,22,100.0,100.0,100.0,100.0,9.196120782129249,10.139892918767403,10.799183415759215,11.939110898460024,1.349648748092746,1.0814413963891158
ensemble_combined,5,1mo,22,100.0,100.0,100.0,100.0,10.703558780458154,11.781258150064671,12.608808881341963,13.907251720936664,1.9428964021772643,1.3941250828182552
ensemble_combined,10,1mo,22,100.0,100.0,100.0,100.0,12.58877367177184,13.849633634332976,15.102303634788695,18.001393412956062,1.7320828545243374,1.3896224854332373
