config,dte,percentile,spread_width,flow_mode,days_processed,days_with_spreads,total_spreads,filtered_by_loss_limit,avg_credit,avg_max_loss,avg_roi,median_roi,min_roi,max_roi,total_profit_potential,win_rate,sharpe_estimate,consistency_pct,avg_spreads_per_day,roi_score,sharpe_score,consistency_score,volume_score,composite_score
DTE1_p99_w25_neutral,1,99,25,neutral,20,8,1660,0,12.95693373493976,12.04306626506024,423908097456253.25,106.27062706270624,15.048320294523702,7.036874417766399e+17,10754.255000000001,99.0,0.024544034683716635,40.0,207.5,1.0,0.0010055495734447256,0.4,0.00450933784853151,0.43115325496306744
DTE1_p100_w25_neutral,1,100,25,neutral,20,9,1783,0,12.052602355580483,12.947397644419517,394664857979387.3,84.77457501847744,15.048320294523702,7.036874417766399e+17,10744.895,99.5,0.023682324543730402,45.0,198.11111111111111,0.9310151430172107,0.0009702459945970714,0.45,0.004843463484296194,0.4170665542515322
DTE1_p95_w100_neutral,1,95,100,neutral,20,18,368125,0,39.778619273344646,60.221380726655354,9557724167134.809,49.947518368571004,15.008625646923504,7.036874417766399e+17,7321752.109999999,95.0,0.0036854430590232525,90.0,20451.38888888889,0.0225466893047995,0.00015098966994266336,0.9,0.9999999972835314,0.3879290881308718
DTE1_p98_w25_neutral,1,98,25,neutral,20,9,2027,0,13.246714356191415,11.753285643808583,347157100038464.06,109.73154362416106,15.048320294523702,7.036874417766399e+17,13425.544999999998,98.0,0.022211256407521782,45.0,225.22222222222223,0.8189442525907168,0.0009099775034571824,0.45,0.005506281818658657,0.3779592391463469
DTE1_p97_w25_neutral,1,97,25,neutral,20,10,2286,0,12.78299212598425,12.21700787401575,307824777680684.44,95.46532668231613,15.048320294523698,7.036874417766399e+17,14610.96,97.0,0.020915193504647052,50.0,228.6,0.7261592300969234,0.0008568788374905863,0.5,0.006209847181772911,0.35561191967965033
DTE1_p96_w100_neutral,1,96,100,neutral,20,18,297391,0,38.93353319367432,61.066466806325685,11831014418729.855,47.666863555818075,15.008625646923504,7.036874417766399e+17,5789241.1850000005,96.0,0.004100379110104997,90.0,16521.722222222223,0.027909385288283624,0.0001679892698270661,0.9,0.807853308501587,0.35138094386867347
DTE1_p95_w50_neutral,1,95,50,neutral,20,18,259115,0,23.126054956293537,26.87394504370646,32588809221564.363,71.11567419575631,15.021854152288919,7.036874417766399e+17,2996153.8649999998,95.0,0.006805398550759773,90.0,14395.277777777777,0.07687706230930746,0.0002788117641627127,0.9,0.7038777570013508,0.34775222614956847
DTE1_p96_w25_neutral,1,96,25,neutral,20,12,2650,0,12.90571320754717,12.094286792452829,265542430859747.3,96.46368455636417,15.048320294523698,7.036874417766399e+17,17100.07,96.0,0.019425717247191967,60.0,220.83333333333334,0.6264150943404683,0.0007958561802689657,0.6,0.0071986417461497,0.3408839754134611
DTE1_p97_w100_neutral,1,97,100,neutral,20,18,265591,0,38.33621432955182,61.66378567044817,10598061557850.494,46.26298083954951,15.008625646923504,7.036874417766399e+17,5090876.749999999,97.0,0.0038808402993336247,90.0,14755.055555555555,0.025000847168162907,0.0001589949394176419,0.9,0.7214696075477905,0.33308396675326957
DTE1_p95_w25_neutral,1,95,25,neutral,20,12,2805,0,13.125315508021389,11.87468449197861,250868963200893.9,105.08613617719438,15.048320294523698,7.036874417766399e+17,18408.254999999997,95.0,0.018881372801284158,60.0,233.75,0.5918003565071867,0.000773554821407509,0.6,0.0076196943765848716,0.3288474523581842
DTE1_p98_w100_neutral,1,98,100,neutral,20,18,238254,0,38.355876249716694,61.644123750283306,8860553549677.742,46.520146520146525,15.008625646923504,7.036874417766399e+17,4569220.470000001,98.0,0.0035484799027138665,90.0,13236.333333333334,0.02090206250564048,0.00014537839839830246,0.9,0.6472095058819436,0.3167939676529625
DTE1_p96_w50_neutral,1,96,50,neutral,20,17,219781,0,22.627922886873755,27.37207711312625,28815898444753.207,67.50418760469012,15.021854152288919,7.036874417766399e+17,2486593.7600000002,96.0,0.006399323812694802,85.0,12928.29411764706,0.0679767586834714,0.00026217520522243346,0.85,0.5970281817398216,0.31326304568848495
DTE1_p95_w10_neutral,1,95,10,neutral,20,17,67698,0,5.713982687819433,4.286017312180566,119190365039143.5,133.64485981308414,15.0747986191024,5.629499534213119e+17,193412.59999999998,95.0,0.015215512744184048,85.0,3982.235294117647,0.2811702955295488,0.0006233674514731506,0.85,0.18389949016258203,0.30534534333072677
DTE1_p97_w50_neutral,1,97,50,neutral,20,17,205783,0,22.2839394410617,27.7160605589383,23936924296582.883,65.39861065167051,15.021854152288919,7.036874417766399e+17,2292827.955,97.0,0.005832444358864361,85.0,12104.882352941177,0.05646724948219028,0.00023895060501552643,0.85,0.5590030545086505,0.3016238858717506
DTE1_p95_w30_neutral,1,95,30,neutral,20,17,179010,0,15.258374448354843,14.741625551645157,33020359259424.62,92.80205655526991,15.03067484662575,8.444249301319679e+17,1365700.8050000002,95.0,0.006253420775807915,85.0,10530.0,0.07789508966110816,0.0002561976738834954,0.85,0.4862750411238709,0.29458233902463293
DTE1_p98_w50_neutral,1,98,50,neutral,20,17,191459,0,22.143433476619016,27.856566523380984,22052369701825.37,64.36554898093358,15.021854152288919,7.036874417766399e+17,2119779.815,98.0,0.005598135460112289,85.0,11262.29411764706,0.052021581645066706,0.00022935115585280338,0.85,0.5200923585192737,0.2922833630685913
DTE1_p96_w30_neutral,1,96,30,neutral,20,16,155136,0,15.005964057343236,14.994035942656764,32658761221621.76,88.67924528301886,15.03067484662575,8.444249301319679e+17,1163982.62,96.0,0.0062190826602212,80.0,9696.0,0.07704207920914297,0.0002547908686077505,0.8,0.4214220701625207,0.2713128394728561
DTE1_p97_w30_neutral,1,97,30,neutral,20,16,148503,0,14.843984296613538,15.156015703386462,34117489753555.816,85.41409147095183,15.03067484662575,8.444249301319679e+17,1102188.1,97.0,0.006356460067047899,80.0,9281.4375,0.08048322256235432,0.0002604191116662228,0.8,0.40340373404847885,0.2689149794844364
DTE1_p95_w20_neutral,1,95,20,neutral,20,17,128088,0,10.558536552994815,9.441463447005185,35160199452380.492,102.63424518743665,15.008625646923509,5.629499534213119e+17,676210.9149999999,95.0,0.007903193927785632,85.0,7534.588235294118,0.08294297670501323,0.00032378756733945376,0.85,0.3479470279172916,0.26870039432204784
DTE10_p96_w100_neutral,10,96,100,neutral,11,1,8,0,27.293749999999996,72.70625000000001,37.55491806421431,37.74136304261488,34.661998384056005,39.62580284836637,109.17499999999998,96.0,24.407577490253196,9.090909090909092,8.0,8.859212241891636e-14,0.9999590307956127,0.09090909090909091,2.1731748667621735e-05,0.26817592223048586
DTE10_p97_w100_neutral,10,97,100,neutral,11,1,8,0,27.293749999999996,72.70625000000001,37.55491806421431,37.74136304261488,34.661998384056005,39.62580284836637,109.17499999999998,97.0,24.407577490253196,9.090909090909092,8.0,8.859212241891636e-14,0.9999590307956127,0.09090909090909091,2.1731748667621735e-05,0.26817592223048586
DTE1_p96_w20_neutral,1,96,20,neutral,20,17,114745,0,10.463091550830102,9.536908449169898,39248765762739.23,99.8001998001998,15.008625646923509,5.629499534213119e+17,600293.72,96.0,0.008350093834456182,85.0,6749.705882352941,0.09258791232877935,0.0003420967009564786,0.85,0.311701187608282,0.2648315310119683
