config,dte,percentile,spread_width,flow_mode,days_processed,days_with_spreads,total_spreads,filtered_by_loss_limit,avg_credit,avg_max_loss,avg_roi,median_roi,min_roi,max_roi,total_profit_potential,win_rate,sharpe_estimate,consistency_pct,avg_spreads_per_day
DTE0_p95_w10_neutral,0,95,10,neutral,20,3,6,0,2.1633333333333336,7.836666666666667,29.30806553459871,20.78914603458784,15.740740740740744,51.057401812688795,6.490000000000001,95.0,1.7411008892928788,15.0,2.0
DTE0_p95_w20_neutral,0,95,20,neutral,20,6,20,0,4.970999999999998,15.029000000000002,36.58342040696741,24.379312038532838,16.618075801749274,84.33179723502295,49.70999999999998,95.0,1.4678722148266432,30.0,3.3333333333333335
DTE0_p95_w25_neutral,0,95,25,neutral,20,1,1,0,9.86,15.14,65.12549537648611,65.12549537648611,65.12549537648611,65.12549537648611,4.93,95.0,0.0,5.0,1.0
DTE0_p95_w30_neutral,0,95,30,neutral,20,9,38,0,5.827894736842104,24.172105263157896,24.46805744081108,24.04425826645435,15.91962905718701,41.24293785310733,110.72999999999999,95.0,3.5553425503677425,45.0,4.222222222222222
DTE0_p95_w50_neutral,0,95,50,neutral,20,10,141,0,12.08191489361702,37.918085106382975,40.78812843363891,22.97097884899163,15.287064791330415,278.78787878787887,851.7749999999999,95.0,0.820595857003739,50.0,14.1
DTE0_p95_w100_neutral,0,95,100,neutral,20,11,213,0,18.255774647887325,81.74422535211266,22.662734278644255,21.256214380987025,15.035085701138847,50.738619234247814,1944.2400000000002,95.0,3.4200488204052863,55.00000000000001,19.363636363636363
DTE0_p96_w10_neutral,0,96,10,neutral,20,3,5,0,1.9200000000000004,8.08,24.958198278980696,17.50881316098708,15.740740740740744,50.37593984962404,4.800000000000001,96.0,1.7130050996172075,15.0,1.6666666666666667
DTE0_p96_w20_neutral,0,96,20,neutral,20,4,13,0,5.068461538461536,14.931538461538464,37.91707302699417,24.766063630692454,16.618075801749274,84.33179723502295,32.944999999999986,96.0,1.4163945883666083,20.0,3.25
DTE0_p96_w25_neutral,0,96,25,neutral,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DTE0_p96_w30_neutral,0,96,30,neutral,20,6,19,0,5.8852631578947365,24.114736842105263,24.650441979283425,24.275062137531073,17.50881316098705,36.54984069185251,55.91,96.0,4.262583697978846,30.0,3.1666666666666665
DTE0_p96_w50_neutral,0,96,50,neutral,20,7,68,0,13.294558823529412,36.70544117647058,47.92356764644633,23.304562268803938,15.287064791330415,278.78787878787887,452.015,96.0,0.8325059397079836,35.0,9.714285714285714
DTE0_p96_w100_neutral,0,96,100,neutral,20,10,109,0,18.198256880733943,81.80174311926604,22.64588965027509,20.46741356463077,15.035085701138847,50.217815832957804,991.805,96.0,3.084633113292372,50.0,10.9
