rank,max_spread_width_call,max_spread_width_put,max_trading_hour,min_trading_hour,option_type,percent_beyond_call,percent_beyond_put,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,20,20,13,6,both,0.015,0.005,45,88.89,1208164.0,857800.0,247636.0,610164.0,3.464,27.43
2,10,20,13,6,both,0.015,0.005,45,88.89,1167493.0,817129.0,247636.0,569493.0,3.2997,25.55
3,30,20,13,6,both,0.015,0.005,45,88.89,1154545.0,804181.0,247636.0,556545.0,3.2474,25.02
4,20,20,12,6,both,0.015,0.005,45,88.89,1140622.0,794758.0,248136.0,546622.0,3.2029,24.56
5,30,20,12,6,both,0.015,0.005,45,88.89,1137773.0,791909.0,248136.0,543773.0,3.1914,24.44
6,20,20,13,7,both,0.015,0.005,45,88.89,1118863.0,768499.0,247636.0,520863.0,3.1033,23.43
7,10,20,12,6,both,0.015,0.005,45,88.89,1093541.0,747677.0,248136.0,499541.0,3.0132,22.41
8,20,20,13,6,both,0.015,0.0075,45,88.89,1086158.0,735794.0,247636.0,488158.0,2.9713,21.95
9,10,20,13,6,both,0.02,0.005,45,88.89,1082989.0,732625.0,247636.0,484989.0,2.9585,21.83
10,20,20,13,6,both,0.02,0.005,45,88.89,1082989.0,732625.0,247636.0,484989.0,2.9585,21.83
11,30,20,13,6,both,0.02,0.005,45,88.89,1082989.0,732625.0,247636.0,484989.0,2.9585,21.83
12,10,20,13,6,both,0.025,0.005,45,88.89,1082989.0,732625.0,247636.0,484989.0,2.9585,21.83
13,20,20,13,6,both,0.025,0.005,45,88.89,1082989.0,732625.0,247636.0,484989.0,2.9585,21.83
14,30,20,13,6,both,0.025,0.005,45,88.89,1082989.0,732625.0,247636.0,484989.0,2.9585,21.83
15,30,20,11,6,both,0.015,0.005,45,88.89,1073691.0,731227.0,247536.0,483691.0,2.954,21.76
16,20,20,11,6,both,0.015,0.005,45,88.89,1073447.0,730983.0,247536.0,483447.0,2.953,21.74
17,10,20,12,6,both,0.02,0.005,45,88.89,1071757.0,725893.0,248136.0,477757.0,2.9254,21.49
18,20,20,12,6,both,0.02,0.005,45,88.89,1071757.0,725893.0,248136.0,477757.0,2.9254,21.49
19,30,20,12,6,both,0.02,0.005,45,88.89,1071757.0,725893.0,248136.0,477757.0,2.9254,21.49
20,10,20,12,6,both,0.025,0.005,45,88.89,1071757.0,725893.0,248136.0,477757.0,2.9254,21.49
21,20,20,12,6,both,0.025,0.005,45,88.89,1071757.0,725893.0,248136.0,477757.0,2.9254,21.49
22,30,20,12,6,both,0.025,0.005,45,88.89,1071757.0,725893.0,248136.0,477757.0,2.9254,21.49
23,10,20,13,7,both,0.015,0.005,45,88.89,1072860.0,722496.0,247636.0,474860.0,2.9176,21.33
24,10,20,11,6,both,0.015,0.005,45,88.89,1060366.0,717902.0,247536.0,470366.0,2.9002,21.12
25,30,20,13,7,both,0.015,0.005,45,88.89,1065874.0,715510.0,247636.0,467874.0,2.8894,21.08
26,20,20,12,7,both,0.015,0.005,45,88.89,1045471.0,699607.0,248136.0,451471.0,2.8194,20.31
27,10,20,11,6,both,0.02,0.005,45,88.89,1038582.0,696118.0,247536.0,448582.0,2.8122,20.19
28,20,20,11,6,both,0.02,0.005,45,88.89,1038582.0,696118.0,247536.0,448582.0,2.8122,20.19
29,30,20,11,6,both,0.02,0.005,45,88.89,1038582.0,696118.0,247536.0,448582.0,2.8122,20.19
30,10,20,11,6,both,0.025,0.005,45,88.89,1038582.0,696118.0,247536.0,448582.0,2.8122,20.19
31,20,20,11,6,both,0.025,0.005,45,88.89,1038582.0,696118.0,247536.0,448582.0,2.8122,20.19
32,30,20,11,6,both,0.025,0.005,45,88.89,1038582.0,696118.0,247536.0,448582.0,2.8122,20.19
33,10,20,13,6,both,0.015,0.0075,45,88.89,1045539.0,695175.0,247636.0,447539.0,2.8072,20.09
34,30,20,12,7,both,0.015,0.005,45,88.89,1040702.0,694838.0,248136.0,446702.0,2.8002,20.11
35,30,20,13,6,both,0.015,0.0075,45,88.89,1032539.0,682175.0,247636.0,434539.0,2.7547,19.54
36,20,20,12,6,both,0.015,0.0075,45,88.89,1018616.0,672752.0,248136.0,424616.0,2.7112,19.08
37,30,20,12,6,both,0.015,0.0075,45,88.89,1015767.0,669903.0,248136.0,421767.0,2.6997,18.96
38,20,20,13,6,both,0.015,0.01,45,88.89,1010447.0,660083.0,247636.0,412447.0,2.6655,18.57
39,20,20,13,8,both,0.015,0.005,45,88.89,1004235.0,655896.0,247661.0,408235.0,2.6484,18.38
40,10,20,12,7,both,0.015,0.005,45,88.89,998328.0,652464.0,248136.0,404328.0,2.6295,18.15
41,20,10,9,6,both,0.015,0.005,45,88.89,848413.0,587658.0,199947.54,387710.46,2.9391,17.38
42,30,10,9,6,both,0.015,0.005,45,88.89,847217.0,586462.0,199947.54,386514.46,2.9331,17.33
43,20,20,11,7,both,0.015,0.005,45,88.89,975265.0,632801.0,247536.0,385265.0,2.5564,17.34
44,20,20,13,7,both,0.015,0.0075,45,88.89,982893.0,632529.0,247636.0,384893.0,2.5543,17.32
45,20,20,13,7,both,0.02,0.005,45,88.89,982823.0,632459.0,247636.0,384823.0,2.554,17.34
