rank,max_spread_width_call,max_spread_width_put,option_type,percent_beyond_call,percent_beyond_put,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,10,10,both,0.015,0.005,1237,82.94,87621090.0,61361782.32,21007936.46,40353845.86,2.9209,32.72
2,20,10,both,0.025,0.005,1235,86.15,78251437.0,57135815.5,16968530.45,40167285.05,3.3672,32.63
3,10,10,both,0.025,0.005,1235,85.99,77763041.0,56864380.27,16872140.45,39992239.83,3.3703,32.48
4,30,10,both,0.025,0.005,1235,85.75,78168509.0,56868217.02,17114685.56,39753531.46,3.3228,32.3
5,20,10,both,0.015,0.005,1238,82.39,88443368.0,60999906.95,21344700.27,39655206.67,2.8578,32.14
6,40,10,both,0.025,0.005,1235,85.59,77865822.0,56288639.45,17212739.91,39075899.54,3.2702,31.75
7,50,10,both,0.025,0.005,1235,85.67,77482356.0,55964473.86,17158635.44,38805838.42,3.2616,31.54
8,20,10,both,0.02,0.005,1237,84.07,82033624.0,57787826.44,19276092.09,38511734.35,2.9979,31.24
9,40,10,both,0.015,0.005,1239,82.24,88691424.0,60104651.87,21620703.26,38483948.61,2.78,31.19
10,10,10,both,0.02,0.005,1236,84.22,81107787.0,57794667.62,19411595.46,38383072.16,2.9773,31.15
11,30,10,both,0.015,0.005,1239,82.08,88392493.0,60041519.79,21824592.02,38216927.77,2.7511,30.96
12,50,10,both,0.015,0.005,1239,82.16,88398939.0,59760756.94,21721726.14,38039030.8,2.7512,30.85
13,40,10,both,0.02,0.005,1237,83.59,81663676.0,56342201.59,19530680.47,36811521.12,2.8848,29.87
14,30,10,both,0.02,0.005,1237,83.43,81927270.0,56702925.8,19917043.11,36785882.7,2.847,29.85
15,50,10,both,0.02,0.005,1237,83.59,81420549.0,55965321.46,19495641.8,36469679.66,2.8707,29.61
16,10,20,both,0.015,0.005,1237,81.65,87752625.0,58275465.02,22152558.58,36122906.45,2.6306,29.35
17,10,10,both,0.015,0.0075,1236,85.36,75941950.0,53665903.68,17925488.05,35740415.62,2.9938,29.01
18,20,20,both,0.025,0.005,1235,84.86,78218326.0,53776172.2,18112472.57,35663699.63,2.969,29.04
19,20,20,both,0.015,0.005,1238,81.1,88592127.0,57906501.15,22489322.39,35417178.76,2.5748,28.76
20,30,20,both,0.025,0.005,1235,84.45,78072606.0,53585573.73,18258919.68,35326654.05,2.9348,28.77
21,10,20,both,0.025,0.005,1235,84.62,77751764.0,53430530.98,18116042.56,35314488.41,2.9493,28.75
22,20,10,both,0.015,0.0075,1237,84.8,76691722.0,53231522.3,18262251.87,34969270.44,2.9148,28.37
23,40,20,both,0.015,0.005,1239,81.19,88907647.0,57357233.57,22465536.38,34891697.2,2.5531,28.34
24,40,20,both,0.025,0.005,1235,84.29,77775442.0,53011519.15,18356974.02,34654545.12,2.8878,28.22
25,20,10,both,0.025,0.0075,1233,88.56,65378600.0,48246239.86,13886082.05,34360157.81,3.4744,27.96
26,20,20,both,0.02,0.005,1237,82.86,82026802.0,54574812.14,20320374.2,34254437.94,2.6857,27.84
27,50,20,both,0.025,0.005,1235,84.29,77421799.0,52575767.56,18333123.05,34242644.51,2.8678,27.9
28,10,10,both,0.025,0.0075,1233,88.4,64887478.0,47972078.63,13789692.04,34182386.59,3.4788,27.81
29,30,20,both,0.015,0.005,1239,80.87,88554571.0,56992496.49,22868965.14,34123531.35,2.4921,27.7
30,50,20,both,0.015,0.005,1239,80.95,88668398.0,56817243.64,22766228.26,34051015.38,2.4957,27.66
31,10,20,both,0.02,0.005,1236,82.93,81133981.0,54487549.32,20555757.58,33931791.74,2.6507,27.6
32,30,10,both,0.025,0.0075,1233,88.16,65234775.0,47917744.38,14032237.16,33885507.23,3.4148,27.58
33,40,10,both,0.015,0.0075,1238,84.65,76778061.0,52174550.23,18538254.85,33636295.38,2.8144,27.3
34,30,10,both,0.015,0.0075,1238,84.49,76517610.0,52149898.15,18742143.62,33407754.53,2.7825,27.1
35,10,10,both,0.015,0.01,1233,87.67,67179261.0,48386456.02,15099406.34,33287049.67,3.2045,27.09
36,50,10,both,0.015,0.0075,1238,84.57,76501973.0,51847052.3,18639277.73,33207774.56,2.7816,26.96
37,10,20,both,0.015,0.0075,1236,84.71,75895952.0,51426579.8,18224156.9,33202422.9,2.8219,27.0
38,40,10,both,0.025,0.0075,1233,88.0,64908655.0,47314733.8,14130291.5,33184442.3,3.3485,27.02
39,20,10,both,0.02,0.0075,1236,86.49,69636622.0,49374085.8,16193643.68,33180442.12,3.049,26.94
40,10,10,both,0.02,0.0075,1235,86.64,68739192.0,49409333.98,16329147.05,33080186.92,3.0258,26.87
41,40,20,both,0.02,0.005,1237,82.54,81735606.0,53450490.29,20375513.59,33074976.7,2.6233,26.9
42,30,20,both,0.02,0.005,1237,82.38,81938736.0,53750750.51,20761876.23,32988874.28,2.5889,26.82
43,50,10,both,0.025,0.0075,1233,88.08,64502908.0,46968287.22,14076187.03,32892100.19,3.3367,26.79
44,20,20,both,0.015,0.0075,1237,84.16,76655201.0,50977362.92,18560920.71,32416442.21,2.7465,26.35
45,20,10,both,0.015,0.01,1234,87.03,67912867.0,47817988.64,15536250.16,32281738.48,3.0778,26.26
46,50,20,both,0.02,0.005,1237,82.38,81480118.0,52818698.16,20539923.91,32278774.25,2.5715,26.26
47,10,30,both,0.015,0.005,1240,80.56,86950975.0,55331114.82,23345331.62,31985783.2,2.3701,25.99
48,40,20,both,0.015,0.0075,1238,84.25,76853650.0,50258868.09,18537134.7,31721733.4,2.7113,25.8
