rank,max_spread_width_call,max_spread_width_put,max_trading_hour,min_trading_hour,option_type,percent_beyond_call,percent_beyond_put,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,30,30,13,6,both,0.015,0.005,45,88.89,793738.0,434202.0,246464.0,187738.0,1.7617,8.5
2,20,30,13,6,both,0.015,0.005,45,88.89,789553.0,430017.0,246464.0,183553.0,1.7447,8.31
3,30,30,13,7,both,0.015,0.005,42,88.1,780713.0,424738.0,247025.0,177713.0,1.7194,8.59
4,30,20,13,6,both,0.015,0.005,45,88.89,770215.0,410607.0,236860.0,173747.0,1.7335,7.83
5,20,30,13,7,both,0.015,0.005,42,88.1,776528.0,420553.0,247025.0,173528.0,1.7025,8.39
6,30,30,12,6,both,0.015,0.005,45,88.89,772118.0,419185.0,247067.0,172118.0,1.6966,7.79
7,20,30,12,6,both,0.015,0.005,45,88.89,769928.0,416995.0,247067.0,169928.0,1.6878,7.69
8,20,20,13,6,both,0.015,0.005,45,88.89,766030.0,406422.0,236860.0,169562.0,1.7159,7.64
9,30,20,13,7,both,0.015,0.005,42,88.1,765792.0,406184.0,236860.0,169324.0,1.7149,8.17
10,20,20,13,7,both,0.015,0.005,42,88.1,761607.0,401999.0,236860.0,165139.0,1.6972,7.97
11,10,30,13,6,both,0.015,0.005,45,88.89,769081.0,409545.0,246464.0,163081.0,1.6617,7.39
12,10,30,12,6,both,0.015,0.005,45,88.89,762400.0,409467.0,247067.0,162400.0,1.6573,7.36
13,30,30,12,7,both,0.015,0.005,42,88.1,758131.0,409110.0,247979.0,161131.0,1.6498,7.79
14,20,30,13,6,both,0.02,0.005,45,88.89,766766.0,407230.0,246464.0,160766.0,1.6523,7.29
15,30,30,13,6,both,0.02,0.005,45,88.89,766766.0,407230.0,246464.0,160766.0,1.6523,7.29
16,10,30,13,6,both,0.02,0.005,45,88.89,766327.0,406791.0,246464.0,160327.0,1.6505,7.27
17,10,30,13,6,both,0.025,0.005,45,88.89,766327.0,406791.0,246464.0,160327.0,1.6505,7.27
18,20,30,13,6,both,0.025,0.005,45,88.89,766327.0,406791.0,246464.0,160327.0,1.6505,7.27
19,30,30,13,6,both,0.025,0.005,45,88.89,766327.0,406791.0,246464.0,160327.0,1.6505,7.27
20,20,30,12,6,both,0.02,0.005,45,88.89,760085.0,407152.0,247067.0,160085.0,1.6479,7.26
21,30,30,12,6,both,0.02,0.005,45,88.89,760085.0,407152.0,247067.0,160085.0,1.6479,7.26
22,10,30,12,6,both,0.02,0.005,45,88.89,759646.0,406713.0,247067.0,159646.0,1.6462,7.24
23,10,30,12,6,both,0.025,0.005,45,88.89,759646.0,406713.0,247067.0,159646.0,1.6462,7.24
24,20,30,12,6,both,0.025,0.005,45,88.89,759646.0,406713.0,247067.0,159646.0,1.6462,7.24
25,30,30,12,6,both,0.025,0.005,45,88.89,759646.0,406713.0,247067.0,159646.0,1.6462,7.24
26,20,30,12,7,both,0.015,0.005,42,88.1,755941.0,406920.0,247979.0,158941.0,1.6409,7.68
27,10,30,13,7,both,0.015,0.005,42,88.1,755157.0,399182.0,247025.0,152157.0,1.616,7.36
28,10,30,12,7,both,0.015,0.005,42,88.1,748125.0,399104.0,247979.0,151125.0,1.6094,7.31
29,20,30,13,7,both,0.02,0.005,42,88.1,752625.0,396650.0,247025.0,149625.0,1.6057,7.25
30,30,30,13,7,both,0.02,0.005,42,88.1,752625.0,396650.0,247025.0,149625.0,1.6057,7.25
31,10,30,13,7,both,0.02,0.005,41,87.8,751866.0,395891.0,247025.0,148866.0,1.6026,7.39
32,10,30,13,7,both,0.025,0.005,41,87.8,751866.0,395891.0,247025.0,148866.0,1.6026,7.39
33,20,30,13,7,both,0.025,0.005,41,87.8,751866.0,395891.0,247025.0,148866.0,1.6026,7.39
34,30,30,13,7,both,0.025,0.005,41,87.8,751866.0,395891.0,247025.0,148866.0,1.6026,7.39
35,20,30,12,7,both,0.02,0.005,42,88.1,745593.0,396572.0,247979.0,148593.0,1.5992,7.2
36,30,30,12,7,both,0.02,0.005,42,88.1,745593.0,396572.0,247979.0,148593.0,1.5992,7.2
37,10,20,13,6,both,0.015,0.005,45,88.89,744731.0,385123.0,236860.0,148263.0,1.626,6.68
38,10,30,11,6,both,0.015,0.005,45,88.89,748120.0,395187.0,247067.0,148120.0,1.5995,6.71
39,20,30,11,6,both,0.015,0.005,45,88.89,747846.0,394913.0,247067.0,147846.0,1.5984,6.7
40,30,30,11,6,both,0.015,0.005,45,88.89,747846.0,394913.0,247067.0,147846.0,1.5984,6.7
41,10,30,12,7,both,0.02,0.005,41,87.8,744834.0,395813.0,247979.0,147834.0,1.5962,7.34
42,10,30,12,7,both,0.025,0.005,41,87.8,744834.0,395813.0,247979.0,147834.0,1.5962,7.34
43,20,30,12,7,both,0.025,0.005,41,87.8,744834.0,395813.0,247979.0,147834.0,1.5962,7.34
44,30,30,12,7,both,0.025,0.005,41,87.8,744834.0,395813.0,247979.0,147834.0,1.5962,7.34
45,30,30,13,8,both,0.015,0.005,34,85.29,744034.0,394006.0,246972.0,147034.0,1.5953,8.81
46,30,20,12,6,both,0.015,0.005,45,88.89,748277.0,395074.0,248797.0,146277.0,1.5879,6.59
47,20,20,13,6,both,0.02,0.005,45,88.89,742211.0,382603.0,236860.0,145743.0,1.6153,6.57
48,30,20,13,6,both,0.02,0.005,45,88.89,742211.0,382603.0,236860.0,145743.0,1.6153,6.57
49,10,30,11,6,both,0.02,0.005,45,88.89,745366.0,392433.0,247067.0,145366.0,1.5884,6.59
50,20,30,11,6,both,0.02,0.005,45,88.89,745366.0,392433.0,247067.0,145366.0,1.5884,6.59
51,30,30,11,6,both,0.02,0.005,45,88.89,745366.0,392433.0,247067.0,145366.0,1.5884,6.59
52,10,30,11,6,both,0.025,0.005,45,88.89,745366.0,392433.0,247067.0,145366.0,1.5884,6.59
53,20,30,11,6,both,0.025,0.005,45,88.89,745366.0,392433.0,247067.0,145366.0,1.5884,6.59
54,30,30,11,6,both,0.025,0.005,45,88.89,745366.0,392433.0,247067.0,145366.0,1.5884,6.59
55,10,20,13,6,both,0.02,0.005,45,88.89,741652.0,382044.0,236860.0,145184.0,1.613,6.54
56,10,20,13,6,both,0.025,0.005,45,88.89,741652.0,382044.0,236860.0,145184.0,1.613,6.54
