rank,max_spread_width_call,max_spread_width_put,max_trading_hour,min_trading_hour,option_type,percent_beyond_call,percent_beyond_put,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,20,30,13,6,both,0.015,0.005,598,89.63,7621653.0,3646929.24,2674503.44,972425.8,1.3636,3.33
2,30,30,13,6,both,0.015,0.005,598,89.63,7550775.0,3578350.16,2674503.44,903846.73,1.3379,3.1
3,30,30,12,6,both,0.015,0.005,598,88.8,7037549.0,3532746.66,2675772.22,856974.44,1.3203,2.94
4,10,30,13,6,both,0.015,0.005,598,89.3,7529111.0,3520420.34,2682565.54,837854.8,1.3123,2.87
5,20,30,13,7,both,0.015,0.005,565,89.03,7468330.0,3500952.24,2677081.42,823870.82,1.3077,2.98
6,30,30,13,6,both,0.015,0.01,432,93.29,3520866.0,1849459.13,1033945.72,815513.41,1.7887,3.87
7,30,30,12,6,both,0.015,0.01,432,92.82,3282114.0,1762846.88,968170.18,794676.7,1.8208,3.78
8,20,30,13,6,both,0.015,0.01,432,93.06,3568719.0,1875578.21,1083510.72,792067.49,1.731,3.76
9,20,30,12,6,both,0.015,0.005,598,88.46,7095987.0,3540616.74,2767698.73,772918.01,1.2793,2.65
10,30,30,13,7,both,0.015,0.005,565,89.03,7397452.0,3432373.16,2677081.42,755291.75,1.2821,2.74
11,20,30,13,7,both,0.015,0.01,387,92.25,3507961.0,1814820.21,1083510.72,731309.49,1.6749,3.87
12,20,30,12,6,both,0.015,0.01,432,92.36,3318169.0,1768446.95,1059209.69,709237.26,1.6696,3.37
13,30,30,12,7,both,0.015,0.005,565,88.14,6882790.0,3385784.66,2678801.21,706983.46,1.2639,2.56
14,30,30,13,6,both,0.015,0.0075,535,91.21,5034266.0,2434847.35,1733154.0,701693.34,1.4049,2.69
15,20,30,13,6,both,0.015,0.0125,340,94.71,2669322.0,1367146.96,678712.41,688434.55,2.0143,4.14
16,10,30,13,7,both,0.015,0.005,565,88.67,7374714.0,3373369.34,2685143.53,688225.82,1.2563,2.49
17,30,30,13,7,both,0.015,0.01,387,92.25,3457463.0,1766621.13,1083510.72,683110.41,1.6305,3.62
18,20,30,13,6,both,0.015,0.0075,535,91.03,5085992.0,2463666.42,1781546.0,682120.42,1.3829,2.61
19,30,30,11,6,both,0.015,0.01,428,92.29,3007138.0,1633651.34,964867.0,668784.34,1.6931,3.21
20,30,30,12,7,both,0.015,0.01,385,91.69,3210562.0,1676804.88,1016680.18,660124.7,1.6493,3.52
21,10,30,12,6,both,0.015,0.005,598,88.29,7007788.0,3449849.12,2790147.89,659701.23,1.2364,2.26
22,30,30,13,6,both,0.015,0.0125,340,94.71,2635705.0,1335828.89,678712.41,657116.47,1.9682,3.96
23,20,30,12,7,both,0.015,0.01,385,91.43,3256627.0,1706904.95,1059209.69,647695.26,1.6115,3.45
24,20,30,11,6,both,0.015,0.01,428,91.82,3046322.0,1656007.85,1015513.58,640494.27,1.6307,3.07
25,20,30,12,7,both,0.015,0.005,565,87.79,6941228.0,3393654.74,2770727.71,622927.02,1.2248,2.26
26,30,30,13,7,both,0.015,0.0075,482,90.25,4938027.0,2339444.38,1738518.07,600926.32,1.3457,2.55
27,30,30,12,6,both,0.015,0.0075,535,90.47,4574172.0,2316001.93,1716255.22,599746.71,1.3495,2.3
28,20,30,13,7,both,0.015,0.0125,306,93.46,2631757.0,1307381.96,721473.35,585908.61,1.8121,3.91
29,20,30,12,6,both,0.015,0.0075,535,90.28,4622020.0,2341842.0,1758741.73,583100.27,1.3315,2.23
30,20,30,13,7,both,0.015,0.0075,482,90.04,4989753.0,2368263.46,1786910.07,581353.39,1.3253,2.47
31,30,20,13,6,both,0.015,0.01,417,92.09,3363242.0,1682759.96,1102006.42,580753.54,1.527,2.82
32,30,30,13,7,both,0.015,0.0125,306,93.79,2588353.0,1277076.89,699792.88,577284.01,1.8249,3.86
33,20,30,11,6,both,0.015,0.005,598,87.63,6391452.0,3327520.04,2753954.12,573565.92,1.2083,1.97
34,20,20,13,6,both,0.015,0.01,417,91.85,3398840.0,1701819.04,1151766.42,550052.62,1.4776,2.67
35,20,30,12,6,both,0.015,0.0125,340,93.53,2413961.0,1299405.6,765039.86,534365.74,1.6985,3.22
36,30,30,11,7,both,0.015,0.01,380,90.79,2933559.0,1545906.66,1015888.48,530018.18,1.5217,2.86
37,30,30,11,6,both,0.015,0.005,598,87.79,6335214.0,3273619.53,2751817.54,521801.99,1.1896,1.79
38,20,30,11,7,both,0.015,0.01,380,90.53,2980445.0,1579918.85,1065301.58,514617.27,1.4831,2.78
39,10,30,12,7,both,0.015,0.005,565,87.61,6852566.0,3302424.12,2793176.88,509247.25,1.1823,1.84
40,10,30,13,6,both,0.015,0.01,431,92.11,3453307.0,1698248.31,1189621.83,508626.48,1.4276,2.42
41,30,30,12,6,both,0.015,0.0125,340,93.53,2380418.0,1268366.53,772049.36,496317.17,1.6429,2.99
42,20,30,12,7,both,0.015,0.0075,482,89.21,4523261.0,2245714.04,1759570.71,486143.32,1.2763,2.07
43,10,30,13,6,both,0.015,0.0075,535,90.47,4986048.0,2310251.53,1839104.11,471147.41,1.2562,1.8
44,30,20,13,7,both,0.015,0.01,375,90.93,3314669.0,1619946.96,1151766.42,468180.54,1.4065,2.53
45,30,30,10,6,both,0.015,0.01,426,92.02,2422149.0,1541502.38,1075969.35,465533.03,1.4327,2.24
46,20,20,12,6,both,0.015,0.01,417,91.13,3160969.0,1616363.68,1153828.95,462534.72,1.4009,2.25
47,20,30,12,7,both,0.015,0.0125,304,92.43,2373032.0,1247676.6,786720.33,460956.27,1.5859,3.1
48,20,20,13,7,both,0.015,0.01,375,90.67,3358447.0,1650176.04,1200516.42,449659.62,1.3746,2.43
49,10,30,12,6,both,0.015,0.01,431,91.65,3199482.0,1626671.34,1178138.85,448532.49,1.3807,2.13
