date,prev_close,spreads_available,new_positions_entered,positions_expired,expired_pnl,open_positions,total_risk,capital_used,current_capital,total_value,cumulative_pnl,return_pct
2026-02-02,25552.38674697859,3274,50,0,0.0,50,637.13,637.13,100000.0,100000.0,0.0,0.0
2026-02-03,25738.61393708193,9840,50,50,181.435,50,691.25,691.25,100637.13,100181.435,181.435,0.18143499999999999
2026-02-04,25338.62056521204,5653,50,50,154.375,50,330.89000000000004,330.89000000000004,101328.37999999999,100335.81,335.81,0.33581
2026-02-05,24891.23845053545,1683,50,50,334.555,50,403.4299999999999,403.4299999999999,101659.26999999999,100670.365,670.365,0.670365
2026-02-06,24548.69024491809,51,50,50,298.2850000000001,50,423.50999999999993,423.50999999999993,102062.70000000001,100968.65,968.6500000000001,0.96865
2026-02-09,25075.77232205038,2549,50,50,288.245,50,546.02,546.02,102486.21,101256.895,1256.895,1.256895
2026-02-10,25127.63786663214,3997,50,50,226.98999999999998,50,419.80000000000007,419.80000000000007,103032.23,101483.885,1483.885,1.4838850000000001
2026-02-11,25201.26065849291,8277,50,50,290.0999999999999,50,696.1799999999998,696.1799999999998,103452.02999999998,101773.985,1773.985,1.7739849999999997
2026-02-12,24687.61161849065,0,0,50,151.91000000000005,0,0.0,0.0,104148.21,101925.895,1925.895,1.9258950000000001
2026-02-13,24732.73184395684,0,0,0,0.0,0,0.0,0.0,104148.21,101925.895,1925.895,1.9258950000000001
