method,dte_bucket,n_samples,p95_hit_rate,p97_hit_rate,p98_hit_rate,p99_hit_rate,p95_avg_width,p97_avg_width,p98_avg_width,p99_avg_width,avg_midpoint_error,median_midpoint_error
baseline,1DTE,180,98.33333333333333,99.44444444444444,99.44444444444444,99.44444444444444,5.6706672282169075,6.44818197086362,6.9059815730820855,8.16082138031483,0.9048977776406291,0.8004505926642395
baseline,2DTE,180,98.88888888888889,99.44444444444444,99.44444444444444,100.0,7.951745465271711,9.214344045795562,10.071575493108208,12.530742992492701,1.0356162633087305,0.881595208746135
baseline,3DTE,180,98.33333333333333,99.44444444444444,100.0,100.0,9.955126449009501,12.1409471847439,14.780277704863753,18.813584407861104,1.339361699774061,1.1305055043937684
baseline,5DTE,180,98.33333333333333,98.88888888888889,100.0,100.0,12.319043782018177,14.169100424553939,16.306363278481896,18.507167428939542,1.6842641249151136,1.3640669554536382
baseline,7DTE,180,98.88888888888889,100.0,100.0,100.0,14.545239110054723,15.880906366594749,18.31058391148441,20.773341543183566,1.8862627566336003,1.5598949922152974
baseline,10DTE,180,100.0,100.0,100.0,100.0,17.24175832998133,18.860117741560153,21.131806136557444,24.043389344981563,1.965111385134734,1.5387852389423178
baseline,1-3DTE,540,98.51851851851852,99.44444444444444,99.62962962962963,99.81481481481481,7.8591797141660376,9.267824400467696,10.585944923684682,13.168382926889546,1.0932919135744736,0.9103968728172036
baseline,4-7DTE,720,98.19444444444444,99.16666666666667,100.0,100.0,12.788555233156796,14.25260934647178,16.542524979517157,19.466302175328664,1.695131996045968,1.3593587318792975
baseline,8-14DTE,1260,99.76190476190476,99.92063492063492,100.0,100.0,18.204400984307537,19.915034300213335,22.018684963174152,24.18206948353206,2.121498938223738,1.7639163895571957
baseline,15-20DTE,1080,100.0,100.0,100.0,100.0,24.522899120529814,27.06424904536843,28.350172371350546,29.762113718303798,2.1692556944971204,1.8635691999709088
conditional,1DTE,180,97.77777777777777,98.33333333333333,98.33333333333333,98.88888888888889,4.304888784423219,4.974195785030985,5.422829738211697,6.239091820302689,0.9333918159362873,0.8271433620493804
conditional,2DTE,180,97.77777777777777,98.33333333333333,98.88888888888889,98.88888888888889,5.784453938202815,6.388046560858003,6.849157170499714,7.736884591551963,1.2743915579259086,1.1842220313444525
conditional,3DTE,180,97.22222222222221,97.77777777777777,98.88888888888889,99.44444444444444,6.70914455433985,7.739616214265452,8.876496296863259,10.235609810210487,1.5856416612433795,1.4164953454587572
conditional,5DTE,180,97.77777777777777,98.33333333333333,98.33333333333333,98.33333333333333,8.574374067088044,9.27179810428555,10.143378697133,11.360589976317298,1.9864833792099819,1.7524557904177605
conditional,7DTE,180,97.77777777777777,98.88888888888889,98.88888888888889,99.44444444444444,10.309451204668914,11.812711252183224,13.075150128427781,14.537842336318702,2.902321388937248,2.842019786159361
conditional,10DTE,180,96.66666666666667,99.44444444444444,100.0,100.0,12.336253280589704,13.69394177837269,15.310966958262007,17.571841074145773,3.432995413135308,3.4594545889657824
conditional,1-3DTE,540,97.5925925925926,98.14814814814815,98.70370370370371,99.07407407407408,5.599495758988628,6.367286186718147,7.049494401858223,8.070528740688378,1.2644750117018584,1.11450911346601
conditional,4-7DTE,720,97.5,98.75,98.88888888888889,99.02777777777779,9.04048338271786,10.135888516769226,11.079865931564779,12.323625148387375,2.2425527055813825,1.9574630536707027
conditional,8-14DTE,1260,96.9047619047619,98.4920634920635,99.04761904761905,99.36507936507937,12.88700379931971,14.563703186709237,15.869795300100556,17.429806919248755,3.5615657549658537,3.469924075381746
conditional,15-20DTE,1080,95.27777777777777,97.4074074074074,98.51851851851852,98.70370370370371,15.978859787852862,17.333617233924937,18.039355071290103,18.86070195223492,4.363453729124337,4.292527349488081
ensemble,1DTE,180,100.0,100.0,100.0,100.0,12.999591850926802,14.42361756404682,15.418342921953233,17.075371525365426,0.8411513789551495,0.6535582837981619
ensemble,2DTE,180,100.0,100.0,100.0,100.0,15.613766974031865,17.220027299550413,18.421323429082218,20.319044775087022,1.0464153164097438,0.8372234238301295
ensemble,3DTE,180,100.0,100.0,100.0,100.0,19.612294096901433,21.660371124115287,23.172869664882924,25.426278541928685,1.386981135350985,1.1227546811814602
ensemble,5DTE,180,100.0,100.0,100.0,100.0,23.394046938611027,25.888058558280427,27.7266443285018,30.53611072660488,1.7547564529278652,1.496656827972846
ensemble,7DTE,180,100.0,100.0,100.0,100.0,25.437328459968317,28.11691649898214,30.1408247246556,33.187848003653905,2.028539462679166,1.8486603122256189
ensemble,10DTE,180,100.0,100.0,100.0,100.0,28.974137124254504,32.008501717092,34.21100069288649,37.571845891174604,2.4578390527911376,2.224207812621096
ensemble,1-3DTE,540,100.0,100.0,100.0,100.0,16.075217640620032,17.768005329237504,19.004178671972795,20.940231614127043,1.0915159435719595,0.8315814046944072
ensemble,4-7DTE,720,100.0,100.0,100.0,100.0,23.66028903637453,26.151197419387014,27.995875154912174,30.82876533562232,1.789886467666835,1.5200059971566575
ensemble,8-14DTE,1260,100.0,100.0,100.0,100.0,29.46674085581676,32.60244401910795,34.89151711837415,38.403501182127414,2.5371004964703974,2.369931579567826
ensemble,15-20DTE,1080,100.0,100.0,100.0,100.0,29.885219642698193,33.02707534148161,35.323322967482476,38.92787431747594,2.80950253082311,2.5422106257961854
ensemble_combined,1DTE,180,100.0,100.0,100.0,100.0,12.999591850926802,14.42361756404682,15.418342921953233,17.075371525365426,0.8408491969358555,0.6427851956029436
ensemble_combined,2DTE,180,100.0,100.0,100.0,100.0,15.613766974031865,17.220027299550413,18.421323429082218,20.319044775087022,1.0464153164097438,0.8372234238301295
ensemble_combined,3DTE,180,100.0,100.0,100.0,100.0,19.612294096901433,21.660371124115287,23.172869664882924,25.426278541928685,1.3886062562538497,1.1227546811814602
ensemble_combined,5DTE,180,100.0,100.0,100.0,100.0,23.394046938611027,25.888058558280427,27.7266443285018,30.53611072660488,1.7512553350259634,1.4854146914789208
ensemble_combined,7DTE,180,100.0,100.0,100.0,100.0,25.437328459968317,28.11691649898214,30.1408247246556,33.187848003653905,2.0252334594273314,1.8486603122256189
ensemble_combined,10DTE,180,100.0,100.0,100.0,100.0,28.974137124254504,32.008501717092,34.21100069288649,37.571845891174604,2.457780839309947,2.2236572437883284
ensemble_combined,1-3DTE,540,100.0,100.0,100.0,100.0,16.075217640620032,17.768005329237504,19.004178671972795,20.940231614127043,1.0919569231998165,0.8315814046944072
ensemble_combined,4-7DTE,720,100.0,100.0,100.0,100.0,23.66028903637453,26.151197419387014,27.995875154912174,30.82876533562232,1.7838185444555392,1.5152030789657955
ensemble_combined,8-14DTE,1260,100.0,100.0,100.0,100.0,29.46674085581676,32.60244401910795,34.89151711837415,38.403501182127414,2.535491720641615,2.369931579567826
ensemble_combined,15-20DTE,1080,100.0,100.0,100.0,100.0,29.903013851363244,33.035640714834756,35.326458270499266,38.92787431747594,2.803969777429733,2.532485581297514
