method,dte_bucket,n_samples,p95_hit_rate,p97_hit_rate,p98_hit_rate,p99_hit_rate,p95_avg_width,p97_avg_width,p98_avg_width,p99_avg_width,avg_midpoint_error,median_midpoint_error
baseline,1DTE,30,100.0,100.0,100.0,100.0,5.395886794742378,6.275588509681972,6.71359406802083,8.832784068356514,0.8693485159723857,0.8107208123283508
baseline,2DTE,30,100.0,100.0,100.0,100.0,7.447092546517797,9.06917423675495,9.803815002636394,12.52351879040127,1.117099164249892,0.9910195361852079
baseline,3DTE,30,100.0,100.0,100.0,100.0,9.650305123295123,11.811717422136557,13.911607509287453,18.813584407861107,1.309921858080017,1.2232737280154704
baseline,5DTE,30,100.0,100.0,100.0,100.0,11.779306051111137,13.900271853131184,15.891431111339106,18.507167428939535,1.4811549828793074,1.2466496774311806
baseline,7DTE,30,100.0,100.0,100.0,100.0,14.1787969233577,15.59412287842582,18.10809822494721,20.070307438562182,1.3414630819787767,1.1185320149529834
baseline,10DTE,30,100.0,100.0,100.0,100.0,16.219918806312176,17.61565652362874,19.718452461763114,23.135078979723364,1.0698479286084455,1.020644148945117
baseline,1-3DTE,90,100.0,100.0,100.0,100.0,7.4977614881850965,9.05216005619116,10.143005526648226,13.389962422206297,1.0987898461007648,0.9910195361852079
baseline,4-7DTE,120,100.0,100.0,100.0,100.0,12.632962752587472,13.993596419012393,16.318667351944146,19.092806598172803,1.4416010233197056,1.1794172762425694
baseline,8-14DTE,210,100.0,100.0,100.0,100.0,17.559275406618767,19.149438424144137,21.249679139791876,23.741493417780536,1.1533590997828242,0.9334876647189911
baseline,15-20DTE,180,100.0,100.0,100.0,100.0,23.888627277530688,26.48304075921017,27.88439337921998,29.390775892747556,2.5164778223460136,2.3887421977169208
conditional,1DTE,30,100.0,100.0,100.0,100.0,3.471641303558916,3.8119479638422638,4.440224961967192,5.213799356280787,0.7522343166792911,0.6805841345821676
conditional,2DTE,30,96.66666666666667,96.66666666666667,96.66666666666667,96.66666666666667,4.40590365656143,5.130307128587204,5.547911043757019,6.117879785236111,1.0973635575278764,1.1446680005630037
conditional,3DTE,30,96.66666666666667,96.66666666666667,96.66666666666667,96.66666666666667,5.519623653395195,6.119613394514946,6.659464056353529,7.918346156104485,1.315302411569815,1.3045735235572824
conditional,5DTE,30,90.0,93.33333333333333,96.66666666666667,100.0,6.833364606837119,7.761573632139399,8.582099958665326,9.877945975912253,1.677831072719685,1.3350946597749929
conditional,7DTE,30,100.0,100.0,100.0,100.0,8.501495659911262,9.986334916412506,11.264147315605493,13.742388959722184,2.1299924393285683,1.9178148379580648
conditional,10DTE,30,100.0,100.0,100.0,100.0,10.014869839748481,11.829093497719738,12.97340717234471,14.912062591213312,2.2432006419657613,2.291881218102514
conditional,1-3DTE,90,97.77777777777777,97.77777777777777,97.77777777777777,97.77777777777777,4.465722871171847,5.020622828981472,5.549200020692579,6.416675099207127,1.054966761925661,0.9205072396122082
conditional,4-7DTE,120,93.33333333333333,95.83333333333334,97.5,100.0,7.348399680460654,8.48514799711081,9.321816514216437,10.889316707520232,1.8367404874035276,1.5292831509406821
conditional,8-14DTE,210,100.0,100.0,100.0,100.0,10.565193806681481,12.447821344575104,13.73182811379681,15.67716316255974,2.3594150568194983,2.321778640268898
conditional,15-20DTE,180,100.0,100.0,100.0,100.0,14.296353025811529,15.650329626663508,16.29745356443725,17.02632211904344,2.703628228734963,2.695518319386682
ensemble,1DTE,30,100.0,100.0,100.0,100.0,9.234158864554184,10.157443678564281,10.80922487260824,11.976432741152552,0.8440126386026864,0.6144895992918374
ensemble,2DTE,30,100.0,100.0,100.0,100.0,10.171552503350473,11.222212867263853,11.970900819875732,13.187865221459356,1.2380113875359062,0.9831819418160589
ensemble,3DTE,30,100.0,100.0,100.0,100.0,11.064945083103527,12.214284008973864,13.131120268960371,14.416542847523772,1.7724204683200389,1.4568175820691083
ensemble,5DTE,30,100.0,100.0,100.0,100.0,12.65605755998958,13.91143607306335,14.815908213313897,16.314108860940063,1.8264112238071948,1.3092084534117556
ensemble,7DTE,30,100.0,100.0,100.0,100.0,15.298230135741418,16.969935449930674,18.02097121155958,20.157896754690373,1.818240675013232,1.6819678317946387
ensemble,10DTE,30,100.0,100.0,100.0,100.0,14.890466108726637,16.478753140501087,17.656105723146364,19.352246487307696,1.5918230339637083,1.2916955702752198
ensemble,1-3DTE,90,100.0,100.0,100.0,100.0,10.156885483669395,11.197980184934,11.970415320481447,13.193613603378559,1.2848148314862107,1.1091013573454078
ensemble,4-7DTE,120,99.16666666666667,99.16666666666667,100.0,100.0,13.435583109075255,14.818862264286638,15.79198702787338,17.485357965004553,1.8347912853708739,1.4631322129892466
ensemble,8-14DTE,210,100.0,100.0,100.0,100.0,15.597232789499001,17.227134118659592,18.386016358189668,20.24681877054386,1.7901578593043614,1.4880060418357512
ensemble,15-20DTE,180,100.0,100.0,100.0,100.0,14.743716291586813,16.33904333965382,17.468386859793295,19.205098835242538,2.4200104694652262,2.345474504514608
ensemble_combined,1DTE,30,100.0,100.0,100.0,100.0,9.234158864554184,10.157443678564281,10.80922487260824,11.976432741152552,0.8440126386026864,0.6144895992918374
ensemble_combined,2DTE,30,100.0,100.0,100.0,100.0,10.171552503350473,11.222212867263853,11.970900819875732,13.187865221459356,1.2380113875359062,0.9831819418160589
ensemble_combined,3DTE,30,100.0,100.0,100.0,100.0,11.064945083103527,12.214284008973864,13.131120268960371,14.416542847523772,1.7724204683200389,1.4568175820691083
ensemble_combined,5DTE,30,100.0,100.0,100.0,100.0,12.65605755998958,13.91143607306335,14.815908213313897,16.314108860940063,1.8264112238071948,1.3092084534117556
ensemble_combined,7DTE,30,100.0,100.0,100.0,100.0,15.298230135741418,16.969935449930674,18.02097121155958,20.157896754690373,1.8158484421402021,1.6819678317946387
ensemble_combined,10DTE,30,100.0,100.0,100.0,100.0,14.890466108726637,16.478753140501087,17.656105723146364,19.358024168182585,1.4979593064675605,1.1055171946583866
ensemble_combined,1-3DTE,90,100.0,100.0,100.0,100.0,10.156885483669395,11.197980184934,11.970415320481447,13.193613603378559,1.2848148314862107,1.1091013573454078
ensemble_combined,4-7DTE,120,99.16666666666667,99.16666666666667,100.0,100.0,13.435583109075255,14.818862264286638,15.79198702787338,17.485357965004553,1.8341723391678901,1.4631322129892466
ensemble_combined,8-14DTE,210,100.0,100.0,100.0,100.0,15.597232789499001,17.227134118659592,18.407975939787022,20.253452789969785,1.6209413502732364,1.3015754311977077
ensemble_combined,15-20DTE,180,100.0,100.0,100.0,100.0,15.239662762473491,16.521601206649365,17.54384576089574,19.221978549806874,1.724721720080787,1.3638906297220676
