method,dte_bucket,n_samples,p95_hit_rate,p97_hit_rate,p98_hit_rate,p99_hit_rate,p95_avg_width,p97_avg_width,p98_avg_width,p99_avg_width,avg_midpoint_error,median_midpoint_error
baseline,1DTE,180,97.22222222222221,99.44444444444444,100.0,100.0,5.440058296266548,7.324302184386221,8.473449012605727,10.938252205003208,1.1118018150120383,0.9467951556176859
baseline,2DTE,180,97.22222222222221,99.44444444444444,100.0,100.0,8.520729884408762,9.885942403795257,10.804310146673025,12.236611616099566,1.2633097731638745,1.0501600795461612
baseline,3DTE,180,99.44444444444444,99.44444444444444,99.44444444444444,100.0,10.503352523688868,12.980707075138687,14.876750668076976,17.02602478772028,1.508991568216821,1.2706699028667003
baseline,5DTE,180,99.44444444444444,99.44444444444444,100.0,100.0,13.594526472441025,16.13981896995227,18.290083951762195,19.111100734741463,1.9658461820739401,1.8540546180677828
baseline,7DTE,180,99.44444444444444,100.0,100.0,100.0,15.737251260258967,17.67603122719311,19.70642158119941,21.045857878008665,2.783578185307804,2.5230249781268155
baseline,10DTE,180,99.44444444444444,99.44444444444444,99.44444444444444,99.44444444444444,17.00869125959591,19.827382353594512,20.882220293775667,23.356597838766827,3.1691071504814627,2.7275121133978546
baseline,1-3DTE,540,97.96296296296296,99.44444444444444,99.81481481481481,100.0,8.154713568121393,10.063650554440054,11.384836609118576,13.40029620294102,1.2947010521309112,1.0997762076440394
baseline,4-7DTE,720,99.44444444444444,99.72222222222223,100.0,100.0,14.045485501532939,16.677056366495606,18.584841634552603,20.012131854261302,2.256497981642578,1.913194669691337
baseline,8-14DTE,1260,98.80952380952381,99.44444444444444,99.44444444444444,99.60317460317461,17.91023403514354,20.165487740417046,21.55061451071374,22.989586033011257,3.438707880885746,3.048227126285166
baseline,15-20DTE,1080,99.72222222222223,100.0,100.0,100.0,22.261167882485772,23.350292046953918,24.270175672425122,25.609418636439802,3.2701124928692495,2.8780546011792616
conditional,1DTE,180,97.77777777777777,98.88888888888889,100.0,100.0,5.5031459837954095,6.942889747972707,8.899789450814016,11.937930969298446,0.979171740852231,0.8252483850070564
conditional,2DTE,180,98.88888888888889,99.44444444444444,100.0,100.0,8.655409588313404,10.06230744259083,12.175832028553012,17.06588216841542,1.2768863442581568,1.031736508098208
conditional,3DTE,180,100.0,100.0,100.0,100.0,10.253822361333055,13.869554009855303,16.776486036768155,19.154319393273873,1.5623227865387699,1.2612663074149668
conditional,5DTE,180,100.0,100.0,100.0,100.0,12.843877331879069,16.004017496520554,18.409378506916436,21.29953428127754,1.9337539154703935,1.8282603065281848
conditional,7DTE,180,100.0,100.0,100.0,100.0,16.777860856483883,19.65414659383529,20.094889729759124,20.983309087991408,3.323335132787396,3.1260943442491733
conditional,10DTE,180,99.44444444444444,100.0,100.0,100.0,18.89960812099523,21.99387461753878,23.40347040693395,24.518108047518187,4.113730813349895,3.99867334686512
conditional,1-3DTE,540,98.88888888888889,99.44444444444444,100.0,100.0,8.137459311147289,10.291583733472947,12.61736917204506,16.05271084366258,1.2727936238830526,1.019478809555345
conditional,4-7DTE,720,100.0,100.0,100.0,100.0,14.127486177444874,17.189529918098792,18.962515658846424,21.255146931706655,2.439905169865339,2.1139463766619295
conditional,8-14DTE,1260,99.52380952380952,99.76190476190476,99.76190476190476,99.92063492063492,19.278265624840763,20.974542068104814,22.155697668692593,24.31893109508754,4.027926284291333,3.8100711215365584
conditional,15-20DTE,1080,99.25925925925925,100.0,100.0,100.0,19.96155278802101,21.432284889836396,22.337311610839635,23.428492305829565,4.286335969495399,4.237425037514109
