method,dte_bucket,n_samples,p95_hit_rate,p97_hit_rate,p98_hit_rate,p99_hit_rate,p95_avg_width,p97_avg_width,p98_avg_width,p99_avg_width,avg_midpoint_error,median_midpoint_error
baseline,1DTE,180,98.33333333333333,99.44444444444444,99.44444444444444,99.44444444444444,5.6706672282169075,6.44818197086362,6.905981573082086,8.16082138031483,0.9091887984573851,0.8080770967512969
baseline,2DTE,180,98.88888888888889,99.44444444444444,99.44444444444444,100.0,7.951745465271711,9.214344045795562,10.07157549310821,12.530742992492701,1.0368205934519859,0.881595208746135
baseline,3DTE,180,98.33333333333333,99.44444444444444,100.0,100.0,9.955126449009501,12.1409471847439,14.780277704863753,18.813584407861104,1.3467742778536271,1.1403335397407999
baseline,5DTE,180,98.88888888888889,99.44444444444444,100.0,100.0,12.43326226698955,14.290409736023523,16.306363278481896,18.507167428939542,1.6205409674898046,1.3170793123599278
baseline,7DTE,180,99.44444444444444,100.0,100.0,100.0,14.762163117654458,15.880906366594749,18.31058391148441,20.773341543183562,1.8150614283406166,1.518787375168191
baseline,10DTE,180,100.0,100.0,100.0,100.0,17.24175832998133,18.860117741560153,21.131806136557444,24.043389344981563,1.9134996495435936,1.5387852389423178
baseline,1-3DTE,540,98.51851851851852,99.44444444444444,99.62962962962963,99.81481481481481,7.8591797141660376,9.267824400467696,10.585944923684682,13.168382926889546,1.097594556587666,0.9156798201843903
baseline,4-7DTE,720,98.88888888888889,99.58333333333333,100.0,100.0,12.902330018103582,14.399862510595014,16.542524979517157,19.466302175328664,1.6269514059341577,1.3262793263767905
baseline,8-14DTE,1260,99.92063492063492,100.0,100.0,100.0,18.236478959677953,19.952379672470528,22.018684963174156,24.18206948353206,2.0559133375504115,1.7017613462061902
baseline,15-20DTE,1080,100.0,100.0,100.0,100.0,24.522899120529818,27.06424904536843,28.350172371350546,29.762113718303798,2.142097433316377,1.8623532820357251
conditional,1DTE,180,97.77777777777777,98.33333333333333,98.33333333333333,98.88888888888889,4.2726557845283955,4.943194453095675,5.393906371640363,6.0898870656393305,0.9333275470178661,0.8204305046319511
conditional,2DTE,180,97.77777777777777,98.33333333333333,98.88888888888889,98.88888888888889,5.739900245254707,6.323947013478136,6.756238705052182,7.659111689891713,1.2902754795879294,1.191017608681892
conditional,3DTE,180,97.22222222222221,97.77777777777777,98.88888888888889,99.44444444444444,6.627957894855789,7.638859177146502,8.774384327449146,10.15299822192763,1.6095871790904703,1.4405493856390295
conditional,5DTE,180,97.22222222222221,98.33333333333333,98.33333333333333,98.33333333333333,8.486628181998844,9.154460097253084,10.02690538419295,11.251394831999475,1.9582650788666525,1.7374709739661212
conditional,7DTE,180,97.77777777777777,98.88888888888889,98.88888888888889,99.44444444444444,10.245594597727804,11.755573446515509,13.030355170337003,14.528060422446798,2.867085819149135,2.840663896831419
conditional,10DTE,180,96.66666666666667,99.44444444444444,100.0,100.0,12.322402008615649,13.682530662474361,15.310908359081688,17.588540877887706,3.400435625119228,3.410404922244301
conditional,1-3DTE,540,97.5925925925926,98.14814814814815,98.70370370370371,99.07407407407408,5.54683797487963,6.302000214573439,6.974843134713897,7.967332325819557,1.277730068565422,1.1271808649098665
conditional,4-7DTE,720,97.22222222222221,98.75,98.88888888888889,99.02777777777779,8.957750247888296,10.030564102029846,10.978008138048754,12.241730500338683,2.2113991768905823,1.96446787739311
conditional,8-14DTE,1260,96.9047619047619,98.4920634920635,99.04761904761905,99.36507936507937,12.860640958874175,14.538998903522481,15.857603532315157,17.426858777765727,3.538172294216153,3.4575582075689315
conditional,15-20DTE,1080,95.27777777777777,97.4074074074074,98.51851851851852,98.70370370370371,15.85076025901846,17.203625286994928,17.9106797176862,18.73511721635299,4.3170646640974475,4.249908994233302
ensemble,1DTE,180,100.0,100.0,100.0,100.0,12.972136556081571,14.322825110270317,15.292275673723266,16.800981451426,0.8213367304603808,0.6842686374970277
ensemble,2DTE,180,100.0,100.0,100.0,100.0,15.805418232498065,17.439595625935922,18.675472367093366,20.541395045373772,1.1112459359858937,0.9688116514034206
ensemble,3DTE,180,100.0,100.0,100.0,100.0,19.26421832634809,21.31119668615357,22.79550981832504,25.0609766138119,1.4126758969368032,1.2379941807045194
ensemble,5DTE,180,100.0,100.0,100.0,100.0,23.20159419331111,25.617773307875247,27.339610105441878,30.08482511212647,1.8008421446710359,1.38262623661636
ensemble,7DTE,180,100.0,100.0,100.0,100.0,25.720591238264532,28.44011145336426,30.431989017754596,33.54159044545666,1.954864769075256,1.6686754707693119
ensemble,10DTE,180,100.0,100.0,100.0,100.0,28.535875914881142,31.57321456748181,33.80030709796493,37.1162853033151,2.3251271196749452,2.0958289295570065
ensemble,1-3DTE,540,100.0,100.0,100.0,100.0,16.01392437164257,17.691205807453272,18.921085953047225,20.801117703537226,1.1150861877943592,0.9457374563201699
ensemble,4-7DTE,720,100.0,100.0,100.0,100.0,23.428222564211126,25.907877834063665,27.71564481876477,30.504702414873933,1.809222610784404,1.4773778382199259
ensemble,8-14DTE,1260,100.0,100.0,100.0,100.0,28.277947270870094,31.26548923401195,33.43837245482674,36.75440904834764,2.3928616290325793,2.2467271365693664
