method,dte_bucket,n_samples,p95_hit_rate,p97_hit_rate,p98_hit_rate,p99_hit_rate,p95_avg_width,p97_avg_width,p98_avg_width,p99_avg_width,avg_midpoint_error,median_midpoint_error
baseline,1DTE,90,97.77777777777777,100.0,100.0,100.0,5.398656698783644,6.31337177251543,6.767329692542146,8.832784068356514,0.9564669667211648,0.9330654992738001
baseline,2DTE,90,98.88888888888889,100.0,100.0,100.0,7.544456431105319,9.06917423675495,9.803815002636394,12.523518790401269,1.1200247463637603,0.9843458007326642
baseline,3DTE,90,100.0,100.0,100.0,100.0,10.017979313229517,11.811717422136558,13.911607509287453,18.813584407861104,1.2910513150215381,1.1023127794540757
baseline,5DTE,90,100.0,100.0,100.0,100.0,11.779306051111138,13.900271853131185,15.891431111339108,18.507167428939542,1.6217153125944492,1.3665095780203007
baseline,7DTE,90,100.0,100.0,100.0,100.0,14.178796923357691,15.594122878425823,18.108098224947213,20.070307438562185,1.8628506535841116,1.6900453339241903
baseline,10DTE,90,100.0,100.0,100.0,100.0,16.21991880631217,17.61565652362874,19.71845246176311,23.135078979723357,1.941640847872686,1.5315480389577347
baseline,1-3DTE,270,98.88888888888889,100.0,100.0,100.0,7.653697481039493,9.064754477135645,10.160917401488664,13.389962422206295,1.1225143427021544,0.9627937318513058
baseline,4-7DTE,360,100.0,100.0,100.0,100.0,12.65195376252047,13.99359641901239,16.318667351944143,19.092806598172807,1.6919047037426156,1.3970512478890784
baseline,8-14DTE,630,100.0,100.0,100.0,100.0,17.559275406618767,19.14943842414414,21.24967913979188,23.741493417780532,1.9722244764425911,1.4825163820609357
baseline,15-20DTE,540,100.0,100.0,100.0,100.0,23.888627277530688,26.48304075921017,27.884393379219976,29.390775892747552,2.2374332731001765,1.8420445127121172
conditional,1DTE,90,88.88888888888889,94.44444444444444,97.77777777777777,98.88888888888889,3.7115497037982057,4.533772072055739,5.168528138880903,6.2895950796820985,0.9496932025747857,0.8292256883345218
conditional,2DTE,90,91.11111111111111,92.22222222222223,93.33333333333333,95.55555555555556,4.773196422043299,5.594244047196742,6.163632254745234,7.125240818185262,1.1892452696074245,1.0701571998655706
conditional,3DTE,90,87.77777777777777,92.22222222222223,97.77777777777777,98.88888888888889,5.762085023431669,6.857048237280794,7.8916068399534005,9.582349562563806,1.4104534159886268,1.3004745737338839
conditional,5DTE,90,88.88888888888889,93.33333333333333,96.66666666666667,98.88888888888889,7.233587049863109,8.470734714888039,9.650858847518743,11.488281192892497,1.6595197235245867,1.228545777288183
conditional,7DTE,90,92.22222222222223,98.88888888888889,98.88888888888889,100.0,9.296146860263915,12.222146279175947,13.485138587318142,14.910181931801203,2.041019495064044,1.7439995550466656
conditional,10DTE,90,96.66666666666667,98.88888888888889,98.88888888888889,100.0,10.609584093058446,13.789254831523467,15.557152807452447,16.95904801333754,2.3334302504644704,1.7295867732034313
conditional,1-3DTE,270,89.25925925925927,92.96296296296296,96.29629629629629,97.77777777777777,4.748943716424391,5.661688118844426,6.407922411193179,7.665728486810389,1.183130629390279,1.0328493714352298
conditional,4-7DTE,360,89.16666666666667,94.16666666666667,96.11111111111111,98.61111111111111,7.836397370745322,9.742936976979585,10.903703872375491,12.50235357763468,1.8229144127030654,1.5483762065536837
conditional,8-14DTE,630,95.07936507936508,98.73015873015873,99.52380952380952,99.84126984126985,11.20130283518,14.141234203537111,16.270033732647484,18.68992919187824,2.353636106671096,1.618464353243392
conditional,15-20DTE,540,96.29629629629629,97.5925925925926,98.70370370370371,99.44444444444444,14.611995017960764,17.10093260034795,19.33143542660735,21.508630677034247,2.549689086951903,2.291262946725066
ensemble,1DTE,90,100.0,100.0,100.0,100.0,8.325098979620545,9.202416569299613,9.868708717926378,10.880481276066565,0.9182685286507392,0.7757391877480255
ensemble,2DTE,90,100.0,100.0,100.0,100.0,8.56486219303068,9.491513135865748,10.137722505551315,11.139820281836883,1.2839485647707685,1.045122985512016
ensemble,3DTE,90,97.77777777777777,98.88888888888889,98.88888888888889,98.88888888888889,8.880366908788211,9.824187079821908,10.519741866509822,11.577468328964766,1.6571074954574618,1.1465229305188227
ensemble,5DTE,90,93.33333333333333,94.44444444444444,97.77777777777777,100.0,9.172654588107704,10.088374217847871,10.821829062820203,11.91702443401324,2.0082535057290496,1.7347913217014614
ensemble,7DTE,90,90.0,93.33333333333333,95.55555555555556,96.66666666666667,9.487817243444558,10.53263541366738,11.2405084708379,12.231548910528788,2.1771108424888084,1.672205476738932
ensemble,10DTE,90,86.66666666666667,91.11111111111111,92.22222222222223,93.33333333333333,9.572370501078588,10.558699210975655,11.275673162468026,12.387955643766862,2.339924338182416,1.8095388861003883
ensemble,1-3DTE,270,99.25925925925925,99.62962962962963,99.62962962962963,99.62962962962963,8.590109360479811,9.50603892832909,10.175391029995838,11.19925662895607,1.286441529626323,0.9366895770812667
ensemble,4-7DTE,360,93.88888888888889,95.27777777777777,96.94444444444444,98.61111111111111,9.283354380738176,10.254575339399398,10.971951133746089,12.056215937058182,2.0520055012750964,1.7196884982145173
ensemble,8-14DTE,630,87.14285714285714,90.31746031746032,92.38095238095238,94.12698412698413,9.457048491919524,10.446796160816696,11.16939505050918,12.303750575498613,2.3814338967905964,1.9617661031974747
ensemble,15-20DTE,540,91.2962962962963,94.25925925925925,95.74074074074073,97.5925925925926,10.0413204989959,11.081026589337123,11.864303058444248,13.075423993154319,2.421253149449829,2.0611617684456616
ensemble_combined,1DTE,90,100.0,100.0,100.0,100.0,8.325098979620545,9.202416569299613,9.868708717926378,10.880481276066565,0.9012921735050041,0.7591950115091938
ensemble_combined,2DTE,90,100.0,100.0,100.0,100.0,8.588305576048677,9.519685044581067,10.183974733778403,11.222515637131075,1.248084737798298,0.9902895844945017
ensemble_combined,3DTE,90,97.77777777777777,100.0,100.0,100.0,8.977952211332406,10.04007565945905,10.947916719694858,12.611264230864345,1.5963399968931036,1.1885954071136013
ensemble_combined,5DTE,90,96.66666666666667,97.77777777777777,100.0,100.0,9.704610723985715,10.884243549182889,11.872054628724479,13.532550968853087,1.9346977770256741,1.552431037400119
ensemble_combined,7DTE,90,96.66666666666667,98.88888888888889,98.88888888888889,100.0,10.721212569829907,12.999976879490186,14.24222753207688,15.58888847797242,2.1462708926005916,1.7178743252932027
ensemble_combined,10DTE,90,96.66666666666667,98.88888888888889,98.88888888888889,100.0,11.793937762408436,14.475780935037477,16.185779930258622,17.671729254451943,2.4503232751095503,1.9036798618839061
ensemble_combined,1-3DTE,270,99.25925925925925,100.0,100.0,100.0,8.630452255667208,9.587392424446579,10.333533390466545,11.571420381353994,1.2485723027321352,0.8928203134217534
ensemble_combined,4-7DTE,360,97.5,98.33333333333333,99.44444444444444,100.0,10.035211673892519,11.616807688543298,12.70044834479292,14.238411053120236,2.0160127050769443,1.683846826926285
ensemble_combined,8-14DTE,630,96.19047619047619,99.20634920634922,99.52380952380952,99.84126984126985,12.162155229850182,14.702470628207022,16.717547384459376,19.092883581203964,2.4351771442993506,1.828734098365019
ensemble_combined,15-20DTE,540,98.70370370370371,99.25925925925925,100.0,100.0,14.928004750658783,17.313605096103487,19.521813830584566,21.707557158736275,2.35459901552324,1.9267256027679895
