method,dte_bucket,n_samples,p95_hit_rate,p97_hit_rate,p98_hit_rate,p99_hit_rate,p95_avg_width,p97_avg_width,p98_avg_width,p99_avg_width,avg_midpoint_error,median_midpoint_error
baseline,1DTE,180,98.33333333333333,99.44444444444444,99.44444444444444,99.44444444444444,5.528323800223929,6.383616437283171,6.853882832566504,8.74288217496781,0.9061594900134381,0.7853637774758784
baseline,2DTE,180,98.33333333333333,99.44444444444444,99.44444444444444,100.0,7.817218898385891,9.314897312073564,10.054673114792589,12.570543353412333,1.0015093919574594,0.7660612090484117
baseline,3DTE,180,98.33333333333333,99.44444444444444,100.0,100.0,10.1006971663484,12.11581799798909,14.345942607075603,18.813584407861104,1.2698693886661239,0.9918773897229047
baseline,5DTE,180,98.33333333333333,98.88888888888889,100.0,100.0,12.052581071420132,14.123751256733517,16.0988971949105,18.507167428939542,1.6187676170101086,1.3007466735733488
baseline,7DTE,180,98.88888888888889,100.0,100.0,100.0,14.500259274249103,15.717337239087161,18.20934106821581,20.421824490872876,1.8735511897251245,1.5357288365994828
baseline,10DTE,180,100.0,100.0,100.0,100.0,16.662135462912143,18.19515960184958,20.37678895061216,23.589234162352458,1.9951092511500936,1.5779547678614416
baseline,1-3DTE,540,98.33333333333333,99.44444444444444,99.62962962962963,99.81481481481481,7.815413288319407,9.27144391578194,10.418166184811565,13.37566997874708,1.0591794235456737,0.8638396913767656
baseline,4-7DTE,720,98.19444444444444,99.16666666666667,100.0,100.0,12.848950030432805,14.191094984467089,16.443568437600785,19.279554386750736,1.6560743713319208,1.2749927348313876
baseline,8-14DTE,1260,99.76190476190476,99.92063492063492,100.0,100.0,17.870130300768736,19.512302443709782,21.613416142277163,23.961781450656296,2.132180445553754,1.7721025050250112
baseline,15-20DTE,1080,100.0,100.0,100.0,100.0,24.100051225197063,26.676776854596255,28.039653043263502,29.514555167932972,2.215925822056998,1.92962613891451
conditional,1DTE,180,96.11111111111111,97.22222222222221,97.77777777777777,98.33333333333333,3.853020888150691,4.424544921237625,4.910944343394293,5.7378833931188185,0.8802596018638609,0.795697384904337
conditional,2DTE,180,96.66666666666667,97.22222222222221,97.22222222222221,97.77777777777777,5.140523852935584,5.801564138183275,6.289709092122828,7.013570425116116,1.199599870367373,1.1421825112024049
conditional,3DTE,180,95.0,96.11111111111111,96.66666666666667,97.22222222222221,6.166392240997505,6.9855787962009215,7.820815603642657,9.33186990353716,1.481846879634623,1.331366487152724
conditional,5DTE,180,93.88888888888889,97.22222222222221,97.77777777777777,98.33333333333333,7.788316778780257,8.713349166727559,9.491927609658504,10.628014896627288,1.922007435726021,1.7044186228124092
conditional,7DTE,180,95.0,97.77777777777777,98.88888888888889,99.44444444444444,9.119252683994537,10.842749952895742,12.288405345737596,13.918540736180502,2.673403952425969,2.6650017288892336
conditional,10DTE,180,95.0,97.22222222222221,97.77777777777777,98.33333333333333,10.903648771467283,12.611163198689109,13.94523029815432,16.25689336235661,3.1891392238388323,3.130687948761129
conditional,1-3DTE,540,95.92592592592592,96.85185185185186,97.22222222222221,97.77777777777777,5.053312327361261,5.737229285207273,6.340489679719926,7.361107907257365,1.1872354506219522,1.0747857917055903
conditional,4-7DTE,720,94.44444444444444,96.94444444444444,98.05555555555556,98.88888888888889,8.102225559968,9.365735961068426,10.313700705796599,11.614562969977861,2.149942414642689,1.8704941096854215
conditional,8-14DTE,1260,95.55555555555556,97.61904761904762,98.17460317460316,98.80952380952381,11.402256824178883,13.264696708316533,14.618104005718621,16.2927165997923,3.3788775503934123,3.319560661475651
conditional,15-20DTE,1080,95.64814814814815,97.31481481481481,98.14814814814815,98.79629629629629,15.30186343477212,16.695119396019113,17.39189372778367,18.27862324421846,4.3895647018200705,4.323615498856217
ensemble,1DTE,180,100.0,100.0,100.0,100.0,9.93281389468933,10.991745738185017,11.76113078495207,12.946542282363179,0.7890813245445363,0.5345430274300693
ensemble,2DTE,180,100.0,100.0,100.0,100.0,10.99048674468237,12.120376981203341,12.956664996345108,14.30835308882383,1.0914568300277847,0.8778931505296848
ensemble,3DTE,180,100.0,100.0,100.0,100.0,12.795134757757468,14.166519475748174,15.15959658955639,16.727596322914035,1.3739132016848925,1.1117640277313572
ensemble,5DTE,180,99.44444444444444,99.44444444444444,100.0,100.0,14.63433501412201,16.13198477260789,17.227548932980735,18.998680230731182,1.6547286773539804,1.2847039933631597
ensemble,7DTE,180,96.66666666666667,98.88888888888889,99.44444444444444,100.0,16.240015547351298,17.973452431060316,19.259914145335525,21.092643477415,2.1187396052659295,1.7700261248045832
ensemble,10DTE,180,96.66666666666667,97.22222222222221,97.77777777777777,98.88888888888889,17.67746575615034,19.58710490123343,20.961780448789906,23.170416322591528,2.514372990088104,1.8265955280811708
ensemble,1-3DTE,540,100.0,100.0,100.0,100.0,11.239478465709723,12.426214065045512,13.292464123617854,14.66083056470035,1.0848171187524045,0.8242987813768923
ensemble,4-7DTE,720,98.33333333333333,99.30555555555556,99.72222222222223,100.0,14.943108891895092,16.48621184233281,17.633408905181092,19.422778892509992,1.760163886598191,1.457985397658407
ensemble,8-14DTE,1260,96.11111111111111,97.53968253968253,98.01587301587301,98.65079365079366,18.332336911198254,20.273788994111822,21.677358250328354,23.893717968117965,2.53935022670395,2.09435531890213
ensemble,15-20DTE,1080,98.14814814814815,99.25925925925925,99.44444444444444,99.62962962962963,19.46322084258518,21.489174714590902,22.975015349304094,25.332689964013458,3.2073577164514053,2.875085277995554
ensemble_combined,1DTE,180,100.0,100.0,100.0,100.0,9.93281389468933,10.991745738185017,11.76113078495207,13.020755441632884,0.7960508684262714,0.5641179286153959
ensemble_combined,2DTE,180,100.0,100.0,100.0,100.0,11.001119447553044,12.168353968725938,13.043546675411928,14.401582108319852,1.1044034962756402,0.9542765786456244
ensemble_combined,3DTE,180,100.0,100.0,100.0,100.0,12.950339129892303,14.359021590716232,15.381544561962084,17.10312849676349,1.3907090452887285,1.1178101967060123
ensemble_combined,5DTE,180,100.0,100.0,100.0,100.0,14.836553924402264,16.394429577038064,17.508832086490024,19.330269403579557,1.6787465991935593,1.3468682949157753
ensemble_combined,7DTE,180,98.33333333333333,100.0,100.0,100.0,16.377638873045502,18.124370153920317,19.59307849573386,21.55813242018172,2.147471515884003,1.8291499870738588
ensemble_combined,10DTE,180,100.0,100.0,100.0,100.0,17.99337852385117,20.006106878680953,21.508471708905,24.078789250847567,2.5801778651314513,2.280153134778386
ensemble_combined,1-3DTE,540,100.0,100.0,100.0,100.0,11.294757490711557,12.50637376587573,13.39540734077536,14.841822015572076,1.09705446999688,0.8431750056017834
