config,dte,percentile,spread_width,flow_mode,days_processed,days_with_spreads,total_spreads,avg_credit,avg_max_loss,avg_roi
DTE0_p95_w15_neutral,0,95,15,neutral,29,6,3293,6.084819313695718,8.915180686304282,345.4275152721818
DTE0_p95_w15_with_flow,0,95,15,with_flow,29,29,1292876,3.4878957533437083,1713.4306907158928,1.2297603669314165
DTE0_p95_w20_neutral,0,95,20,neutral,29,27,104802,8.362055018034008,11.637944981965992,13428893375975.635
DTE0_p95_w20_with_flow,0,95,20,with_flow,29,29,1892926,4.242357878754901,2074.952605601064,743491760158.3848
DTE0_p95_w25_neutral,0,95,25,neutral,29,6,3697,9.200811468758452,15.799188531241548,286.74092120319415
DTE0_p95_w25_with_flow,0,95,25,with_flow,29,29,2393088,4.356140518025247,2755.6592944346385,0.7285434840874642
DTE0_p95_w30_neutral,0,95,30,neutral,29,27,146703,12.212774789881598,17.7872252101184,17268050349634.496
DTE0_p95_w30_with_flow,0,95,30,with_flow,29,29,3050627,5.120538685981603,3057.0532393176877,830411187747.0466
DTE0_p95_w50_neutral,0,95,50,neutral,29,27,241155,18.92277842051792,31.07722157948208,13130946851862.238
DTE0_p95_w50_with_flow,0,95,50,with_flow,29,29,5313057,6.543918450338478,4925.113643119206,596002167502.0481
DTE0_p96_w15_neutral,0,96,15,neutral,29,6,2106,5.27783950617284,9.72216049382716,220.44132109919755
DTE0_p96_w15_with_flow,0,96,15,with_flow,29,29,1167354,3.4530949309292636,1719.4416345598677,0.744233671047787
DTE0_p96_w20_neutral,0,96,20,neutral,29,25,72314,8.116418397544043,11.883581602455957,7784798980077.807
DTE0_p96_w20_with_flow,0,96,20,with_flow,29,29,1684312,4.131252719211167,2106.114285429303,334231397416.78314
DTE0_p96_w25_neutral,0,96,25,neutral,29,6,2107,9.38015187470337,15.61984812529663,392.86978745024174
DTE0_p96_w25_with_flow,0,96,25,with_flow,29,29,2161257,4.291605598038549,2767.509391534649,0.6652742356333796
DTE0_p96_w30_neutral,0,96,30,neutral,29,26,101007,12.23958200916768,17.76041799083232,16720126924866.92
DTE0_p96_w30_with_flow,0,96,30,with_flow,29,29,2718833,4.973158241054159,3097.3351796671586,621167192063.922
DTE0_p96_w50_neutral,0,96,50,neutral,29,23,170823,19.49893427700017,30.501065722999833,10298487934842.5
DTE0_p96_w50_with_flow,0,96,50,with_flow,29,29,4722360,6.344952985371721,4973.514134998179,372529541266.35236
DTE0_p97_w15_neutral,0,97,15,neutral,29,6,1624,5.625283251231528,9.37471674876847,270.6693737225914
DTE0_p97_w15_with_flow,0,97,15,with_flow,29,29,1038686,3.299512605349451,1727.9928828731686,0.7536400100339649
DTE0_p97_w20_neutral,0,97,20,neutral,29,25,62941,8.176619532578128,11.823380467421874,346.026476362517
DTE0_p97_w20_with_flow,0,97,20,with_flow,29,29,1489393,3.9390003981487767,2114.045570504226,14.910835096960751
DTE0_p97_w25_neutral,0,97,25,neutral,29,6,1906,9.36025708289612,15.63974291710388,419.8130052169126
DTE0_p97_w25_with_flow,0,97,25,with_flow,29,29,1905805,4.041241622306584,2777.016287264437,0.6863491973547508
DTE0_p97_w30_neutral,0,97,30,neutral,29,25,87798,12.420227226132713,17.579772773867287,19235630199964.668
DTE0_p97_w30_with_flow,0,97,30,with_flow,29,29,2387015,4.69433316087247,3105.6567356677688,707515394874.8014
DTE0_p97_w50_neutral,0,97,50,neutral,29,23,145922,19.689704568193967,30.310295431806033,9644706648761.793
DTE0_p97_w50_with_flow,0,97,50,with_flow,29,29,4098127,5.866334835401636,4980.093473904054,343419050605.65485
DTE0_p98_w15_neutral,0,98,15,neutral,29,6,1226,4.902145187601958,10.097854812398044,270.9901722525623
DTE0_p98_w15_with_flow,0,98,15,with_flow,29,29,908303,3.122682122595654,1738.8197869763721,0.677230449246372
DTE0_p98_w20_neutral,0,98,20,neutral,29,25,55990,8.133741739596356,11.866258260403644,355.20185456789534
DTE0_p98_w20_with_flow,0,98,20,with_flow,29,29,1297387,3.6990759734759173,2124.0207461613227,15.596778665449706
DTE0_p98_w25_neutral,0,98,25,neutral,29,6,1639,8.980298962782184,16.019701037217814,454.7315398765387
DTE0_p98_w25_with_flow,0,98,25,with_flow,29,29,1657717,3.7259855210509394,2797.7089414477864,0.6952290383145583
DTE0_p98_w30_neutral,0,98,30,neutral,29,25,78170,12.322136113598567,17.677863886401433,21604833827472.492
DTE0_p98_w30_with_flow,0,98,30,with_flow,29,29,2066806,4.336403532794079,3117.12687722989,817130325871.8918
DTE0_p98_w50_neutral,0,98,50,neutral,29,23,126457,19.64300355061404,30.35699644938596,11129276225052.176
DTE0_p98_w50_with_flow,0,98,50,with_flow,29,29,3500028,5.305688043067084,4987.106164207829,402103892766.57935
DTE0_p99_w15_neutral,0,99,15,neutral,29,4,374,4.862593582887701,10.137406417112299,637.6093962946902
DTE0_p99_w15_with_flow,0,99,15,with_flow,29,29,415570,2.3728120172293474,1768.6387453136658,0.81002069130272
DTE0_p99_w20_neutral,0,99,20,neutral,29,20,28658,8.17567799567311,11.824322004326891,355.0530448586095
DTE0_p99_w20_with_flow,0,99,20,with_flow,29,29,582097,2.8474419211918285,2127.186670640804,17.6781046895008
DTE0_p99_w25_neutral,0,99,25,neutral,29,5,602,9.113006644518274,15.886993355481726,113.6799638563498
DTE0_p99_w25_with_flow,0,99,25,with_flow,29,29,755676,2.6194146697791116,2891.5167174423955,0.2630944750936988
DTE0_p99_w30_neutral,0,99,30,neutral,29,18,39377,12.180382202808747,17.819617797191253,375.7636491371717
DTE0_p99_w30_with_flow,0,99,30,with_flow,29,29,921923,3.133396031989656,3148.173857350342,16.201595269965058
DTE0_p99_w50_neutral,0,99,50,neutral,29,17,59190,18.985170299036998,31.014829700963,11888620405298.707
DTE0_p99_w50_with_flow,0,99,50,with_flow,29,29,1502606,3.5839402544645766,5021.595133900703,468311348277.45825
DTE0_p100_w15_neutral,0,100,15,neutral,29,2,5,2.1960000000000006,12.803999999999998,17.17060484123615
DTE0_p100_w15_with_flow,0,100,15,with_flow,29,29,122309,1.7045006499930506,1828.2921536436404,0.16751163181573972
DTE0_p100_w20_neutral,0,100,20,neutral,29,12,7925,7.754916088328076,12.245083911671923,236.50956979783413
DTE0_p100_w20_with_flow,0,100,20,with_flow,29,29,171175,2.0708778151015044,2205.728419979553,11.086811694141518
DTE0_p100_w25_neutral,0,100,25,neutral,29,3,156,10.51948717948718,14.480512820512818,117.52813317502584
DTE0_p100_w25_with_flow,0,100,25,with_flow,29,29,246915,1.753150233886155,3158.667776198287,0.1833417281882737
