config,dte,percentile,spread_width,flow_mode,time_window,window_label,days_processed,days_with_spreads,total_opportunities,avg_opportunities_per_day,avg_roi,median_roi,min_roi,max_roi,avg_credit,avg_max_loss,total_profit_potential,consistency_score
DTE1_p95_w50_neutral,1,95,50,neutral,09:30-16:00,Full Day,20,18,259115,14395.277777777777,32588809221564.363,71.11567419575631,15.021854152288919,7.036874417766399e+17,23.126054956293537,26.87394504370646,2996153.8649999998,1295575.0
DTE1_p95_w30_neutral,1,95,30,neutral,09:30-16:00,Full Day,20,17,179010,10530.0,33020359259424.62,92.80205655526991,15.03067484662575,8.444249301319679e+17,15.258374448354843,14.741625551645157,1365700.8050000002,895050.0
DTE1_p95_w20_neutral,1,95,20,neutral,09:30-16:00,Full Day,20,17,128088,7534.588235294118,35160199452380.492,102.63424518743665,15.008625646923509,5.629499534213119e+17,10.558536552994815,9.441463447005185,676210.9149999999,640440.0
DTE1_p96_w50_neutral,1,96,50,neutral,09:30-16:00,Full Day,20,17,219781,12928.29411764706,28815898444753.207,67.50418760469012,15.021854152288919,7.036874417766399e+17,22.627922886873755,27.37207711312625,2486593.7600000002,1098905.0
DTE1_p96_w30_neutral,1,96,30,neutral,09:30-16:00,Full Day,20,16,155136,9696.0,32658761221621.76,88.67924528301886,15.03067484662575,8.444249301319679e+17,15.005964057343236,14.994035942656764,1163982.62,775680.0
DTE1_p97_w30_neutral,1,97,30,neutral,09:30-16:00,Full Day,20,16,148503,9281.4375,34117489753555.816,85.41409147095183,15.03067484662575,8.444249301319679e+17,14.843984296613538,15.156015703386462,1102188.1,742515.0
DTE1_p98_w30_neutral,1,98,30,neutral,09:30-16:00,Full Day,20,16,138868,8679.25,30403870227358.594,83.4862385321101,15.03067484662575,8.444249301319679e+17,14.750160728173515,15.249839271826481,1024162.6599999999,694340.0
DTE1_p95_w100_neutral,1,95,100,neutral,09:30-16:00,Full Day,20,18,368125,20451.38888888889,9557724167134.809,49.947518368571004,15.008625646923504,7.036874417766399e+17,39.778619273344646,60.221380726655354,7321752.109999999,1840625.0000000002
DTE2_p95_w50_neutral,2,95,50,neutral,09:30-16:00,Full Day,17,17,22998,1352.8235294117646,61195533679652.14,66.14055949537874,15.021854152288933,7.036874417766399e+17,22.43749804330811,27.56250195669189,258008.78999999998,135282.35294117648
DTE2_p95_w30_neutral,2,95,30,neutral,09:30-16:00,Full Day,17,14,8657,618.3571428571429,32514147708843.688,99.07100199071002,15.030674846625763,2.814749767106559e+17,15.413905509991913,14.586094490008085,66719.09,50923.529411764706
