config,dte,percentile,spread_width,flow_mode,days_processed,days_with_spreads,total_spreads,avg_credit,avg_max_loss,avg_roi,rank
DTE1_p100_w25_neutral,1,100,25,neutral,29,13,2162,11.214287696577244,13.785712303422756,325479852810951.8,1
DTE1_p99_w25_neutral,1,99,25,neutral,29,13,2788,11.287162840746054,13.712837159253946,252398652000555.2,2
DTE1_p98_w25_neutral,1,98,25,neutral,29,14,4463,11.4157853461797,13.584214653820302,157671396320600.34,3
DTE1_p97_w25_neutral,1,97,25,neutral,29,16,4883,11.474331353676018,13.525668646323984,144109654265618.34,4
DTE1_p96_w25_neutral,1,96,25,neutral,29,17,5625,11.611269333333333,13.388730666666667,125099989649695.9,5
DTE1_p95_w25_neutral,1,95,25,neutral,29,17,6432,11.934376554726368,13.065623445273632,109404142067773.69,6
DTE1_p95_w20_neutral,1,95,20,neutral,29,26,205449,10.272274773788142,9.727725226211858,49321725400026.414,7
DTE1_p97_w20_neutral,1,97,20,neutral,29,26,160306,10.034932566466631,9.965067433533369,35117210424468.957,8
DTE1_p96_w20_neutral,1,96,20,neutral,29,26,176450,10.106798243128363,9.893201756871637,35094641472014.293,9
DTE1_p97_w30_neutral,1,97,30,neutral,29,25,207864,14.236898404726167,15.763101595273833,32499131360679.5,10
DTE1_p98_w30_neutral,1,98,30,neutral,29,25,189615,14.13511394140759,15.86488605859241,31173559639339.113,11
DTE1_p96_w30_neutral,1,96,30,neutral,29,25,226466,14.313404572871864,15.686595427128132,29829640834239.266,12
DTE1_p95_w30_neutral,1,95,30,neutral,29,26,272469,14.659594375873953,15.34040562412605,27892436832576.6,13
DTE1_p98_w20_neutral,1,98,20,neutral,29,26,147892,9.963284626619425,10.036715373380575,26645455291925.992,14
DTE1_p95_w50_neutral,1,95,50,neutral,29,27,366606,22.01223487886178,27.98776512113822,24953046985734.062,15
DTE1_p96_w50_neutral,1,96,50,neutral,29,26,295806,21.535011257378148,28.464988742621852,23788815703136.258,16
DTE0_p98_w30_neutral,0,98,30,neutral,29,25,78170,12.322136113598567,17.677863886401433,21604833827472.492,17
DTE1_p97_w50_neutral,1,97,50,neutral,29,26,268746,21.26475828477447,28.73524171522553,20947286784980.035,18
DTE1_p98_w50_neutral,1,98,50,neutral,29,26,245897,21.13772636510409,28.86227363489591,20032013780281.547,19
DTE0_p97_w30_neutral,0,97,30,neutral,29,25,87798,12.420227226132711,17.579772773867287,19235630199964.668,20
DTE0_p95_w30_neutral,0,95,30,neutral,29,27,146703,12.212774789881598,17.7872252101184,17268050349634.496,21
DTE0_p96_w30_neutral,0,96,30,neutral,29,26,101007,12.23958200916768,17.76041799083232,16720126924866.92,22
DTE1_p99_w50_neutral,1,99,50,neutral,29,23,135260,20.624252328848144,29.375747671151856,15607439933305.336,23
DTE0_p95_w20_neutral,0,95,20,neutral,29,27,104802,8.362055018034008,11.637944981965992,13428893375975.637,24
DTE0_p95_w50_neutral,0,95,50,neutral,29,27,241155,18.92277842051792,31.07722157948208,13130946851862.238,25
DTE0_p99_w50_neutral,0,99,50,neutral,29,17,59190,18.985170299037,31.014829700963,11888620405298.707,26
DTE1_p95_w20_with_flow,1,95,20,with_flow,29,29,875178,5.795869034642096,1648.6711302386486,11578329393232.316,27
DTE0_p98_w50_neutral,0,98,50,neutral,29,23,126457,19.64300355061404,30.35699644938596,11129276225052.176,28
DTE0_p96_w50_neutral,0,96,50,neutral,29,23,170823,19.49893427700017,30.501065722999833,10298487934842.5,29
DTE0_p97_w50_neutral,0,97,50,neutral,29,23,145922,19.689704568193967,30.310295431806033,9644706648761.793,30
DTE1_p97_w20_with_flow,1,97,20,with_flow,29,29,688315,5.634058519718443,1658.9021757480225,8178667520401.425,31
DTE1_p96_w20_with_flow,1,96,20,with_flow,29,29,761071,5.740055540153284,1657.4933606063032,8136493819547.894,32
DTE0_p96_w20_neutral,0,96,20,neutral,29,25,72314,8.116418397544043,11.883581602455957,7784798980077.807,33
DTE1_p98_w20_with_flow,1,98,20,with_flow,29,29,628844,5.516963873393083,1660.2629521948209,6266498009098.731,34
DTE1_p97_w30_with_flow,1,97,30,with_flow,29,29,1128030,7.195417648466796,2618.3734026134057,5988670018666.68,35
DTE1_p98_w30_with_flow,1,98,30,with_flow,29,29,1026964,7.003768233355794,2626.971733546648,5755775773068.522,36
DTE1_p96_w30_with_flow,1,96,30,with_flow,29,29,1244775,7.318366443734812,2617.7778871844307,5427004431457.222,37
DTE1_p95_w30_with_flow,1,95,30,with_flow,29,29,1428103,7.447338609329999,2580.256554310158,5321622019795.275,38
DTE1_p95_w50_with_flow,1,95,50,with_flow,29,29,2467371,10.102287884554046,4393.086003126405,3707564344094.435,39
DTE1_p96_w50_with_flow,1,96,50,with_flow,29,29,2152621,9.8984488769737,4468.477858601212,3268979731166.082,40
DTE1_p100_w25_with_flow,1,100,25,with_flow,29,29,217515,4.213869526239569,3092.526265820748,3235121448071.759,41
DTE1_p97_w50_with_flow,1,97,50,with_flow,29,29,1937588,9.623494096784247,4475.646621608928,2905416184615.4673,42
DTE1_p98_w50_with_flow,1,98,50,with_flow,29,29,1754992,9.320339089864795,4483.43578916599,2806743331325.894,43
DTE1_p99_w50_with_flow,1,99,50,with_flow,29,29,1014416,7.834699718853015,4620.939560919781,2081061739344.6711,44
DTE1_p99_w25_with_flow,1,99,25,with_flow,29,29,433794,4.329630999967726,2933.8609971322794,1622169605337.2363,45
DTE1_p98_w25_with_flow,1,98,25,with_flow,29,29,710263,4.973515092296797,2834.7036468885467,990742079735.3376,46
DTE1_p97_w25_with_flow,1,97,25,with_flow,29,29,776444,5.135615227885076,2816.1705143448853,906295163307.6766,47
DTE0_p95_w30_with_flow,0,95,30,with_flow,29,29,3050627,5.120538685981603,3057.0532393176877,830411187747.0466,48
DTE1_p96_w25_with_flow,1,96,25,with_flow,29,29,856939,5.260612225607656,2802.4891767208637,821163982243.5719,49
DTE0_p98_w30_with_flow,0,98,30,with_flow,29,29,2066806,4.336403532794079,3117.12687722989,817130325871.8918,50
DTE0_p95_w20_with_flow,0,95,20,with_flow,29,29,1892926,4.242357878754901,2074.952605601064,743491760158.3848,51
