rank,percent_beyond,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,0.025:0.020,24,100.0,204110.0,204110.0,0.0,204110.0,inf,4.28
2,0.025:0.025,22,100.0,186766.0,186766.0,0.0,186766.0,inf,4.28
3,0.025:0.015,35,100.0,413049.0,413049.0,0.0,413049.0,inf,5.94
4,0.025:0.030,21,100.0,183416.0,183416.0,0.0,183416.0,inf,4.4
5,0.030:0.020,6,100.0,48522.0,48522.0,0.0,48522.0,inf,4.07
6,0.030:0.025,4,100.0,31178.0,31178.0,0.0,31178.0,inf,3.93
7,0.030:0.015,17,100.0,257461.0,257461.0,0.0,257461.0,inf,7.62
8,0.030:0.030,3,100.0,27828.0,27828.0,0.0,27828.0,inf,4.67
9,0.035:0.020,3,100.0,20694.0,20694.0,0.0,20694.0,inf,3.47
10,0.035:0.025,1,100.0,3350.0,3350.0,0.0,3350.0,inf,1.69
11,0.040:0.025,1,100.0,3350.0,3350.0,0.0,3350.0,inf,1.69
12,0.020:0.015,45,95.56,1214764.0,85923.13,262620.03,-176696.89,0.3272,-1.98
13,0.020:0.020,34,94.12,1005825.0,-123015.87,262620.03,-385635.89,-0.4684,-5.71
14,0.020:0.025,32,93.75,988481.0,-140359.87,262620.03,-402979.89,-0.5345,-6.34
15,0.020:0.030,31,93.55,985131.0,-143709.87,262620.03,-406329.89,-0.5472,-6.59
16,0.015:0.015,64,82.81,4175921.0,1829917.0,2191996.0,-362079.0,0.8348,-2.85
17,0.015:0.020,53,79.25,3966982.0,1620978.0,2191996.0,-571018.0,0.7395,-5.42
18,0.015:0.025,51,78.43,3949638.0,1603634.0,2191996.0,-588362.0,0.7316,-5.8
19,0.015:0.030,50,78.0,3946288.0,1600284.0,2191996.0,-591712.0,0.7301,-5.95
