param_percent_beyond,net_pnl,profit_factor,win_rate,total_trades,successful_trades,failed_trades,total_credits,total_gains,total_losses,roi,expectancy
0.005,475532.65519757103,1.200176239832267,85.64273789649415,599,513,86,5682185.0,2851102.580959151,2375569.92576158,2.70314720338732,1668.0884808013343
0.009,452343.1875,1.513721035679931,92.84294234592446,503,467,36,2514376.0,1332866.1875,880523.0,3.058827390817118,1273.1133200795239
0.010,390102.015625,1.564332279382365,94.84978540772532,466,442,24,1864411.0,1081365.0,691262.984375,2.8458835147814834,1148.9506437768239
0.008,238955.6342152187,1.1697946804419443,89.96282527881041,538,484,54,3449718.0,1646276.721031727,1407321.0868165083,1.5111549265348672,943.7137546468421
0.021,137353.32701579016,inf,100.0,107,107,0,150738.0,137353.32701579016,0.0,4.346263917858398,1408.766355140187
0.022,92322.0,inf,100.0,91,91,0,92322.0,92322.0,0.0,3.4388481598165592,1014.5274725274726
0.023,75499.0,inf,100.0,82,82,0,75499.0,75499.0,0.0,3.1217270532449644,920.719512195122
0.011,63510.945441451855,1.0985014011797223,94.95412844036697,436,414,22,1427092.0,708282.9454414519,644772.0,0.49452153236207763,458.9266055045871
0.024,50067.0,inf,100.0,71,71,0,50067.0,50067.0,0.0,2.3899093670298766,705.1690140845071
0.025,41401.0,inf,100.0,64,64,0,41401.0,41401.0,0.0,2.188677409958453,646.890625
0.013,572.8363243553904,1.0012166185423919,95.68733153638814,371,355,16,984316.0,471415.8363243554,470843.0,0.005221042862293431,54.760107816712434
0.014,-57243.0,0.8783831156000961,95.26627218934911,338,322,16,903757.0,413440.0,470683.0,-0.5711595697689629,-169.3579881656815
0.006,-63556.62200807221,0.9719689465709123,85.78856152512998,577,495,82,4765278.0,2203808.1122091515,2267364.7342172237,-0.3749714715561247,714.5199306759077
0.020,-85954.85747148159,-0.05051997600363326,96.09375,128,123,5,175925.0,-4133.607581051794,81821.2498904298,-2.2684918475216667,-149.0234375
0.007,-118748.84461196186,0.9316935870065525,87.38738738738738,555,485,70,4080736.0,1619724.0074664091,1738472.852078371,-0.7283076566576607,687.8126126126099
0.012,-135425.2182341928,0.7850724653792602,94.5945945945946,407,385,22,1142899.0,494671.8908829036,630097.1091170964,-1.12660937863417,-71.50122850122762
0.015,-161286.0,0.6546619332902248,94.73684210526315,304,288,16,760714.0,305752.0,467038.0,-1.7872438883253479,-530.5460526315813
0.016,-262317.0,0.35869929273247786,94.81481481481482,270,256,14,580683.0,146722.0,409039.0,-3.2706562595967217,-715.9888888888862
0.019,-294494.3806967459,-0.12462959339471197,94.40993788819875,161,152,9,293970.0,-32635.38069674588,261859.0,-6.163510499028802,-925.6521739130446
0.018,-325307.57690622,0.06789461148981533,93.61702127659575,188,176,12,362126.0,23695.42309378002,349003.0,-5.824797066258254,-1259.9680851063815
0.017,-330386.0,0.1311507743447195,94.37229437229438,231,218,13,492614.0,49871.0,380257.0,-4.813746451095713,-988.6839826839813
