rank,percent_beyond,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,0.025:0.020,17,100.0,131652.0,131652.0,0.0,131652.0,inf,3.9
2,0.025:0.025,15,100.0,114308.0,114308.0,0.0,114308.0,inf,3.84
3,0.030:0.020,4,100.0,26134.0,26134.0,0.0,26134.0,inf,3.29
4,0.030:0.025,2,100.0,8790.0,8790.0,0.0,8790.0,inf,2.22
5,0.025:0.030,14,100.0,110958.0,110958.0,0.0,110958.0,inf,3.99
6,0.025:0.015,27,100.0,336035.0,336035.0,0.0,336035.0,inf,6.27
7,0.030:0.015,14,100.0,230517.0,230517.0,0.0,230517.0,inf,8.28
8,0.030:0.030,1,100.0,5440.0,5440.0,0.0,5440.0,inf,2.74
9,0.035:0.025,1,100.0,3350.0,3350.0,0.0,3350.0,inf,1.69
10,0.035:0.020,3,100.0,20694.0,20694.0,0.0,20694.0,inf,3.47
11,0.040:0.025,1,100.0,3350.0,3350.0,0.0,3350.0,inf,1.69
12,0.020:0.015,33,93.94,956407.0,-172433.87,262620.03,-435053.89,-0.6566,-6.63
13,0.020:0.020,23,91.3,752024.0,-376816.87,262620.03,-639436.89,-1.4348,-13.98
14,0.020:0.025,21,90.48,734680.0,-394160.87,262620.03,-656780.89,-1.5009,-15.73
15,0.020:0.030,20,90.0,731330.0,-397510.87,262620.03,-660130.89,-1.5136,-16.6
16,0.015:0.015,41,73.17,2808875.0,462871.0,2191996.0,-1729125.0,0.2112,-21.21
17,0.015:0.020,31,64.52,2604492.0,258488.0,2191996.0,-1933508.0,0.1179,-31.37
18,0.015:0.025,29,62.07,2587148.0,241144.0,2191996.0,-1950852.0,0.11,-33.83
19,0.015:0.030,28,60.71,2583798.0,237794.0,2191996.0,-1954202.0,0.1085,-35.1
