param_percent_beyond,net_pnl,profit_factor,win_rate,total_trades,successful_trades,failed_trades,total_credits,total_gains,total_losses,roi,expectancy
0.005,147074.95988507173,1.1189649904337553,83.26996197718631,263,219,44,2783115.0,1383362.7059591513,1236287.7460740795,1.9077392020903319,1308.4220532319396
0.021,90142.32701579017,inf,100.0,52,52,0,103527.0,90142.32701579017,0.0,5.901402317146697,1990.9038461538462
0.022,68785.0,inf,100.0,46,46,0,68785.0,68785.0,0.0,5.094373858978014,1495.3260869565215
0.023,54312.0,inf,100.0,43,43,0,54312.0,54312.0,0.0,4.29789631617931,1263.0697674418604
0.024,31225.0,inf,100.0,37,37,0,31224.999999999996,31225.0,0.0,2.8705384845211555,843.9189189189187
0.025,27375.0,inf,100.0,33,33,0,27375.0,27375.0,0.0,2.8145482585785886,829.5454545454545
0.008,-127423.14703478164,0.8449309709358308,86.77685950413223,242,210,32,1836465.0,694295.7210317269,821718.8680665086,-1.7949361713920502,192.00413223140504
0.020,-132374.8574714816,-0.61785425728341,91.93548387096774,62,57,5,129504.99999999999,-50553.607581051794,81821.2498904298,-7.23955260864709,-1056.370967741935
0.007,-156486.14148696233,0.832896012485046,84.61538461538461,247,209,38,2083653.0,779973.5074664088,936459.6489533711,-2.1601138306456376,30.98380566801461
0.006,-168824.04388307233,0.8601471402857522,83.33333333333334,258,215,43,2401743.0,1038330.7059591511,1207154.7498422235,-2.228477548620848,239.31395348837577
0.009,-247458.0,0.6735731406010703,88.79310344827587,232,206,26,1355542.0,510623.0,758081.0,-3.6324334036261217,-376.9741379310317
0.013,-336585.1636756446,0.2851435326092889,91.48936170212765,188,172,16,647158.0,134257.8363243554,470843.0,-6.057130357056123,-1685.3297872340445
0.014,-337841.0,0.2822324154473393,90.69767441860465,172,156,16,623159.0,132842.0,470683.0,-6.625839087745628,-1964.1918604651166
0.019,-352680.3806967459,-0.34683314568812174,88.88888888888889,81,72,9,235784.0,-90821.38069674587,261859.0,-14.693693429955715,-2558.2222222222235
0.015,-391397.0,0.1619589840655364,89.33333333333333,150,134,16,530603.0,75641.0,467038.0,-8.796630195057892,-2609.3133333333344
0.018,-393677.57690621994,-0.12800628334489952,86.81318681318682,91,79,12,293756.0,-44674.57690621997,349003.0,-14.579333456762425,-3354.329670329669
0.016,-423578.0,-0.035544287952982485,89.47368421052632,133,119,14,419422.0,-14539.000000000004,409039.0,-10.721924741139146,-2666.0
0.017,-433712.0,-0.1405759788774434,88.18181818181819,110,97,13,389288.0,-53455.0,380257.0,-13.272650710956169,-3015.5636363636345
0.010,-441040.0,0.3441491813761209,89.54545454545455,220,197,23,1007960.0,231430.0,672470.0,-6.825089290688389,-1295.6363636363628
0.011,-495046.0545585482,0.23221533416688658,89.42307692307693,208,186,22,868535.0,149725.9454414518,644772.0,-8.093662835617438,-1723.38942307692
0.012,-555681.2182341928,0.11810225726503729,88.71794871794872,195,173,22,722643.0,74415.8908829036,630097.1091170964,-9.658382371095568,-2304.394871794873
