param_percent_beyond,net_pnl,profit_factor,win_rate,total_trades,successful_trades,failed_trades,total_credits,total_gains,total_losses,roi,expectancy
0.025:0.030,497873.0,inf,100.0,344,344,0,497873.0,497873.0,0.0,4.902917655173351,1447.3052325581396
0.020:0.030,428079.45502851857,2.984504523394547,97.59825327510917,458,447,11,1196114.0,643790.4549189484,215710.99989042978,3.1742775745584573,1670.554585152839
0.025:0.025,391598.4609375,3.447433377650335,97.38903394255874,383,373,10,724126.0,551602.1875,160003.7265625,3.4655117476309916,833.2271540469951
0.025:0.015,342908.4375,1.4029429926790558,95.52238805970148,670,640,30,2058610.0,1193918.2421875,851009.8046875,1.731870416956862,511.35820895522124
0.020:0.025,321804.91596601857,1.8565139807112003,95.77464788732394,497,476,21,1422367.0,697519.6424189484,375714.7264529298,2.199453152165445,1179.8128772635791
0.020:0.015,273114.8925285181,1.256032217011631,94.7704081632653,784,743,41,2756851.0,1339835.697106448,1066720.80457793,1.1807234155489557,777.8711734693861
0.030:0.030,245032.0,inf,100.0,251,251,0,245032.0,245032.0,0.0,3.2938977557102005,976.2231075697212
0.030:0.025,138757.4609375,1.8672139325661214,96.55172413793103,290,280,10,471285.0,298761.1875,160003.7265625,1.6164257411714407,228.56896551724083
0.025:0.020,-109445.546875,0.8505578859839439,94.51476793248945,474,448,26,1274565.0,622915.2578125,732360.8046875,-0.7823722597538697,-127.50000000000114
0.020:0.020,-179239.09184648155,0.8109435477555662,93.70748299319727,588,551,37,1972806.0,768832.7127314484,948071.8045779299,-1.0348561444893836,351.7108843537401
0.030:0.020,-362286.546875,0.5053168539930417,93.1758530183727,381,355,26,1021724.0,370074.2578125,732360.8046875,-3.213675837218924,-822.246719160104
0.015:0.025,-1889154.71875,0.15873566201817052,88.04034582132564,694,611,83,3354982.0,356458.97656249994,2245613.6953125,-9.230690204367063,-1051.8991354466866
0.015:0.020,-2390198.7265625,0.15180144908074492,87.38853503184714,785,686,99,3905421.0,427772.046875,2817970.7734375,-10.32256778982486,-1413.4764331210167
