rank,max_short_delta,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,0.17,1467,84.32,1682306.0,915710.65,816353.44,99357.21,1.1217,1.63
2,0.16,1466,84.65,1648011.0,896869.98,798158.55,98711.43,1.1237,1.62
3,0.19,1468,84.2,1723432.0,933844.52,836454.28,97390.24,1.1164,1.6
4,0.18,1468,84.26,1699313.0,925062.57,829898.36,95164.21,1.1147,1.57
5,0.2,1470,84.01,1740130.0,940607.41,847399.25,93208.16,1.11,1.53
6,0.14,1464,84.97,1587698.0,857054.01,765513.97,91540.03,1.1196,1.51
7,0.15,1465,84.78,1616076.0,874265.98,786186.62,88079.36,1.112,1.45
8,0.13,1464,85.11,1536831.0,819228.05,759391.94,59836.12,1.0788,0.98
9,0.01,1300,92.38,552547.0,370776.47,318227.9,52548.57,1.1651,0.94
10,0.04,1390,89.06,1028072.0,579832.89,528685.86,51147.03,1.0967,0.86
11,0.12,1460,85.68,1495594.0,793111.52,749734.07,43377.45,1.0579,0.71
12,0.06,1421,87.26,1173563.0,635786.29,599922.27,35864.01,1.0598,0.6
13,0.1,1448,86.12,1423978.0,764095.72,729122.35,34973.36,1.048,0.58
14,0.11,1456,86.06,1449720.0,771838.64,739763.12,32075.52,1.0434,0.53
15,0.07,1427,86.9,1238760.0,667281.57,635924.25,31357.31,1.0493,0.53
16,0.09,1443,86.28,1366347.0,732304.69,704281.85,28022.84,1.0398,0.47
17,0.08,1432,86.38,1301747.0,697674.07,675169.99,22504.08,1.0333,0.38
18,0.05,1409,87.93,1100199.0,596903.58,574560.21,22343.38,1.0389,0.38
19,0.03,1370,89.78,903693.0,508136.71,489748.18,18388.53,1.0375,0.32
20,0.02,1344,90.25,780308.0,454506.31,474082.48,-19576.17,0.9587,-0.34
