param_percent_beyond,net_pnl,profit_factor,win_rate,total_trades,successful_trades,failed_trades,total_credits,total_gains,total_losses,roi,expectancy
0.025:0.005,2083205.6317600706,1.599049374749954,88.11002661934339,1127,993,134,9739957.0,5560724.713771651,3477519.08201158,6.292618827487803,2061.186335403725
0.02:0.005,2013412.0867885882,1.5451629175920942,88.31587429492345,1241,1096,145,10438198.0,5706642.168690598,3693230.0819020094,5.525765095379633,2087.186140209508
0.025:0.0075,1459656.3836545418,1.5813275200606982,90.1846452866861,1029,928,101,7216757.0,3970558.299156727,2510901.915502185,4.824793109467775,1582.8542274052493
0.02:0.0075,1389862.8386830604,1.5097396960297642,90.20122484689414,1143,1031,112,7914998.0,4116475.754075675,2726612.9153926144,4.138405383182577,1658.790901137358
0.025:0.01,1028599.125,1.665410520085349,93.55555555555556,900,842,58,4429171.0,2574410.4609375,1545811.3359375,3.8861505953020306,1227.9677777777783
0.02:0.01,958805.5800285183,1.5443050936835678,93.19526627218934,1014,945,69,5127412.0,2720327.915856448,1761522.3358279297,3.217512873092468,1353.4635108481243
0.025:0.003,718765.639500116,1.140863096225995,82.02054794520548,1168,958,210,12538603.0,5821348.635027623,5102582.995527507,2.096877878768689,1042.8964041095896
0.02:0.003,648972.0945286322,1.1220263669304038,82.7613104524181,1282,1061,221,13236844.0,5967266.08994657,5318293.995417938,1.7255694185975143,1158.6146645865847
0.025:0.025,391598.4609375,3.447433377650335,97.38903394255874,383,373,10,724126.0,551602.1875,160003.7265625,3.4655117476309916,833.2271540469951
0.025:0.015,342908.4375,1.4029429926790558,95.52238805970148,670,640,30,2058610.0,1193918.2421875,851009.8046875,1.731870416956862,511.35820895522124
0.02:0.025,321804.91596601857,1.8565139807112003,95.77464788732394,497,476,21,1422367.0,697519.6424189484,375714.7264529298,2.199453152165445,1179.8128772635791
0.02:0.015,273114.8925285181,1.256032217011631,94.7704081632653,784,743,41,2756851.0,1339835.697106448,1066720.80457793,1.1807234155489557,777.8711734693861
0.003:0.005,260318.9364475701,1.032861706830534,83.22875071306332,1753,1459,294,18284583.0,8181968.830959151,7921649.8945115805,0.5067290029347268,1210.543639475185
0.005:0.005,31071.9598850701,1.0042952976903943,84.49477351916377,1722,1455,267,16526387.0,7265019.901271651,7233947.9413865805,0.061543729320437675,1031.002903600468
0.002:0.005,20510.741135073826,1.0023541235024596,81.45207033465684,1763,1436,327,19428700.0,8733197.698146652,8712686.957011579,0.0396954171643552,963.8116846284747
0.025:0.002,-6833.9802309134975,0.9988670315901744,79.17019475021169,1181,935,246,14019677.0,6025090.803943562,6031924.784174476,-0.019742359529956857,407.0084674005111
0.02:0.002,-76627.52520239726,0.9877349564137778,80.15444015444015,1295,1038,257,14717918.0,6171008.258862509,6247635.784064907,-0.20193258918405704,577.5428571428574
0.025:0.02,-109445.546875,0.8505578859839439,94.51476793248945,474,448,26,1274565.0,622915.2578125,732360.8046875,-0.7823722597538697,-127.50000000000114
0.001:0.005,-139220.69636492617,0.9849295211829898,80.72153325817362,1774,1432,342,20475067.0,9098753.627834152,9237974.324199079,-0.26782773834827944,1042.5969560315689
0.02:0.02,-179239.09184648155,0.8109435477555662,93.70748299319727,588,551,37,1972806.0,768832.7127314484,948071.8045779299,-1.0348561444893836,351.7108843537401
0.015:0.005,-197547.5479274299,0.964489849844417,85.60500695410292,1438,1231,207,12370813.0,5365581.502834151,5563129.0507615805,-0.46732828033910717,885.8226703755208
0.00075:0.005,-210420.11042742617,0.9776762872840346,80.43968432919955,1774,1427,347,20667642.0,9215436.291896652,9425856.402324079,-0.4048381197224826,998.9526493799331
0.003:0.0075,-363230.31165795866,0.9477744640660669,84.2296072507553,1655,1394,261,15761383.0,6591802.416344226,6955032.728002185,-0.7486179632624519,862.7691842900331
0.01:0.005,-430134.5088649299,0.9320719656927013,85.26645768025078,1595,1360,235,14056286.0,5902074.471584151,6332208.9804490805,-0.9183801851809157,710.5241379310337
0.0075:0.005,-529358.6260524299,0.9212623495135269,85.10765550239235,1672,1423,249,14964807.0,6193709.979396651,6723068.6054490805,-1.078976261446455,705.6261961722494
0.005:0.0075,-592477.2882204587,0.905465770117731,85.5911330049261,1624,1390,234,14003187.0,5674853.486656726,6267330.774877185,-1.2437774644630941,665.7555418719212
