rank,dynamic_spread_width,max_trading_hour,min_trading_hour,percent_beyond,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",13,9,0.025:0.020,24,100.0,572817.0,572817.0,0.0,572817.0,inf,4.79
2,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",14,9,0.025:0.020,24,100.0,572817.0,572817.0,0.0,572817.0,inf,4.79
3,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",13,9,0.025:0.025,22,100.0,529457.0,529457.0,0.0,529457.0,inf,4.83
4,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",14,9,0.025:0.025,22,100.0,529457.0,529457.0,0.0,529457.0,inf,4.83
5,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",13,9,0.025:0.030,20,100.0,508154.0,508154.0,0.0,508154.0,inf,5.1
6,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",14,9,0.025:0.030,20,100.0,508154.0,508154.0,0.0,508154.0,inf,5.1
7,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",13,9,0.025:0.020,11,100.0,477190.0,477190.0,0.0,477190.0,inf,8.69
8,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",14,9,0.025:0.020,11,100.0,477190.0,477190.0,0.0,477190.0,inf,8.69
9,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",13,9,0.025:0.025,10,100.0,445390.0,445390.0,0.0,445390.0,inf,8.92
10,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",14,9,0.025:0.025,10,100.0,445390.0,445390.0,0.0,445390.0,inf,8.92
11,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",13,10,0.025:0.020,16,100.0,441009.0,441009.0,0.0,441009.0,inf,5.53
12,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",14,10,0.025:0.020,16,100.0,441009.0,441009.0,0.0,441009.0,inf,5.53
13,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",13,9,0.025:0.030,9,100.0,427846.0,427846.0,0.0,427846.0,inf,9.52
14,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",14,9,0.025:0.030,9,100.0,427846.0,427846.0,0.0,427846.0,inf,9.52
15,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",13,10,0.025:0.025,14,100.0,397649.0,397649.0,0.0,397649.0,inf,5.7
16,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",14,10,0.025:0.025,14,100.0,397649.0,397649.0,0.0,397649.0,inf,5.7
17,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",13,10,0.025:0.030,12,100.0,376346.0,376346.0,0.0,376346.0,inf,6.29
18,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",14,10,0.025:0.030,12,100.0,376346.0,376346.0,0.0,376346.0,inf,6.29
19,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",13,10,0.025:0.020,8,100.0,367887.0,367887.0,0.0,367887.0,inf,9.22
20,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",14,10,0.025:0.020,8,100.0,367887.0,367887.0,0.0,367887.0,inf,9.22
21,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 1000, 'min_width': 10, 'max_width': 75}",12,9,0.025:0.020,20,100.0,356069.0,356069.0,0.0,356069.0,inf,3.57
22,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",13,10,0.025:0.025,7,100.0,336087.0,336087.0,0.0,336087.0,inf,9.62
23,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",14,10,0.025:0.025,7,100.0,336087.0,336087.0,0.0,336087.0,inf,9.62
24,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",13,10,0.025:0.030,6,100.0,318543.0,318543.0,0.0,318543.0,inf,10.64
25,"{'mode': 'linear', 'base_width': 15, 'slope_factor': 500, 'min_width': 10, 'max_width': 50}",14,10,0.025:0.030,6,100.0,318543.0,318543.0,0.0,318543.0,inf,10.64
