rank,strategy.config.slope_detection.skip_slope,strategy.config.tiers.call.0.spread_width,strategy.config.tiers.call.1.spread_width,strategy.config.tiers.call.2.spread_width,strategy.config.tiers.put.0.spread_width,strategy.config.tiers.put.1.spread_width,strategy.config.tiers.put.2.spread_width,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,True,55,50,30,55,50,30,293,4.8,123799.0,123799.0,0,123799.0,inf,8.19
2,True,50,50,25,50,50,25,293,4.8,122905.0,122905.0,0,122905.0,inf,7.97
3,True,50,50,30,50,50,30,293,4.8,122815.0,122815.0,0,122815.0,inf,7.98
4,True,55,50,25,55,50,25,293,4.8,122693.0,122693.0,0,122693.0,inf,8.14
5,True,55,50,10,55,50,10,293,5.1,118181.0,118181.0,0,118181.0,inf,8.01
6,True,60,50,30,60,50,30,293,5.1,117956.0,117956.0,0,117956.0,inf,7.61
7,True,50,50,10,50,50,10,293,5.5,117533.0,117533.0,0,117533.0,inf,7.78
8,True,60,50,25,60,50,25,293,5.1,116682.0,116682.0,0,116682.0,inf,7.57
9,True,60,50,10,60,50,10,293,5.5,112170.0,112170.0,0,112170.0,inf,7.42
10,True,50,40,25,50,40,25,293,4.8,110740.0,110740.0,0,110740.0,inf,7.78
11,True,55,40,30,55,40,30,293,4.8,110686.0,110686.0,0,110686.0,inf,7.93
12,True,55,40,25,55,40,25,293,4.8,110616.0,110616.0,0,110616.0,inf,7.96
13,True,50,40,30,50,40,30,293,4.8,110069.0,110069.0,0,110069.0,inf,7.71
14,True,55,45,25,55,45,25,293,4.8,108808.0,108808.0,0,108808.0,inf,7.79
15,True,55,40,10,55,40,10,293,5.1,108586.0,108586.0,0,108586.0,inf,7.73
16,True,50,45,25,50,45,25,293,4.8,108233.0,108233.0,0,108233.0,inf,7.61
17,True,55,45,30,55,45,30,293,4.8,108093.0,108093.0,0,108093.0,inf,7.71
18,True,50,40,10,50,40,10,293,5.5,107833.0,107833.0,0,107833.0,inf,7.51
