rank,strategy.config.slope_detection.skip_slope,strategy.config.tiers.call.0.spread_width,strategy.config.tiers.call.1.spread_width,strategy.config.tiers.call.2.spread_width,strategy.config.tiers.put.0.spread_width,strategy.config.tiers.put.1.spread_width,strategy.config.tiers.put.2.spread_width,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,False,55,50,15,55,50,15,293,3.1,48108.0,48108.0,0,48108.0,inf,4.91
2,True,55,50,15,55,50,15,293,3.1,48108.0,48108.0,0,48108.0,inf,4.91
3,False,55,50,20,55,50,20,293,3.4,48044.0,48044.0,0,48044.0,inf,4.74
4,True,55,50,20,55,50,20,293,3.4,48044.0,48044.0,0,48044.0,inf,4.74
5,False,55,20,20,55,20,20,293,3.4,47777.0,47777.0,0,47777.0,inf,4.63
6,True,55,20,20,55,20,20,293,3.4,47777.0,47777.0,0,47777.0,inf,4.63
7,False,55,20,15,55,20,15,293,3.4,47723.0,47723.0,0,47723.0,inf,4.77
8,True,55,20,15,55,20,15,293,3.4,47723.0,47723.0,0,47723.0,inf,4.77
9,False,55,40,15,55,40,15,293,3.1,47664.0,47664.0,0,47664.0,inf,5.03
10,True,55,40,15,55,40,15,293,3.1,47664.0,47664.0,0,47664.0,inf,5.03
11,False,55,40,20,55,40,20,293,3.4,47600.0,47600.0,0,47600.0,inf,4.84
12,True,55,40,20,55,40,20,293,3.4,47600.0,47600.0,0,47600.0,inf,4.84
13,False,55,20,30,55,20,30,293,3.4,47141.0,47141.0,0,47141.0,inf,4.7
14,True,55,20,30,55,20,30,293,3.4,47141.0,47141.0,0,47141.0,inf,4.7
15,False,55,50,30,55,50,30,293,3.1,46960.0,46960.0,0,46960.0,inf,4.77
16,True,55,50,30,55,50,30,293,3.1,46960.0,46960.0,0,46960.0,inf,4.77
17,False,55,20,25,55,20,25,293,3.4,46938.0,46938.0,0,46938.0,inf,4.67
18,True,55,20,25,55,20,25,293,3.4,46938.0,46938.0,0,46938.0,inf,4.67
19,False,55,45,15,55,45,15,293,3.1,46736.0,46736.0,0,46736.0,inf,4.89
20,True,55,45,15,55,45,15,293,3.1,46736.0,46736.0,0,46736.0,inf,4.89
21,False,55,45,20,55,45,20,293,3.4,46563.0,46563.0,0,46563.0,inf,4.7
22,True,55,45,20,55,45,20,293,3.4,46563.0,46563.0,0,46563.0,inf,4.7
23,False,55,50,25,55,50,25,293,3.1,46542.0,46542.0,0,46542.0,inf,4.74
24,True,55,50,25,55,50,25,293,3.1,46542.0,46542.0,0,46542.0,inf,4.74
25,False,60,50,15,60,50,15,293,3.4,46476.0,46476.0,0,46476.0,inf,4.57
