param_percent_beyond,net_pnl,profit_factor,win_rate,total_trades,successful_trades,failed_trades,total_credits,total_gains,total_losses,roi,expectancy
0.025,391598.4609375,3.447433377650335,97.38903394255874,383,373,10,724126.0,551602.1875,160003.7265625,3.4655117476309916,833.2271540469951
0.023,330125.45312500006,1.7628189457421943,96.46799116997794,453,437,16,1212186.0,762895.84375,432770.39062499994,2.4756659757308954,775.245033112586
0.024,262294.734375,1.6454469120003987,96.35922330097088,412,397,15,994242.0,668671.6640625,406376.9296875,2.1590250984915493,614.6650485436917
0.022,234183.546875,1.453214031323551,96.28865979381443,485,467,18,1382473.0,750900.8828125,516717.3359375,1.641432001740797,829.8412371134018
0.021,201674.11607829027,1.311750058816551,95.07575757575758,528,502,26,1764675.0,848583.7488907903,646909.6328125,1.297413146458854,844.0814393939402
0.005,31071.9598850701,1.0042952976903943,84.49477351916377,1722,1455,267,16526387.0,7265019.901271651,7233947.9413865805,0.061543729320437675,1031.002903600468
0.020,-179239.09184648155,0.8109435477555662,93.70748299319727,588,551,37,1972806.0,768832.7127314484,948071.8045779299,-1.0348561444893836,351.7108843537401
0.019,-762896.6775717458,0.46854289693034573,92.1921921921922,666,614,52,2557247.0,672584.5177407542,1435481.1953125,-3.8797104376349,-55.18468468468427
0.006,-925329.4110705741,0.8652108787110997,85.09874326750449,1671,1422,249,14643264.0,5939686.120021651,6865015.531092225,-1.8871281010905923,536.363853979653
0.008,-990903.139222281,0.8176217706742666,87.06338939197931,1546,1346,200,11845052.0,4442328.353844227,5433231.493066508,-2.183065342783753,422.41397153946036
0.009,-992323.5859375005,0.7878828195261355,88.11813186813187,1456,1283,173,10084752.0,3685862.2343749995,4678185.8203125,-2.3205599152259264,363.8406593406594
0.007,-1321465.2899244633,0.7824712415581724,85.60747663551402,1605,1374,231,13018626.0,4753433.952778908,6074899.242703372,-2.803969621197759,224.06604361370773
0.018,-1407528.58471872,0.2799066255626663,90.13698630136986,730,658,72,2937013.0,547118.7355937801,1954647.3203125,-6.528429654056471,-699.9821917808231
0.010,-1484741.015625,0.6625972959564738,88.37719298245614,1368,1209,159,8745500.0,2915760.21875,4400501.234375,-3.6934774885569297,-61.769005847954304
0.014,-1825141.1640625002,0.4239237862574662,88.86792452830188,1060,942,118,5484452.0,1343087.4843749998,3168228.6484375,-5.834748048731436,-790.6113207547173
0.017,-1902780.0390625,0.20730370139799206,89.60880195599023,818,733,85,3459085.0,497609.671875,2400389.7109375,-7.880176163055676,-950.9963325183344
0.015,-1937844.7421875,0.340110435911446,89.50050968399592,981,878,103,4689466.0,998775.03125,2936619.7734375,-6.690058922762778,-720.2181447502576
0.013,-1948768.1324256447,0.4279537107346645,89.16299559471366,1135,1012,123,6013793.0,1457893.4769493553,3406661.609375,-5.823962454270238,-621.3277533039623
0.011,-1984183.8983085481,0.5235520314379575,88.15276695245518,1283,1131,152,7658637.0,2180350.382941452,4164534.28125,-5.257528089883496,-576.276695245519
0.016,-2005465.0546875,0.24237668765810486,89.78021978021978,910,817,93,4033966.0,641582.6562499999,2647047.7109375,-7.46052050932081,-794.542857142857
0.012,-2265335.2416716926,0.4084256918936284,88.18181818181819,1210,1067,143,6699013.0,1563998.1330704035,3829333.3747420963,-6.358034966014786,-846.2702479338823
