rank,max_short_delta,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,0.18,1452,88.98,859425.0,374190.0,225619.0,148571.0,1.6585,2.39
2,0.17,1445,89.0,822541.0,367386.0,220847.0,146539.0,1.6635,2.37
3,0.16,1441,89.1,780690.0,356597.0,210350.0,146247.0,1.6953,2.37
4,0.19,1456,88.8,880985.0,380394.0,234187.0,146207.0,1.6243,2.34
5,0.2,1459,88.55,907568.0,385455.0,241407.0,144048.0,1.5967,2.31
6,0.15,1437,89.28,747143.0,340466.0,202792.0,137674.0,1.6789,2.24
7,0.14,1433,89.39,718515.0,327946.0,197920.0,130026.0,1.657,2.12
8,0.13,1431,89.45,686872.0,309111.0,188529.0,120582.0,1.6396,1.96
9,0.12,1423,89.6,655045.0,291416.0,181125.0,110291.0,1.6089,1.8
10,0.11,1418,89.99,608399.0,272371.0,163960.0,108411.0,1.6612,1.78
11,0.1,1408,90.34,562191.0,253012.0,149768.0,103244.0,1.6894,1.7
12,0.09,1393,91.39,512946.0,233767.0,135322.0,98445.0,1.7275,1.64
13,0.08,1379,92.39,451871.0,214453.0,118388.0,96065.0,1.8114,1.61
14,0.07,1363,93.25,396560.0,194445.0,108035.0,86410.0,1.7998,1.46
15,0.06,1347,94.21,336736.0,172525.0,90356.0,82169.0,1.9094,1.4
16,0.05,1323,95.62,265467.0,140102.0,71287.0,68815.0,1.9653,1.19
17,0.04,1293,96.37,208157.0,110927.0,59602.0,51325.0,1.8611,0.92
18,0.03,1266,96.68,144739.0,81718.0,46774.0,34944.0,1.7471,0.63
19,0.02,1204,98.01,95651.0,64978.0,35257.0,29721.0,1.843,0.57
20,0.01,1103,98.01,48927.0,37324.0,22715.0,14609.0,1.6431,0.3
