rank,max_short_delta,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,0.01,1427,98.04,58776.0,42686.0,61906.0,-19220.0,0.6895,-0.29
2,0.02,1450,96.83,94920.0,59374.0,90896.0,-31522.0,0.6532,-0.47
3,0.03,1472,96.26,130667.0,77875.0,111381.0,-33506.0,0.6992,-0.49
4,0.04,1478,95.74,181051.0,94025.0,135354.0,-41329.0,0.6947,-0.6
5,0.05,1482,95.14,212419.0,104802.0,153995.0,-49193.0,0.6806,-0.72
6,0.06,1488,93.75,238447.0,113847.0,170701.0,-56854.0,0.6669,-0.82
7,0.07,1491,92.96,268747.0,125631.0,187011.0,-61380.0,0.6718,-0.89
8,0.08,1496,92.11,302284.0,135746.0,212816.0,-77070.0,0.6379,-1.12
9,0.09,1498,90.72,332383.0,145541.0,231345.0,-85804.0,0.6291,-1.25
10,0.1,1503,90.02,360680.0,154119.0,251608.0,-97489.0,0.6125,-1.41
11,0.11,1506,89.31,392778.0,165262.0,274171.0,-108909.0,0.6028,-1.58
12,0.12,1507,88.98,440278.0,176170.0,300576.0,-124406.0,0.5861,-1.8
13,0.13,1508,88.46,464655.0,186525.0,318953.0,-132428.0,0.5848,-1.92
14,0.14,1509,88.34,495692.0,196803.0,338209.0,-141406.0,0.5819,-2.06
15,0.15,1510,88.01,528805.0,211359.0,354760.0,-143401.0,0.5958,-2.09
16,0.16,1512,87.76,558605.0,222775.0,371738.0,-148963.0,0.5993,-2.16
17,0.17,1513,87.44,587697.0,234434.0,387589.0,-153155.0,0.6049,-2.23
18,0.18,1513,87.18,619448.0,244928.0,403492.0,-158564.0,0.607,-2.31
19,0.19,1513,86.98,653006.0,251886.0,422206.0,-170320.0,0.5966,-2.48
20,0.2,1514,86.99,678939.0,256506.0,439710.0,-183204.0,0.5834,-2.67
